Country,ISO Code,Exchange Rate Regime
Afghanistan,AFG,Crawl-like Arrangement
Albania,ALB,Floating
Algeria,DZA,Stabilized Arrangement
Andorra,AND,No Separate Legal Tender
Angola,AGO,Floating
Antigua and Barbuda,ATG,Currency Board Arrangement
Argentina,ARG,Crawl-like Arrangement
Armenia,ARM,Floating
Aruba,ABW,Conventional Pegged Arrangement
Australia,AUS,Free Floating
Austria,AUT,Free Floating
Azerbaijan,AZE,Stabilized Arrangement
"Bahamas, The",BHS,Conventional Pegged Arrangement
Bahrain,BHR,Conventional Pegged Arrangement
Bangladesh,BGD,Stabilized Arrangement
Barbados,BRB,Conventional Pegged Arrangement
Belarus,BLR,Floating
Belgium,BEL,Free Floating
Belize,BLZ,Conventional Pegged Arrangement
Benin,BEN,Conventional Pegged Arrangement
Bhutan,BTN,Conventional Pegged Arrangement
Bolivia,BOL,Stabilized Arrangement
Bosnia and Herzegovina,BIH,Currency Board Arrangement
Botswana,BWA,Crawling Peg
Brazil,BRA,Floating
Brunei Darussalam,BRN,Currency Board Arrangement
Bulgaria,BGR,Currency Board Arrangement
Burkina Faso,BFA,Conventional Pegged Arrangement
Burundi,BDI,Crawl-like Arrangement
Cabo Verde,CPV,Conventional Pegged Arrangement
Cambodia,KHM,Stabilized Arrangement
Cameroon,CMR,Conventional Pegged Arrangement
Canada,CAN,Free Floating
Central African Republic,CAF,Conventional Pegged Arrangement
Chad,TCD,Conventional Pegged Arrangement
Chile,CHL,Free Floating
China,CHN,Crawl-like Arrangement
Colombia,COL,Floating
Comoros,COM,Conventional Pegged Arrangement
"Congo, Democratic Republic of the",COD,Crawl-like Arrangement
"Congo, Republic of",COG,Conventional Pegged Arrangement
Costa Rica,CRI,Crawl-like Arrangement
Côte d’Ivoire,CIV,Conventional Pegged Arrangement
Croatia,HRV,Stabilized Arrangement
Curaçao and Sint Maarten,CUW/SXM,Conventional Pegged Arrangement
Cyprus,CYP,Free Floating
Czech Republic,CZE,Free Floating
Denmark,DNK,Conventional Pegged Arrangement
Djibouti,DJI,Currency Board Arrangement
Dominica,DMA,Currency Board Arrangement
Dominican Republic,DOM,Crawl-like Arrangement
Ecuador,ECU,No Separate Legal Tender
Egypt,EGY,Stabilized Arrangement
El Salvador,SLV,No Separate Legal Tender
Equatorial Guinea,GNQ,Conventional Pegged Arrangement
