Country / Territory,ISO Code,Exchange Rate Regime
Afghanistan,AFG,Crawl-like arrangement
Albania,ALB,Floating
Algeria,DZA,Crawl-like arrangement
Andorra,AND,No separate legal tender
Angola,AGO,Floating
Antigua and Barbuda,ATG,Currency board
Argentina,ARG,Crawl-like arrangement
Armenia,ARM,Floating
Aruba,ABW,Conventional peg
Australia,AUS,Free floating
Austria,AUT,Free floating
Azerbaijan,AZE,Stabilized arrangement
"Bahamas, The",BHS,Conventional peg
Bahrain,BHR,Conventional peg
Bangladesh,BGD,Crawl-like arrangement
Barbados,BRB,Conventional peg
Belarus,BLR,Floating
Belgium,BEL,Free floating
Belize,BLZ,Conventional peg
Benin,BEN,Conventional peg
Bhutan,BTN,Conventional peg
Bolivia,BOL,Stabilized arrangement
Bosnia and Herzegovina,BIH,Currency board
Botswana,BWA,Crawling peg
Brazil,BRA,Floating
Brunei Darussalam,BRN,Currency board
Bulgaria,BGR,Currency board
Burkina Faso,BFA,Conventional peg
Burundi,BDI,Crawl-like arrangement
Cabo Verde,CPV,Conventional peg
Cambodia,KHM,Stabilized arrangement
Cameroon,CMR,Conventional peg
Canada,CAN,Free floating
Central African Republic,CAF,Conventional peg
Chad,TCD,Conventional peg
Chile,CHL,Free floating
China,CHN,Crawl-like arrangement
Colombia,COL,Floating
Comoros,COM,Conventional peg
"Congo, Democratic Republic of the",COD,Crawl-like arrangement
"Congo, Republic of",COG,Conventional peg
Costa Rica,CRI,Floating
Côte d'Ivoire,CIV,Conventional peg
Croatia,HRV,Stabilized arrangement
Curaçao,CUW,Conventional peg
Cyprus,CYP,Free floating
Czech Republic,CZE,Floating
Denmark,DNK,Conventional peg
Djibouti,DJI,Currency board
Dominica,DMA,Currency board
Dominican Republic,DOM,Crawl-like arrangement
Ecuador,ECU,No separate legal tender
Egypt,EGY,Stabilized arrangement
El Salvador,SLV,No separate legal tender
Equatorial Guinea,GNQ,Conventional peg
Eritrea,ERI,Conventional peg
Estonia,EST,Free floating
Eswatini,SWZ,Conventional peg
Ethiopia,ETH,Crawl-like arrangement
Fiji,FJI,Conventional peg
Finland,FIN,Free floating
France,FRA,Free floating
Gabon,GAB,Conventional peg
"Gambia, The",GMB,Crawl-like arrangement
Georgia,GEO,Floating
Germany,DEU,Free floating
Ghana,GHA,Crawl-like arrangement
Greece,GRC,Free floating
