Date,Price,Open,High,Low,Vol.,Change %
2025-12-22,1156.43,1145.28,1166.57,1141.65,,
2025-12-19,1148.45,1142.67,1149.07,1139.56,,
2025-12-18,1143.28,1142.24,1143.28,1134.9,,
2025-12-17,1138.81,1137.83,1141.25,1132.96,,
2025-12-16,1134.96,1136.3,1139.01,1126.76,,
2025-12-15,1137.17,1127.09,1137.17,1121.05,,
2025-12-12,1128.94,1126.77,1131.11,1121.45,,
2025-12-11,1125.87,1121.21,1126.89,1118.99,,
2025-12-10,1122.0,1118.1,1122.0,1113.46,,
2025-12-09,1118.39,1114.1,1121.0,1108.94,,
2025-12-08,1112.91,1107.74,1118.71,1105.02,,
2025-12-05,1108.63,1096.1,1110.21,1095.22,,
2025-12-04,1095.44,1092.25,1097.52,1090.98,,
2025-12-03,1088.12,1087.74,1094.73,1082.35,,
2025-12-02,1089.49,1087.98,1090.17,1085.63,,
2025-12-01,1089.46,1088.21,1090.27,1082.7,,
2025-11-28,1087.77,1082.35,1087.77,1077.32,,
2025-11-27,1082.11,1088.86,1089.98,1076.81,,
2025-11-26,1088.86,1084.45,1088.86,1075.1,,
2025-11-25,1086.47,1081.65,1086.47,1077.98,,
2025-11-24,1080.32,1071.88,1080.43,1068.51,,
2025-11-21,1071.88,1082.97,1082.97,1065.11,,
2025-11-20,1083.94,1075.72,1084.15,1071.02,,
2025-11-19,1075.61,1065.06,1075.61,1062.13,,
2025-11-18,1064.45,1064.34,1072.42,1061.54,,
2025-11-17,1063.34,1078.1,1081.06,1057.04,,
2025-11-14,1079.33,1071.37,1079.33,1069.79,,
2025-11-13,1072.55,1075.63,1080.55,1070.12,,
2025-11-12,1074.78,1069.57,1078.89,1068.25,,
2025-11-11,1073.87,1069.38,1074.32,1068.56,,
2025-11-10,1067.15,1065.02,1068.04,1060.58,,
2025-11-07,1070.88,1070.64,1070.88,1063.14,,
2025-11-06,1070.88,1063.76,1070.88,1061.02,,
2025-11-05,1063.76,1068.79,1069.37,1062.13,,
2025-11-04,1068.79,1071.72,1072.71,1065.71,,
2025-11-03,1072.66,1066.61,1075.44,1065.21,,
2025-10-31,1067.06,1069.9,1070.38,1050.56,,
2025-10-30,1069.02,1072.35,1074.39,1063.01,,
2025-10-29,1072.11,1068.89,1075.27,1068.89,,
2025-10-28,1069.43,1069.46,1073.21,1066.31,,
2025-10-27,1069.46,1073.15,1073.15,1064.69,,
2025-10-24,1073.01,1068.14,1073.72,1061.95,,
2025-10-23,1068.14,1072.18,1073.07,1063.75,,
2025-10-22,1071.94,1080.74,1080.74,1069.24,,
2025-10-21,1082.77,1075.8,1082.77,1075.8,,
2025-10-20,1076.93,1073.93,1080.62,1070.94,,
2025-10-17,1073.93,1066.09,1073.93,1061.95,,
2025-10-16,1066.09,1071.7,1072.34,1063.61,,
2025-10-15,1071.7,1072.71,1074.62,1067.97,,
2025-10-14,1072.71,1074.95,1074.95,1065.99,,
2025-10-13,1074.95,1073.47,1076.9,1065.02,,
2025-10-10,1073.47,1077.51,1079.32,1072.5,,
2025-10-09,1077.51,1070.71,1077.51,1069.39,,
2025-10-08,1071.32,1063.92,1073.11,1063.92,,
2025-10-07,1063.92,1065.07,1066.21,1058.0,,
2025-10-06,1065.07,1066.39,1066.41,1058.81,,
