Date,Price,Open,High,Low,Vol.,Change %
2025-12-31,2066.54,2077.096,2077.84,2066.54,3471725.0,
2025-12-30,2077.096,2064.392,2077.835,2064.027,1317004.0,
2025-12-29,2065.123,2068.352,2068.352,2060.909,1587084.0,
2025-12-28,2068.352,2064.903,2068.717,2058.173,2303277.0,
2025-12-25,2064.903,2064.353,2065.29,2060.278,2652049.0,
2025-12-24,2064.353,2066.096,2066.468,2062.148,3238063.0,
2025-12-23,2066.096,2062.167,2066.096,2060.391,3400780.0,
2025-12-22,2062.167,2067.107,2067.107,2061.612,2787451.0,
2025-12-21,2067.107,2072.03,2073.145,2063.297,5956086.0,
2025-12-18,2072.03,2060.663,2072.03,2060.663,5423626.0,
2025-12-15,2058.061,2056.387,2058.309,2053.893,7955047.0,
2025-12-14,2056.387,2058.48,2059.223,2053.765,5475189.0,
2025-12-11,2058.48,2050.222,2058.637,2048.954,5225466.0,
2025-12-10,2051.156,2049.873,2051.982,2049.501,3947471.0,
2025-12-09,2049.873,2044.88,2049.873,2044.88,4221654.0,
2025-12-08,2044.88,2050.656,2055.103,2043.235,13681927.0,
2025-12-07,2050.656,2044.469,2051.027,2044.469,5376030.0,
2025-12-04,2044.469,2047.714,2048.779,2044.375,4038130.0,
2025-12-03,2047.714,2050.258,2052.414,2045.112,5606946.0,
2025-12-02,2050.049,2047.46,2050.049,2045.936,16099936.0,
2025-12-01,2047.46,2040.316,2047.46,2040.316,2216104.0,
2025-11-30,2040.316,2039.8,2047.007,2039.428,31158449.0,
2025-11-27,2039.8,2036.34,2042.076,2036.34,7947890.0,
2025-11-26,2036.34,2029.97,2037.477,2029.97,5712089.0,
2025-11-25,2030.342,2037.528,2037.528,2029.022,7409959.0,
2025-11-24,2037.528,2031.231,2037.623,2030.116,5549959.0,
2025-11-23,2031.231,2021.528,2032.089,2018.932,4104928.0,
2025-11-20,2021.528,2035.271,2036.034,2020.866,6553338.0,
2025-11-19,2035.271,2050.349,2050.349,2029.279,4736938.0,
2025-11-18,2050.349,2059.617,2059.911,2046.632,6906841.0,
2025-11-17,2059.029,2062.519,2062.519,2058.174,7481298.0,
2025-11-16,2061.637,2066.196,2067.078,2056.061,4751485.0,
2025-11-13,2066.196,2075.182,2076.689,2066.196,2510123.0,
2025-11-12,2075.182,2075.999,2079.652,2065.756,2296426.0,
2025-11-11,2075.999,2077.445,2080.364,2075.144,1781389.0,
2025-11-10,2077.445,2075.344,2077.445,2073.678,3439063.0,
2025-11-09,2075.344,2072.075,2075.828,2069.433,4443556.0,
2025-11-06,2072.075,2079.676,2081.534,2072.075,4942173.0,
2025-11-05,2079.676,2077.554,2083.607,2073.377,7071666.0,
2025-11-04,2077.554,2080.266,2080.961,2074.724,4366737.0,
2025-11-03,2078.44,2073.563,2084.507,2073.468,4417574.0,
2025-11-02,2073.934,2062.899,2073.934,2058.856,6352805.0,
2025-10-30,2062.899,2047.988,2062.899,2047.988,6971781.0,
2025-10-29,2047.988,2032.803,2047.988,2032.039,7726169.0,
2025-10-28,2032.803,2044.915,2049.344,2025.819,12939988.0,
2025-10-27,2045.02,2006.023,2045.02,2006.023,12604241.0,
2025-10-26,2006.023,1992.735,2009.676,1990.87,6498029.0,
2025-10-23,1992.735,1983.249,1992.735,1979.636,20648621.0,
2025-10-22,1983.249,1969.491,1983.249,1969.1,18603381.0,
2025-10-21,1969.491,1991.99,1992.362,1948.853,13246258.0,
2025-10-20,1991.99,1976.633,1992.754,1975.89,5472974.0,
2025-10-19,1976.633,1973.621,1977.061,1973.304,3229035.0,
2025-10-16,1973.621,1972.593,1974.508,1971.39,8984163.0,
2025-10-15,1971.478,1970.531,1972.389,1969.951,6266587.0,
2025-10-14,1970.958,1971.17,1972.054,1970.896,3997094.0,
2025-10-13,1971.17,1966.211,1973.278,1966.211,3273374.0,
2025-10-12,1965.481,1971.461,1972.81,1964.562,1715774.0,
2025-10-09,1970.73,1971.395,1971.395,1968.904,1116779.0,
2025-10-08,1971.395,1975.759,1975.759,1967.306,2554352.0,
2025-10-07,1975.759,1966.303,1976.502,1966.303,2426884.0,
2025-10-06,1966.153,1968.167,1970.689,1965.698,1658876.0,
2025-10-05,1968.167,1953.068,1968.533,1953.068,4077270.0,
2025-10-02,1953.068,1950.724,1953.262,1950.724,1831595.0,
2025-10-01,1950.724,1948.173,1952.4,1948.173,2588060.0,
2025-09-30,1948.173,1951.671,1951.671,1947.238,2905499.0,
2025-09-29,1951.671,1949.81,1952.992,1949.047,2220728.0,
2025-09-28,1949.81,1951.596,1954.393,1949.81,2971348.0,
2025-09-25,1952.452,1948.446,1952.778,1948.446,3445674.0,
2025-09-24,1948.446,1947.597,1950.494,1945.467,2196514.0,
2025-09-23,1947.597,1943.214,1947.597,1942.451,1197936.0,
2025-09-22,1943.214,1937.047,1943.214,1935.113,1969064.0,
2025-09-21,1937.047,1923.386,1937.439,1923.386,1423090.0,
2025-09-18,1923.386,1925.307,1927.96,1923.386,1484600.0,
2025-09-17,1925.307,1932.75,1932.75,1925.307,2431687.0,
2025-09-16,1932.75,1936.434,1937.199,1932.75,1626235.0,
2025-09-15,1936.434,1941.343,1941.343,1936.434,1509800.0,
