Date,Price,Open,High,Low,Vol.,Change %
2025-12-31,1517.74,,,,,-0.01
2025-12-30,1517.86,,,,,2.76
2025-12-29,1477.14,,,,,0.04
2025-12-26,1476.5,,,,,0.02
2025-12-24,1476.19,,,,,-0.07
2025-12-23,1477.17,,,,,-0.09
2025-12-22,1478.53,,,,,-1.11
2025-12-19,1495.17,,,,,0.07
2025-12-18,1494.08,,,,,-0.12
2025-12-17,1495.94,,,,,0.57
2025-12-16,1487.48,,,,,0.42
2025-12-15,1481.19,,,,,0.29
2025-12-12,1476.92,,,,,0.12
2025-12-11,1475.15,,,,,0.34
2025-12-10,1470.2,,,,,0.0
2025-12-09,1470.2,,,,,0.19
2025-12-08,1467.47,,,,,0.34
2025-12-05,1462.53,,,,,0.0
2025-12-04,1462.53,,,,,-0.97
2025-12-03,1476.87,,,,,0.04
2025-12-02,1476.28,,,,,0.47
2025-12-01,1469.35,,,,,0.0
2025-11-28,1469.35,,,,,-0.02
2025-11-27,1469.61,,,,,-0.88
2025-11-26,1482.7,,,,,-0.24
2025-11-21,1486.21,,,,,0.34
2025-11-20,1481.18,,,,,0.0
2025-11-19,1481.18,,,,,-0.01
2025-11-18,1481.28,,,,,-0.2
2025-11-17,1484.26,,,,,0.0
2025-11-14,1484.26,,,,,-0.09
2025-11-13,1485.66,,,,,-0.06
2025-11-12,1486.6,,,,,0.17
2025-11-11,1484.08,,,,,0.0
2025-11-10,1484.07,,,,,0.53
2025-11-07,1476.21,,,,,0.0
2025-11-06,1476.21,,,,,-0.3
2025-11-05,1480.61,,,,,-0.07
2025-11-04,1481.58,,,,,-0.24
2025-11-03,1485.16,,,,,-0.04
2025-10-31,1485.78,,,,,0.16
2025-10-30,1483.47,,,,,0.0
2025-10-29,1483.47,,,,,-0.09
2025-10-28,1484.83,,,,,-0.01
2025-10-27,1484.94,,,,,0.04
2025-10-23,1484.36,,,,,0.11
2025-10-22,1482.7,,,,,0.18
2025-10-21,1480.05,,,,,0.0
2025-10-20,1480.05,,,,,-0.07
2025-10-19,1481.03,,,,,0.05
2025-10-16,1480.32,,,,,0.0
2025-10-15,1480.32,,,,,0.06
2025-10-14,1479.48,,,,,0.42
2025-10-13,1473.3,,,,,-0.2
2025-10-12,1476.3,,,,,0.02
2025-10-09,1476.0,,,,,-0.58
2025-10-08,1484.64,,,,,0.0
2025-10-07,1484.64,,,,,0.01
2025-10-06,1484.49,,,,,0.13
2025-10-05,1482.54,,,,,0.59
2025-10-02,1473.81,,,,,0.0
2025-10-01,1473.81,,,,,-0.2
2025-09-30,1476.76,,,,,0.23
2025-09-29,1473.41,,,,,0.03
2025-09-28,1473.02,,,,,0.0
2025-09-25,1473.02,,,,,-0.13
2025-09-24,1474.95,,,,,0.01
2025-09-23,1474.75,,,,,-0.33
2025-09-22,1479.56,,,,,-0.11
2025-09-21,1481.12,,,,,-0.01
2025-09-18,1481.28,,,,,0.16
2025-09-17,1478.91,,,,,0.15
2025-09-16,1476.64,,,,,0.11
2025-09-15,1475.06,,,,,-0.08
2025-09-14,1476.17,,,,,-0.04
2025-09-11,1476.83,,,,,0.11
2025-09-10,1475.25,,,,,0.0
2025-09-09,1475.25,,,,,0.0
2025-09-08,1475.25,,,,,0.21
2025-09-07,1472.15,,,,,-0.3
2025-09-04,1476.65,,,,,-0.33
2025-09-03,1481.49,,,,,-0.11
2025-09-02,1483.1,,,,,-0.35
2025-09-01,1488.26,,,,,0.32
2025-08-31,1483.45,,,,,0.0
2025-08-28,1483.45,,,,,0.0
2025-08-27,1483.45,,,,,0.5
2025-08-26,1476.08,,,,,-0.58
2025-08-25,1484.66,,,,,0.0
2025-08-24,1484.66,,,,,-0.25
2025-08-21,1488.34,,,,,0.6
2025-08-20,1479.4,,,,,0.63
2025-08-19,1470.19,,,,,0.15
2025-08-18,1468.05,,,,,0.72
2025-08-17,1457.53,,,,,-0.08
2025-08-14,1458.7,,,,,0.35
2025-08-13,1453.63,,,,,-0.17
2025-08-12,1456.13,,,,,-0.1
2025-08-11,1457.66,,,,,-0.04
2025-08-10,1458.23,,,,,-0.4
2025-08-07,1464.03,,,,,0.41
2025-08-06,1458.08,,,,,1.28
2025-08-05,1439.62,,,,,1.82
2025-08-04,1413.95,,,,,-0.16
2025-08-03,1416.17,,,,,0.46
2025-07-31,1409.64,,,,,0.1
2025-07-30,1408.29,,,,,-0.02
2025-07-29,1408.6,,,,,0.0
2025-07-28,1408.6,,,,,-0.09
2025-07-27,1409.82,,,,,-0.35
2025-07-24,1414.74,,,,,0.09
2025-07-23,1413.46,,,,,1.17
2025-07-22,1397.05,,,,,-0.04
2025-07-21,1397.63,,,,,0.04
2025-07-20,1397.08,,,,,-0.02
2025-07-17,1397.37,,,,,-0.25
2025-07-16,1400.81,,,,,0.0
2025-07-15,1400.81,,,,,0.79
2025-07-14,1389.79,,,,,-0.15
2025-07-13,1391.88,,,,,-0.05
2025-07-10,1392.6,,,,,0.14
2025-07-09,1390.67,,,,,0.51
2025-07-08,1383.63,,,,,-0.1
2025-07-07,1385.01,,,,,-0.1
2025-07-06,1386.33,,,,,1.06
2025-07-03,1371.8,,,,,0.07
2025-07-02,1370.79,,,,,0.19
2025-07-01,1368.15,,,,,1.05
2025-06-30,1353.9,,,,,0.36
2025-06-29,1349.1,,,,,-0.02
2025-06-26,1349.33,,,,,0.48
2025-06-25,1342.93,,,,,0.16
2025-06-24,1340.84,,,,,-0.01
2025-06-23,1341.03,,,,,0.69
2025-06-22,1331.84,,,,,0.04
2025-06-19,1331.36,,,,,0.53
2025-06-18,1324.29,,,,,0.23
2025-06-17,1321.24,,,,,-1.52
2025-06-16,1341.59,,,,,0.94
2025-06-15,1329.11,,,,,0.02
