"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","1.6613","1.6613","1.6651","1.6601","","0.00%"
"12/29/2025","1.6613","1.661","1.664","1.6591","","0.11%"
"12/26/2025","1.6595","1.6598","1.6627","1.6576","","0.08%"
"12/24/2025","1.6581","1.6581","1.6611","1.6562","","-0.25%"
"12/23/2025","1.6623","1.6625","1.6625","1.657","","-0.49%"
"12/22/2025","1.6705","1.6701","1.6701","1.6617","","0.15%"
"12/19/2025","1.668","1.668","1.6711","1.6663","","0.14%"
"12/18/2025","1.6656","1.6656","1.6697","1.6633","","0.06%"
"12/17/2025","1.6646","1.6646","1.671","1.6634","","0.04%"
"12/16/2025","1.6639","1.6638","1.6651","1.6568","","-0.14%"
"12/15/2025","1.6663","1.6663","1.6678","1.6618","","0.02%"
"12/12/2025","1.666","1.6658","1.6688","1.665","","-0.33%"
"12/11/2025","1.6715","1.6714","1.6741","1.6632","","-0.62%"
"12/10/2025","1.682","1.6819","1.6828","1.6778","","0.11%"
"12/09/2025","1.6801","1.6801","1.6836","1.6778","","-0.01%"
"12/08/2025","1.6802","1.6801","1.6836","1.6756","","0.02%"
"12/05/2025","1.6799","1.6796","1.6819","1.6757","","0.21%"
"12/04/2025","1.6764","1.6764","1.6783","1.6742","","-0.33%"
"12/03/2025","1.682","1.6819","1.682","1.6751","","-0.17%"
"12/02/2025","1.6849","1.6849","1.6871","1.6826","","-0.05%"
"12/01/2025","1.6858","1.6857","1.6875","1.6786","","-0.02%"
"11/28/2025","1.6861","1.686","1.6923","1.6851","","0.02%"
"11/27/2025","1.6857","1.6855","1.6894","1.6838","","-0.33%"
"11/26/2025","1.6912","1.691","1.6934","1.6857","","-0.39%"
"11/25/2025","1.6978","1.6977","1.6989","1.6885","","-0.11%"
"11/24/2025","1.6996","1.6996","1.7003","1.6932","","0.24%"
"11/21/2025","1.6956","1.6955","1.7019","1.6931","","0.05%"
"11/20/2025","1.6947","1.6947","1.6996","1.6932","","0.35%"
"11/19/2025","1.6888","1.6888","1.6955","1.6864","","0.08%"
"11/18/2025","1.6874","1.6875","1.6899","1.685","","0.21%"
"11/17/2025","1.6838","1.6839","1.6885","1.6836","","0.14%"
"11/14/2025","1.6814","1.6816","1.6849","1.6783","","-0.34%"
"11/13/2025","1.6872","1.6872","1.689","1.6789","","-0.04%"
"11/12/2025","1.6879","1.6877","1.6914","1.6864","","-0.26%"
"11/11/2025","1.6923","1.6923","1.6936","1.6851","","-0.12%"
"11/10/2025","1.6943","1.6927","1.6943","1.6886","","0.05%"
"11/07/2025","1.6935","1.6935","1.6962","1.6875","","-0.45%"
"11/06/2025","1.7012","1.7012","1.7016","1.6944","","-0.10%"
