Date,Price,Open,High,Low,Vol.,Change %
2025-12-31,11030.03,,,,,
2025-12-30,11028.09,,,,,
2025-12-29,11019.34,,,,,
2025-12-24,10966.88,,,,,
2025-12-23,10963.74,,,,,
2025-12-22,10963.74,,,,,
2025-12-19,10961.8,,,,,
2025-12-18,10918.01,,,,,
2025-12-17,10932.41,,,,,
2025-12-16,10932.41,,,,,
2025-12-15,10891.99,,,,,
2025-12-12,10849.62,,,,,
2025-12-11,10849.62,,,,,
2025-12-10,10815.94,,,,,
2025-12-09,10815.83,,,,,
2025-12-08,10813.07,,,,,
2025-12-05,10792.66,,,,,
2025-12-04,10768.84,,,,,
2025-12-03,10762.55,,,,,
2025-12-02,10762.55,,,,,
2025-12-01,10732.24,,,,,
2025-11-28,10705.3,,,,,
2025-11-27,10678.35,,,,,
2025-11-26,10676.04,,,,,
2025-11-25,10644.71,,,,,
2025-11-24,10626.44,,,,,
2025-11-21,10646.68,,,,,
2025-11-20,10646.68,,,,,
2025-11-19,10646.68,,,,,
2025-11-18,10639.74,,,,,
2025-11-17,10639.74,,,,,
2025-11-14,10622.24,,,,,
2025-11-13,10622.24,,,,,
2025-11-12,10620.3,,,,,
2025-11-11,10620.3,,,,,
2025-11-10,10620.3,,,,,
2025-11-07,10616.43,,,,,
2025-11-06,10616.43,,,,,
2025-11-05,10581.7,,,,,
2025-11-04,10577.83,,,,,
2025-11-03,10577.83,,,,,
2025-10-31,10577.83,,,,,
2025-10-30,10577.83,,,,,
2025-10-29,10577.83,,,,,
2025-10-28,10617.99,,,,,
2025-10-27,10617.99,,,,,
2025-10-24,10617.99,,,,,
2025-10-23,10617.99,,,,,
2025-10-21,10617.99,,,,,
2025-10-20,10617.99,,,,,
2025-10-17,10617.99,,,,,
2025-10-16,10614.62,,,,,
2025-10-15,10613.5,,,,,
2025-10-14,10613.5,,,,,
2025-10-13,10613.5,,,,,
2025-10-10,10612.68,,,,,
2025-10-09,10612.68,,,,,
2025-10-08,10612.68,,,,,
2025-10-07,10612.68,,,,,
2025-10-06,10612.68,,,,,
2025-10-03,10610.53,,,,,
2025-10-02,10610.53,,,,,
2025-09-26,10610.53,,,,,
2025-09-25,10610.53,,,,,
2025-09-24,10610.53,,,,,
2025-09-23,10610.53,,,,,
2025-09-22,10610.53,,,,,
2025-09-19,10610.53,,,,,
2025-09-18,10610.53,,,,,
2025-09-17,10611.86,,,,,
2025-09-16,10611.86,,,,,
2025-09-15,10611.86,,,,,
2025-09-12,10611.86,,,,,
2025-09-11,10615.45,,,,,
2025-09-10,10615.45,,,,,
2025-09-09,10614.92,,,,,
2025-09-08,10567.95,,,,,
2025-09-05,10567.95,,,,,
2025-09-04,10567.95,,,,,
2025-09-03,10566.38,,,,,
2025-09-02,10566.38,,,,,
2025-09-01,10560.08,,,,,
2025-08-29,10560.08,,,,,
2025-08-28,10560.08,,,,,
2025-08-27,10560.08,,,,,
2025-08-26,10560.08,,,,,
2025-08-25,10559.88,,,,,
2025-08-22,10559.88,,,,,
2025-08-21,10559.88,,,,,
2025-08-20,10559.33,,,,,
2025-08-19,10553.06,,,,,
2025-08-18,10553.06,,,,,
2025-08-15,10553.06,,,,,
2025-08-14,10553.06,,,,,
2025-08-13,10553.06,,,,,
2025-08-12,10543.66,,,,,
2025-08-11,10527.93,,,,,
2025-08-08,10527.93,,,,,
2025-08-07,10512.19,,,,,
2025-08-06,10503.61,,,,,
2025-08-05,10503.61,,,,,
2025-08-04,10503.45,,,,,
2025-08-01,10498.75,,,,,
2025-07-31,10498.75,,,,,
2025-07-30,10498.75,,,,,
2025-07-29,10498.75,,,,,
2025-07-28,10496.81,,,,,
2025-07-25,10496.81,,,,,
2025-07-24,10495.71,,,,,
2025-07-23,10495.71,,,,,
2025-07-18,10430.23,,,,,
2025-07-17,10428.27,,,,,
2025-07-16,10428.27,,,,,
2025-07-15,10428.27,,,,,
2025-07-14,10428.27,,,,,
2025-07-11,10428.27,,,,,
2025-07-10,10428.27,,,,,
2025-07-09,10428.27,,,,,
2025-07-08,10421.93,,,,,
2025-07-07,10404.95,,,,,
2025-07-04,10404.95,,,,,
2025-07-03,10404.95,,,,,
2025-07-02,10404.95,,,,,
2025-06-30,10402.81,,,,,
