"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","10,481.40","10,521.68","10,531.77","10,456.26","","-0.38%"
"12/29/2025","10,521.68","10,483.15","10,521.73","10,427.59","","0.37%"
"12/26/2025","10,483.15","10,386.99","10,483.15","10,386.99","","0.93%"
"12/24/2025","10,386.99","10,403.73","10,415.97","10,350.46","","-0.16%"
"12/23/2025","10,403.73","10,389.39","10,431.00","10,352.98","","0.14%"
"12/22/2025","10,389.39","10,304.26","10,391.16","10,304.26","","0.83%"
"12/19/2025","10,304.26","10,194.26","10,348.80","10,194.26","","1.08%"
"12/18/2025","10,194.26","10,134.52","10,206.62","10,134.52","","0.59%"
"12/17/2025","10,134.52","10,188.43","10,275.40","10,111.75","","-0.53%"
"12/16/2025","10,188.43","10,302.23","10,305.73","10,177.12","","-1.10%"
"12/15/2025","10,302.23","10,400.01","10,500.77","10,296.84","","-0.94%"
"12/12/2025","10,400.01","10,362.86","10,425.35","10,327.26","","0.36%"
"12/11/2025","10,362.86","10,170.37","10,362.86","10,170.37","","1.89%"
"12/10/2025","10,170.37","10,179.97","10,234.62","10,148.08","","-0.09%"
"12/09/2025","10,179.97","10,222.61","10,227.13","10,136.82","","-0.42%"
"12/05/2025","10,222.61","10,179.42","10,278.13","10,128.77","","0.42%"
"12/04/2025","10,179.42","10,176.08","10,219.84","10,130.45","","0.03%"
"12/03/2025","10,176.08","10,146.49","10,201.07","10,129.74","","0.29%"
"12/02/2025","10,146.49","10,144.02","10,169.88","10,109.69","","0.02%"
"12/01/2025","10,144.02","10,128.58","10,146.84","10,033.28","","0.15%"
"11/28/2025","10,128.58","10,078.13","10,130.65","10,064.16","","0.50%"
"11/27/2025","10,078.13","9,998.30","10,079.77","9,996.54","","0.80%"
"11/26/2025","9,998.30","9,950.81","10,021.88","9,948.49","","0.48%"
"11/25/2025","9,950.81","9,802.98","9,950.81","9,802.98","","1.51%"
"11/24/2025","9,802.98","9,826.58","9,871.99","9,799.31","","-0.24%"
"11/21/2025","9,826.58","9,802.08","9,829.87","9,714.71","","0.25%"
"11/20/2025","9,802.08","9,873.59","9,959.21","9,802.08","","-0.72%"
"11/19/2025","9,873.59","9,809.37","9,992.17","9,809.37","","0.65%"
"11/18/2025","9,809.37","9,904.47","9,904.47","9,696.73","","-0.96%"
"11/17/2025","9,904.47","9,603.02","9,933.76","9,603.02","","3.14%"
"11/14/2025","9,603.02","9,710.38","9,710.38","9,558.82","","-1.11%"
"11/13/2025","9,710.38","9,893.86","9,939.93","9,710.38","","-1.85%"
"11/12/2025","9,893.86","9,710.83","9,906.09","9,710.83","","1.88%"
"11/11/2025","9,710.83","9,660.17","9,736.26","9,614.45","","0.52%"
"11/10/2025","9,660.17","9,605.06","9,733.44","9,605.06","","0.57%"
"11/07/2025","9,605.06","9,459.59","9,625.76","9,446.48","","1.54%"
"11/06/2025","9,459.59","9,432.13","9,506.23","9,432.13","","0.29%"
"11/05/2025","9,432.13","9,322.90","9,449.22","9,322.90","","1.17%"
"11/04/2025","9,322.90","9,511.78","9,511.78","9,319.39","","-1.99%"
"11/03/2025","9,511.78","9,509.42","9,513.85","9,497.59","","0.88%"
"10/30/2025","9,428.89","9,424.27","9,429.11","9,402.51","","1.10%"
"10/29/2025","9,326.50","9,232.17","9,326.50","9,232.17","","1.02%"
"10/28/2025","9,232.17","9,207.64","9,261.47","9,192.99","","0.27%"
