"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","277.88","277.10","277.90","275.19","","0.36%"
"12/30/2025","276.87","274.57","276.87","274.07","","0.99%"
"12/29/2025","274.16","275.58","276.58","273.37","","-0.52%"
"12/23/2025","275.58","276.80","277.66","273.79","","-0.30%"
"12/22/2025","276.41","277.11","277.11","275.11","","-0.25%"
"12/19/2025","277.11","277.65","278.28","276.64","","-0.19%"
"12/18/2025","277.65","277.27","277.95","275.33","","0.14%"
"12/17/2025","277.27","274.10","277.81","274.10","","1.30%"
"12/16/2025","273.70","274.58","275.18","273.70","","-0.32%"
"12/15/2025","274.58","275.50","276.12","274.58","","-0.33%"
"12/12/2025","275.50","276.36","276.36","274.70","","-0.31%"
"12/11/2025","276.36","277.14","278.59","275.97","","-0.28%"
"12/10/2025","277.14","276.57","277.74","276.28","","0.21%"
"12/09/2025","276.55","274.21","276.55","273.61","","0.85%"
"12/08/2025","274.21","274.74","275.72","273.50","","-0.19%"
"12/05/2025","274.74","274.62","276.09","273.62","","0.04%"
"12/04/2025","274.62","274.46","276.46","273.42","","0.06%"
"12/03/2025","274.46","276.82","276.82","273.33","","-0.85%"
"12/02/2025","276.82","276.60","276.82","274.75","","0.08%"
"12/01/2025","276.60","277.57","278.28","275.95","","-0.13%"
"11/28/2025","276.97","276.60","277.40","275.56","","0.13%"
"11/27/2025","276.60","277.41","278.77","276.21","","-0.28%"
"11/26/2025","277.38","277.68","278.18","275.79","","-0.11%"
"11/25/2025","277.68","278.83","279.48","277.63","","-0.42%"
"11/24/2025","278.86","278.59","279.39","278.39","","0.10%"
"11/21/2025","278.59","280.65","280.65","278.17","","-0.73%"
"11/20/2025","280.65","280.74","282.08","280.25","","-0.03%"
"11/19/2025","280.74","279.22","281.32","278.42","","0.54%"
"11/18/2025","279.22","280.93","280.93","278.74","","-0.68%"
"11/17/2025","281.13","282.27","282.87","281.10","","-0.40%"
"11/14/2025","282.27","284.24","284.33","280.99","","-0.69%"
"11/13/2025","284.24","282.34","284.24","282.19","","0.67%"
"11/12/2025","282.34","279.32","283.64","278.72","","1.08%"
"11/11/2025","279.32","278.47","281.08","278.47","","0.31%"
"11/10/2025","278.47","276.51","279.07","276.13","","0.67%"
"11/07/2025","276.61","280.45","280.45","276.37","","-1.37%"
"11/06/2025","280.45","280.81","281.33","279.73","","-0.13%"
"11/05/2025","280.81","280.68","281.78","280.40","","0.05%"
"11/04/2025","280.68","281.15","281.60","279.13","","-0.17%"
"11/03/2025","281.15","279.52","282.31","279.52","","0.58%"
"10/31/2025","279.52","283.98","283.98","278.53","","-1.57%"
"10/30/2025","283.98","283.98","284.83","282.57","","0.00%"
"10/29/2025","283.98","281.50","284.85","281.50","","0.88%"
"10/27/2025","281.50","279.47","281.54","278.79","","0.73%"
"10/24/2025","279.47","279.30","280.82","279.16","","0.06%"
"10/23/2025","279.30","277.87","279.67","277.27","","0.48%"
"10/22/2025","277.97","276.07","277.97","276.07","","0.69%"
"10/21/2025","276.07","275.84","277.24","274.17","","0.08%"
"10/20/2025","275.84","274.82","276.43","274.63","","0.37%"
"10/17/2025","274.82","280.93","280.93","273.17","","-2.17%"
"10/16/2025","280.93","282.68","283.54","280.53","","-0.62%"
"10/15/2025","282.68","282.91","283.78","282.48","","-0.08%"
"10/14/2025","282.91","285.52","285.52","282.90","","-0.91%"
"10/13/2025","285.52","284.66","285.52","282.92","","0.49%"
"10/10/2025","284.13","284.83","284.83","282.68","","-0.25%"
"10/09/2025","284.83","283.14","285.38","282.95","","0.57%"
"10/08/2025","283.21","283.74","284.74","283.21","","-0.19%"
"10/07/2025","283.74","284.50","284.50","282.38","","-0.28%"
"10/06/2025","284.55","286.92","287.07","284.10","","-0.83%"
"10/03/2025","286.92","287.31","288.03","286.48","","-0.14%"
"10/02/2025","287.31","287.77","288.81","285.88","","0.09%"
"10/01/2025","287.05","288.39","289.08","286.49","","0.00%"
"09/30/2025","287.05","288.39","289.08","286.49","","-0.46%"
"09/29/2025","288.39","287.95","288.47","283.63","","0.15%"
"09/26/2025","287.95","287.49","288.63","286.18","","0.16%"
"09/25/2025","287.49","290.37","291.34","287.17","","-1.03%"
"09/24/2025","290.47","288.85","291.27","288.20","","0.56%"
"09/23/2025","288.85","286.63","288.85","286.03","","0.77%"
"09/22/2025","286.63","289.35","289.35","285.63","","-0.94%"
"09/19/2025","289.35","287.92","289.35","286.05","","0.29%"
"09/18/2025","288.52","290.44","291.62","286.01","","-0.66%"
"09/17/2025","290.44","289.94","291.33","288.54","","0.28%"
"09/16/2025","289.63","293.34","293.34","289.63","","-1.26%"
"09/15/2025","293.34","291.00","293.59","291.00","","0.80%"
"09/12/2025","291.00","291.55","292.74","290.89","","-0.19%"
"09/11/2025","291.55","291.56","293.04","291.04","","0.00%"
"09/10/2025","291.56","291.46","292.98","291.09","","0.13%"
"09/09/2025","291.17","290.03","292.49","289.96","","0.39%"
"09/08/2025","290.03","289.47","290.22","288.17","","0.19%"
"09/05/2025","289.47","290.22","291.20","288.36","","-0.26%"
"09/04/2025","290.23","293.34","293.34","288.79","","-1.06%"
"09/03/2025","293.34","293.16","294.91","292.29","","0.06%"
"09/02/2025","293.16","294.70","296.85","292.79","","-0.52%"
"09/01/2025","294.70","293.62","295.94","293.62","","0.37%"
"08/29/2025","293.62","293.70","294.10","292.33","","-0.03%"
"08/28/2025","293.70","296.51","296.70","292.25","","-1.08%"
"08/27/2025","296.91","295.76","297.87","295.76","","0.39%"
"08/26/2025","295.76","295.37","297.53","293.63","","0.03%"
"08/25/2025","295.67","291.01","297.18","291.01","","1.60%"
"08/22/2025","291.01","289.46","291.81","288.75","","0.47%"
"08/21/2025","289.65","288.53","290.15","287.97","","0.24%"
"08/20/2025","288.97","290.88","290.97","288.97","","-0.66%"
"08/19/2025","290.88","292.51","292.51","290.30","","-0.56%"
"08/18/2025","292.51","293.14","294.90","292.06","","-0.21%"
"08/14/2025","293.14","292.49","293.61","292.42","","0.22%"
"08/13/2025","292.49","290.22","292.87","289.99","","0.78%"
"08/12/2025","290.22","289.40","290.77","288.67","","0.28%"
"08/11/2025","289.40","284.45","289.79","284.45","","1.74%"
