Date,Price,Open,High,Low,Vol.,Change %
2025-12-30,3845.124,3845.124,3845.124,3845.124,0,
2025-12-28,3836.197,3836.197,3836.197,3836.197,0,
2025-12-25,3836.197,3836.197,3836.197,3836.197,0,
2025-12-23,3836.197,3836.197,3836.197,3836.197,0,
2025-12-21,3835.235,3835.235,3835.235,3835.235,0,
2025-12-18,3835.235,3835.235,3835.235,3835.235,0,
2025-12-16,3834.246,3834.246,3834.246,3834.246,0,
2025-12-14,3835.235,3835.235,3835.235,3835.235,0,
2025-12-11,3834.973,3834.973,3834.973,3834.973,0,
2025-12-09,3833.984,3833.984,3833.984,3833.984,0,
2025-12-07,3833.897,3833.897,3833.897,3833.897,0,
2025-12-04,3834.885,3834.885,3834.885,3834.885,0,
2025-12-02,3834.885,3834.885,3834.885,3834.885,0,
2025-11-30,3832.609,3832.609,3832.609,3832.609,0,
2025-11-27,3832.79,3832.79,3832.79,3832.79,0,
2025-11-25,3831.698,3831.698,3831.698,3831.698,0,
2025-11-23,3832.687,3832.687,3832.687,3832.687,0,
2025-11-20,3832.687,3832.687,3832.687,3832.687,0,
2025-11-18,3832.687,3832.687,3832.687,3832.687,0,
2025-11-16,3832.687,3832.687,3832.687,3832.687,0,
2025-11-13,3831.801,3831.801,3831.801,3831.801,0,
2025-11-11,3831.801,3831.801,3831.801,3831.801,0,
2025-11-09,3832.184,3832.184,3832.184,3832.184,0,
2025-11-06,3836.215,3836.215,3836.215,3836.215,0,
2025-11-04,3841.468,3841.468,3841.468,3841.468,0,
2025-11-02,3837.344,3837.344,3837.344,3837.344,0,
2025-10-30,3837.344,3837.344,3837.344,3837.344,0,
2025-10-28,3833.006,3833.006,3833.006,3833.006,0,
2025-10-26,3803.344,3803.344,3803.344,3803.344,0,
2025-10-23,3798.4,3798.4,3798.4,3798.4,0,
2025-10-21,3788.513,3788.513,3788.513,3788.513,0,
2025-10-19,3788.997,3788.997,3788.997,3788.997,0,
2025-10-16,3712.864,3712.864,3712.864,3712.864,0,
2025-10-14,3602.097,3602.097,3602.097,3602.097,0,
