"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","129.568","129.518","129.812","129.253","","0.00%"
"12/30/2025","129.564","129.472","129.723","129.218","","0.15%"
"12/29/2025","129.365","129.530","129.696","129.218","","-0.11%"
"12/26/2025","129.508","129.427","129.795","129.392","","0.07%"
"12/25/2025","129.419","129.499","129.795","129.392","","-0.11%"
"12/24/2025","129.563","129.495","129.795","129.392","","-0.04%"
"12/23/2025","129.618","129.630","129.795","129.406","","-0.12%"
"12/22/2025","129.771","129.795","129.795","129.587","","0.01%"
"12/19/2025","129.756","129.708","129.877","129.280","","0.19%"
"12/18/2025","129.516","129.454","129.934","129.280","","0.07%"
"12/17/2025","129.426","129.454","129.469","129.422","","-0.03%"
"12/16/2025","129.462","129.667","129.886","129.344","","-0.16%"
"12/15/2025","129.672","129.744","129.912","129.462","","-0.02%"
"12/12/2025","129.694","129.709","129.934","129.606","","-0.03%"
"12/11/2025","129.730","129.928","130.049","129.606","","-0.15%"
"12/10/2025","129.925","130.206","130.222","129.909","","-0.14%"
"12/09/2025","130.111","130.038","130.246","130.019","","0.05%"
"12/08/2025","130.047","130.023","130.220","130.019","","0.07%"
"12/05/2025","129.962","129.898","130.257","129.764","","-0.12%"
"12/04/2025","130.122","129.916","130.329","129.729","","0.16%"
"12/03/2025","129.916","130.141","130.418","129.766","","-0.24%"
"12/02/2025","130.235","130.271","130.477","129.929","","-0.04%"
"12/01/2025","130.283","130.385","130.551","129.874","","-0.07%"
"11/28/2025","130.368","130.358","130.539","130.325","","0.01%"
"11/27/2025","130.354","130.431","130.735","130.110","","-0.06%"
"11/26/2025","130.431","130.443","130.803","130.154","","-0.06%"
"11/25/2025","130.514","130.489","130.965","130.254","","0.02%"
"11/24/2025","130.489","130.582","130.989","130.360","","-0.21%"
"11/21/2025","130.759","130.541","130.886","130.347","","0.06%"
"11/20/2025","130.685","130.610","130.990","130.365","","0.05%"
"11/19/2025","130.614","130.436","130.834","130.055","","0.14%"
"11/18/2025","130.436","130.240","130.647","130.060","","0.04%"
"11/17/2025","130.378","130.277","130.618","130.012","","0.10%"
"11/14/2025","130.253","130.124","130.410","129.912","","0.10%"
"11/13/2025","130.124","130.367","130.593","129.920","","-0.19%"
"11/12/2025","130.367","130.424","130.671","130.116","","0.09%"
"11/11/2025","130.252","130.512","130.758","130.097","","-0.25%"
"11/10/2025","130.583","130.469","130.756","130.076","","0.10%"
"11/07/2025","130.454","130.703","130.866","130.231","","-0.01%"
"11/06/2025","130.472","130.738","131.077","130.320","","-0.20%"
"11/05/2025","130.738","130.611","131.140","130.490","","0.10%"
"11/04/2025","130.611","130.687","131.035","130.386","","-0.06%"
"11/03/2025","130.687","130.580","130.960","130.247","","0.56%"
"10/31/2025","129.964","129.964","129.964","129.964","","0.00%"
"10/30/2025","129.964","129.965","129.965","129.964","","0.00%"
"10/29/2025","129.965","129.910","130.020","129.885","","0.04%"
"10/28/2025","129.910","130.020","130.020","129.871","","-0.08%"
"10/27/2025","130.018","130.089","130.089","129.948","","-0.29%"
"10/24/2025","130.401","130.431","130.619","130.005","","0.23%"
"10/23/2025","130.107","130.465","130.712","130.039","","-0.27%"
"10/22/2025","130.456","130.483","130.718","130.036","","-0.02%"
"10/21/2025","130.481","130.154","130.603","130.056","","0.25%"
"10/20/2025","130.154","129.858","130.160","129.858","","0.28%"
"10/17/2025","129.793","130.120","130.324","129.669","","-0.03%"
"10/16/2025","129.834","130.318","130.411","129.765","","-0.19%"
"10/15/2025","130.084","130.499","130.694","129.924","","-0.32%"
"10/14/2025","130.500","130.292","130.838","130.120","","0.16%"
"10/13/2025","130.292","130.141","130.524","129.694","","0.11%"
"10/10/2025","130.143","130.357","130.537","130.038","","-0.17%"
