Date,Price,Open,High,Low,Vol.,Change %
2025-12-31,1430.91,1430.91,1430.91,1430.91,,
2025-12-26,1429.89,1429.89,1429.89,1429.89,,
2025-12-24,1429.89,1429.89,1429.89,1429.89,,
2025-12-22,1436.96,1436.96,1436.96,1436.96,,
2025-12-17,1428.05,1428.05,1428.05,1428.05,,
2025-12-16,1428.58,1428.58,1428.58,1428.58,,
2025-12-12,1419.38,1419.38,1419.38,1419.38,,
2025-12-11,1420.26,1420.26,1420.26,1420.26,,
2025-12-10,1409.79,1409.79,1409.79,1409.79,,
2025-12-09,1409.79,1409.79,1409.79,1409.79,,
2025-12-08,1405.38,1405.38,1405.38,1405.38,,
2025-12-05,1404.15,1404.15,1404.15,1404.15,,
2025-12-04,1402.37,1402.37,1402.37,1402.37,,
2025-12-03,1394.57,1394.57,1394.57,1394.57,,
2025-12-02,1391.98,1391.98,1391.98,1391.98,,
2025-12-01,1388.46,1388.46,1388.46,1388.46,,
2025-11-27,1402.93,1402.93,1402.93,1402.93,,
2025-11-26,1388.66,1388.66,1388.66,1388.66,,
2025-11-25,1386.47,1386.47,1386.47,1386.47,,
2025-11-24,1386.74,1386.74,1386.74,1386.74,,
2025-11-20,1385.64,1385.64,1385.64,1385.64,,
2025-11-19,1377.44,1377.44,1377.44,1377.44,,
2025-11-17,1364.8,1364.8,1364.8,1364.8,,
2025-11-14,1363.7,1363.7,1363.7,1363.7,,
2025-11-13,1367.1,1367.1,1367.1,1367.1,,
2025-11-12,1361.77,1361.77,1361.77,1361.77,,
2025-11-11,1359.44,1359.44,1359.44,1359.44,,
2025-11-06,1349.62,1349.62,1349.62,1349.62,,
2025-11-05,1348.42,1348.42,1348.42,1348.42,,
2025-11-03,1347.53,1347.53,1347.53,1347.53,,
2025-10-30,1347.53,1347.53,1347.53,1347.53,,
2025-10-28,1341.51,1341.51,1341.51,1341.51,,
2025-10-27,1340.51,1340.51,1340.51,1340.51,,
2025-10-24,1337.97,1337.97,1337.97,1337.97,,
2025-10-23,1336.87,1336.87,1336.87,1336.87,,
2025-10-22,1336.56,1336.56,1336.56,1336.56,,
2025-10-21,1329.58,1329.58,1329.58,1329.58,,
2025-10-20,1332.71,1332.71,1332.71,1332.71,,
2025-10-17,1332.71,1332.71,1332.71,1332.71,,
2025-10-16,1334.23,1334.23,1334.23,1334.23,,
2025-10-15,1334.27,1334.27,1334.27,1334.27,,
2025-10-14,1332.53,1332.53,1332.53,1332.53,,
2025-10-13,1330.75,1330.75,1330.75,1330.75,,
2025-10-02,1329.78,1329.78,1329.78,1329.78,,
2025-09-30,1324.25,1324.25,1324.25,1324.25,,
2025-09-29,1323.25,1323.25,1323.25,1323.25,,
2025-09-26,1323.25,1323.25,1323.25,1323.25,,
2025-09-25,1319.31,1319.31,1319.31,1319.31,,
2025-09-22,1330.28,1330.28,1330.28,1330.28,,
2025-09-19,1325.46,1325.46,1325.46,1325.46,,
2025-09-18,1321.12,1321.12,1321.12,1321.12,,
2025-09-15,1317.35,1317.35,1317.35,1317.35,,
2025-09-12,1319.3,1319.3,1319.3,1319.3,,
2025-09-11,1318.16,1318.16,1318.16,1318.16,,
2025-09-10,1319.04,1319.04,1319.04,1319.04,,
2025-09-08,1323.24,1323.24,1323.24,1323.24,,
2025-09-05,1323.79,1323.79,1323.79,1323.79,,
2025-09-04,1322.92,1322.92,1322.92,1322.92,,
2025-09-03,1323.22,1323.22,1323.22,1323.22,,
