Date,Price,Open,High,Low,Vol.,Change %
2025-12-31,8770.25,,,,673763,
2025-12-30,8763.68,,,,1458833,
2025-12-29,8757.11,,,,639264,
2025-12-24,8755.97,,,,802411,
2025-12-23,8751.66,,,,1021237,
2025-12-22,8759.11,,,,10333958,
2025-12-19,8755.59,,,,1391759,
2025-12-18,8745.74,,,,1516630,
2025-12-17,8721.73,,,,4833127,
2025-12-16,8706.79,,,,4617438,
2025-12-15,8678.04,,,,1340848,
2025-12-12,8679.19,,,,13086286,
2025-12-11,8634.75,,,,408041,
2025-12-10,8634.75,,,,1578626,
2025-12-09,8628.21,,,,10791618,
2025-12-08,8630.5,,,,605781,
2025-12-04,8622.64,,,,430781,
2025-12-03,8599.03,,,,2175865,
2025-12-02,8611.87,,,,3766520,
2025-12-01,8610.7,,,,1265130,
2025-11-28,8610.15,,,,2190754,
2025-11-27,8584.17,,,,826418,
2025-11-26,8610.88,,,,15509624,
2025-11-25,8587.31,,,,1416021,
2025-11-24,8558.6,,,,413902,
2025-11-21,8521.02,,,,2488924,
2025-11-20,8496.86,,,,1726910,
2025-11-19,8423.35,,,,2026747,
2025-11-18,8420.94,,,,1735905,
2025-11-17,8414.15,,,,1066093,
2025-11-14,8411.88,,,,421111,
2025-11-13,8196.71,,,,259062,
2025-11-12,8173.66,,,,420644,
2025-11-10,8172.3,,,,1249230,
2025-11-07,8229.16,,,,3504372,
2025-11-06,8227.84,,,,506700,
2025-11-05,8282.26,,,,573828,
2025-11-04,8284.0,,,,506115,
2025-11-03,8369.81,,,,321318,
2025-10-31,8385.35,,,,1111165,
2025-10-30,8341.87,,,,268624,
2025-10-29,8345.01,,,,6962109,
2025-10-28,8351.36,,,,344020,
2025-10-27,8379.0,,,,550981,
2025-10-24,8367.12,,,,878402,
2025-10-23,8378.59,,,,1606700,
2025-10-22,8447.64,,,,920626,
2025-10-21,8468.44,,,,1527471,
2025-10-20,8490.2,,,,219934,
2025-10-17,8495.93,,,,2288487,
2025-10-16,8489.75,,,,849919,
2025-10-15,8501.99,,,,976196,
2025-10-14,8495.76,,,,1282825,
2025-10-13,8481.39,,,,1212642,
2025-10-10,8488.81,,,,285416,
2025-10-09,8497.43,,,,3273970,
2025-10-08,8484.39,,,,1521843,
2025-10-07,8443.88,,,,9900858,
2025-10-06,8422.19,,,,3013534,
2025-10-03,8410.56,,,,962313,
2025-10-02,8365.89,,,,1524476,
2025-10-01,8330.55,,,,1151503,
2025-09-30,8168.35,,,,1016588,
2025-09-29,8161.85,,,,2065921,
2025-09-26,8120.0,,,,1502523,
2025-09-25,8046.69,,,,416360,
2025-09-24,7829.09,,,,745507,
2025-09-23,7800.7,,,,4986838,
2025-09-19,7779.15,,,,746677,
2025-09-18,7672.81,,,,764492,
2025-09-17,7596.49,,,,4467270,
2025-09-16,7465.99,,,,2465715,
2025-09-15,7316.08,,,,355634,
2025-09-12,7269.4,,,,92974,
2025-09-11,7196.58,,,,407090,
2025-09-10,7196.64,,,,409119,
2025-09-09,7172.44,,,,3446051,
2025-09-08,7172.44,,,,4414795,
2025-09-05,7172.44,,,,8804466,
2025-09-04,7321.59,,,,481172,
2025-09-03,7320.21,,,,4487939,
2025-09-02,7310.17,,,,2760765,
2025-09-01,7330.37,,,,292990,
2025-08-29,7330.37,,,,517503,
2025-08-28,7340.08,,,,283272,
2025-08-27,7339.02,,,,407850,
2025-08-26,7335.76,,,,699169,
2025-08-25,7348.65,,,,235209,
2025-08-22,7346.69,,,,1004747,
2025-08-21,7336.7,,,,6592021,
2025-08-20,7303.81,,,,2773854,
2025-08-19,7416.16,,,,840754,
2025-08-18,7416.03,,,,421604,
2025-08-15,7412.59,,,,533131,
2025-08-14,7401.5,,,,1037847,
2025-08-13,7443.29,,,,589225,
2025-08-12,7411.94,,,,8706859,
2025-08-11,7411.94,,,,7797008,
2025-08-08,7386.41,,,,2668056,
2025-08-07,7323.35,,,,662180,
2025-08-06,7162.2,,,,581013,
2025-08-05,7040.46,,,,1574138,
2025-08-04,7005.69,,,,5442174,
2025-08-01,6994.45,,,,960231,
