Date,Price,Open,High,Low,Vol.,Change %
2025-12-30,3857.22,3849.57,3871.94,3844.12,,0.23
2025-12-29,3848.33,3822.97,3849.64,3822.32,,0.66
2025-12-23,3822.97,3816.02,3825.41,3804.72,,0.2
2025-12-22,3815.37,3809.82,3833.28,3809.08,,0.15
2025-12-19,3809.82,3841.07,3847.21,3809.82,,-0.82
2025-12-18,3841.27,3829.44,3841.45,3829.21,,0.29
2025-12-17,3830.02,3822.45,3837.47,3817.48,,0.2
2025-12-16,3822.45,3834.21,3834.21,3816.69,,-0.36
2025-12-15,3836.18,3834.56,3842.66,3827.28,,0.04
2025-12-12,3834.56,3840.27,3850.16,3833.49,,-0.12
2025-12-11,3839.21,3843.26,3859.39,3837.48,,-0.11
2025-12-10,3843.26,3812.24,3848.95,3811.17,,0.81
2025-12-09,3812.24,3814.51,3828.63,3807.75,,-0.06
2025-12-08,3814.51,3834.27,3835.59,3809.06,,-0.52
2025-12-05,3834.27,3819.83,3834.27,3815.54,,0.38
2025-12-04,3819.83,3810.27,3819.83,3799.07,,0.23
2025-12-03,3810.98,3807.04,3813.33,3799.17,,0.17
2025-12-02,3804.51,3797.09,3815.88,3792.37,,0.2
2025-12-01,3797.09,3794.49,3808.68,3790.06,,0.07
2025-11-28,3794.49,3786.82,3796.18,3786.44,,0.17
2025-11-27,3788.04,3774.03,3795.9,3770.78,,0.35
2025-11-26,3774.95,3771.32,3779.89,3763.04,,0.18
2025-11-25,3768.12,3760.92,3780.23,3756.97,,0.19
2025-11-24,3760.92,3732.1,3762.18,3732.1,,0.77
2025-11-21,3732.1,3764.14,3764.31,3723.16,,-0.82
2025-11-20,3762.92,3766.8,3773.85,3758.2,,-0.05
2025-11-19,3764.67,3782.11,3782.11,3753.5,,-0.46
2025-11-17,3782.11,3776.9,3783.03,3760.04,,0.12
2025-11-14,3777.45,3786.76,3793.76,3774.81,,-0.15
2025-11-13,3783.1,3785.64,3795.91,3772.71,,-0.07
2025-11-12,3785.64,3767.34,3787.32,3765.94,,0.49
2025-11-11,3767.34,3774.16,3779.72,3766.45,,-0.2
2025-11-10,3774.71,3745.16,3774.71,3740.67,,0.77
2025-11-07,3745.87,3765.23,3765.23,3740.9,,-0.51
2025-11-06,3765.23,3769.09,3773.62,3754.75,,-0.23
2025-11-05,3773.96,3787.96,3787.96,3759.08,,-0.34
2025-11-04,3786.7,3804.32,3804.32,3779.45,,-0.48
2025-11-03,3804.87,3815.21,3826.78,3804.81,,-0.26
2025-10-31,3814.92,3807.63,3818.08,3797.26,,0.21
2025-10-30,3807.02,3813.68,3826.99,3802.74,,-0.17
2025-10-29,3813.68,3823.3,3829.8,3794.84,,-0.26
2025-10-28,3823.7,3830.41,3836.46,3812.39,,-0.18
2025-10-27,3830.41,3842.83,3869.1,3825.71,,-0.32
2025-10-24,3842.83,3838.16,3853.28,3830.84,,0.06
2025-10-23,3840.53,3818.19,3850.18,3815.07,,0.68
2025-10-22,3814.54,3802.7,3823.43,3802.55,,0.44
2025-10-21,3797.68,3790.54,3801.49,3786.98,,0.21
2025-10-20,3789.62,3784.04,3790.69,3772.92,,0.2
2025-10-17,3781.91,3783.2,3783.2,3760.83,,-0.03
2025-10-16,3783.2,3752.78,3783.2,3752.78,,0.74
2025-10-15,3755.29,3747.5,3758.26,3745.22,,0.16
2025-10-14,3749.37,3757.52,3776.84,3743.44,,-0.31
2025-10-13,3761.19,3760.45,3771.2,3754.59,,0.02
2025-10-10,3760.45,3778.04,3781.08,3747.37,,-0.41
2025-10-09,3775.91,3780.36,3782.08,3757.05,,-0.12
2025-10-08,3780.36,3797.7,3802.15,3762.81,,-0.45
2025-10-07,3797.41,3806.62,3816.37,3795.07,,-0.27
2025-10-06,3807.54,3826.34,3831.19,3802.51,,-0.51
2025-10-03,3827.04,3829.21,3844.48,3817.63,,0.03
2025-10-02,3826.02,3809.22,3829.86,3803.23,,0.46
2025-10-01,3808.5,3799.63,3808.65,3786.12,,0.27
2025-09-30,3798.11,3801.29,3804.09,3790.53,,0.01
2025-09-29,3797.62,3796.98,3804.77,3791.12,,0.02
2025-09-26,3796.98,3788.89,3796.98,3777.34,,0.21
2025-09-25,3788.89,3787.58,3795.38,3756.76,,-0.01
2025-09-24,3789.41,3796.33,3799.73,3783.68,,-0.21
2025-09-23,3797.39,3827.95,3834.33,3785.38,,-0.8
2025-09-22,3827.95,3841.78,3841.78,3822.79,,-0.36
2025-09-19,3841.78,3822.26,3858.84,3822.26,,0.5
2025-09-18,3822.56,3832.79,3849.6,3821.26,,-0.16
2025-09-17,3828.78,3838.84,3848.86,3826.52,,-0.26
2025-09-16,3838.84,3869.04,3869.04,3831.66,,-0.78
2025-09-15,3869.04,3854.4,3878.34,3845.7,,0.45
2025-09-12,3851.82,3823.55,3861.09,3819.68,,0.74
2025-09-11,3823.55,3814.04,3825.11,3809.37,,0.28
2025-09-10,3812.9,3779.24,3812.9,3779.24,,0.89
2025-09-09,3779.1,3774.2,3793.84,3767.31,,0.1
2025-09-08,3775.39,3741.14,3775.55,3741.14,,0.92
2025-09-05,3741.05,3725.27,3750.17,3718.6,,0.42
2025-09-04,3725.27,3724.15,3733.02,3717.4,,0.05
2025-09-03,3723.44,3713.64,3723.44,3701.57,,0.26
2025-09-02,3713.64,3717.6,3729.34,3701.68,,-0.1
2025-09-01,3717.39,3701.81,3723.0,3688.3,,0.42
2025-08-29,3701.81,3696.23,3701.81,3684.69,,0.17
2025-08-28,3695.4,3684.94,3695.4,3680.22,,0.39
2025-08-27,3680.93,3674.69,3691.01,3674.35,,0.13
2025-08-26,3676.03,3699.2,3699.2,3675.83,,-0.63
2025-08-25,3699.2,3699.1,3704.21,3683.57,,-0.01
2025-08-22,3699.46,3692.87,3699.46,3684.36,,0.18
2025-08-21,3692.87,3711.22,3720.21,3686.53,,-0.5
