"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2025","976.80","976.80","976.80","976.80","","1.97%"
"11/16/2025","957.96","957.96","957.96","957.96","","-0.23%"
"11/13/2025","960.15","960.15","960.15","960.15","","1.59%"
"11/06/2025","945.08","945.08","945.08","945.08","","-1.31%"
"11/03/2025","957.60","957.60","957.60","957.60","","1.85%"
"10/30/2025","940.17","940.17","940.17","940.17","","1.48%"
"10/29/2025","926.48","926.48","926.48","926.48","","1.80%"
"10/27/2025","910.06","910.06","910.06","910.06","","-0.39%"
"10/26/2025","913.63","913.63","913.63","913.63","","-0.40%"
"10/23/2025","917.31","917.31","917.31","917.31","","0.13%"
"10/22/2025","916.10","916.10","916.10","916.10","","-1.05%"
"10/19/2025","925.78","925.78","925.78","925.78","","-0.75%"
"10/16/2025","932.73","932.73","932.73","932.73","","-1.49%"
"10/14/2025","946.85","946.85","946.85","946.85","","-0.09%"
"10/13/2025","947.75","947.75","947.75","947.75","","-0.45%"
"10/12/2025","952.02","952.02","952.02","952.02","","-0.09%"
"10/09/2025","952.88","952.88","952.88","952.88","","1.14%"
"10/08/2025","942.10","942.10","942.10","942.10","","-0.68%"
"10/07/2025","948.54","948.54","948.54","948.54","","-0.81%"
"10/06/2025","956.24","956.24","956.24","956.24","","-0.58%"
"10/02/2025","961.81","961.81","961.81","961.81","","-0.40%"
"10/01/2025","965.71","965.71","965.71","965.71","","0.24%"
"09/30/2025","963.39","963.39","963.39","963.39","","0.11%"
"09/29/2025","962.34","962.34","962.34","962.34","","-0.15%"
"09/25/2025","963.79","963.79","963.79","963.79","","-0.39%"
"09/24/2025","967.60","967.60","967.60","967.60","","-0.11%"
"09/23/2025","968.66","968.66","968.66","968.66","","0.14%"
"09/21/2025","967.34","967.34","967.34","967.34","","0.32%"
"09/18/2025","964.26","964.26","964.26","964.26","","-0.13%"
"09/17/2025","965.56","965.56","965.56","965.56","","-0.31%"
"09/16/2025","968.56","968.56","968.56","968.56","","-0.17%"
"09/15/2025","970.22","970.22","970.22","970.22","","0.37%"
"09/14/2025","966.61","966.61","966.61","966.61","","1.44%"
"09/11/2025","952.93","952.93","952.93","952.93","","0.03%"
"09/10/2025","952.65","952.65","952.65","952.65","","-0.20%"
"09/09/2025","954.52","954.52","954.52","954.52","","0.07%"
"09/08/2025","953.82","953.82","953.82","953.82","","-0.59%"
"09/07/2025","959.46","959.46","959.46","959.46","","-0.10%"
"09/03/2025","960.40","960.40","960.40","960.40","","0.06%"
"09/02/2025","959.81","959.81","959.81","959.81","","-0.34%"
"09/01/2025","963.06","963.06","963.06","963.06","","-0.26%"
"08/28/2025","965.61","965.61","965.61","965.61","","0.77%"
"08/27/2025","958.24","958.24","958.24","958.24","","0.69%"
"08/26/2025","951.69","951.69","951.69","951.69","","0.52%"
"08/25/2025","946.72","946.72","946.72","946.72","","0.59%"
"08/21/2025","941.21","941.21","941.21","941.21","","-0.15%"
