"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","2,174.45","2,160.44","2,177.48","2,158.00","99.41M","0.65%"
"12/29/2025","2,160.44","2,153.71","2,172.48","2,153.71","217.59M","0.31%"
"12/23/2025","2,153.71","2,133.17","2,153.71","2,129.23","75.39M","0.96%"
"12/22/2025","2,133.17","2,131.51","2,133.17","2,120.67","83.06M","0.08%"
"12/19/2025","2,131.51","2,126.17","2,138.55","2,123.66","342.24M","0.25%"
"12/18/2025","2,126.17","2,137.26","2,140.45","2,126.17","306.56M","-0.52%"
"12/17/2025","2,137.26","2,136.92","2,142.30","2,132.05","215.62M","0.02%"
"12/16/2025","2,136.92","2,143.91","2,143.91","2,133.36","134.66M","-0.33%"
"12/15/2025","2,143.91","2,159.08","2,159.08","2,140.43","341.18M","-0.70%"
"12/12/2025","2,159.08","2,136.48","2,159.08","2,136.48","161.79M","1.06%"
"12/11/2025","2,136.48","2,143.39","2,150.00","2,135.65","85.00M","-0.32%"
"12/10/2025","2,143.39","2,148.97","2,151.88","2,132.70","95.00M","-0.26%"
"12/09/2025","2,148.97","2,154.98","2,154.98","2,131.40","168.68M","-0.28%"
"12/08/2025","2,154.98","2,135.02","2,157.98","2,135.02","202.46M","0.93%"
"12/05/2025","2,135.02","2,093.34","2,139.51","2,093.34","319.83M","1.99%"
"12/04/2025","2,093.34","2,056.06","2,093.34","2,056.06","186.70M","1.81%"
"12/03/2025","2,056.06","2,061.51","2,067.02","2,050.81","133.66M","-0.26%"
"12/02/2025","2,061.51","2,056.71","2,062.25","2,048.91","122.67M","0.23%"
"12/01/2025","2,056.71","2,077.49","2,079.20","2,055.13","123.63M","-1.00%"
"11/28/2025","2,077.49","2,068.73","2,077.49","2,066.14","128.32M","0.42%"
"11/27/2025","2,068.73","2,057.81","2,086.42","2,057.81","163.78M","0.53%"
"11/26/2025","2,057.81","2,056.67","2,062.14","2,053.86","172.59M","0.06%"
"11/25/2025","2,056.67","2,054.22","2,070.04","2,054.22","76.42M","0.12%"
"11/24/2025","2,054.22","2,033.90","2,054.22","2,033.90","66.98M","1.00%"
"11/21/2025","2,033.90","2,036.15","2,037.40","2,025.94","86.70M","-0.11%"
"11/20/2025","2,036.15","2,037.37","2,046.52","2,034.36","149.11M","-0.06%"
"11/19/2025","2,037.37","2,020.84","2,050.24","2,020.84","158.80M","0.82%"
"11/18/2025","2,020.84","2,048.81","2,048.81","2,020.84","50.09M","-1.37%"
"11/17/2025","2,048.81","2,048.22","2,055.94","2,045.39","77.94M","0.03%"
"11/14/2025","2,048.22","2,054.03","2,068.49","2,045.90","93.85M","-0.28%"
"11/13/2025","2,054.03","2,058.87","2,060.52","2,028.48","81.86M","-0.24%"
"11/12/2025","2,058.87","2,051.71","2,058.87","2,048.78","52.59M","0.35%"
"11/11/2025","2,051.71","2,056.29","2,058.48","2,049.84","115.99M","-0.22%"
"11/10/2025","2,056.29","2,042.78","2,083.73","2,042.78","118.95M","0.66%"
"11/07/2025","2,042.78","2,024.44","2,043.67","2,021.02","68.95M","0.91%"
"11/06/2025","2,024.44","1,981.97","2,025.65","1,981.97","397.95M","2.14%"
"11/05/2025","1,981.97","1,977.92","1,982.72","1,972.95","112.13M","0.20%"
"11/04/2025","1,977.92","1,990.15","1,990.15","1,968.67","154.81M","-0.61%"
"11/03/2025","1,990.15","2,091.90","2,091.90","1,985.09","","-4.86%"
"10/31/2025","2,091.90","2,113.36","2,113.36","2,091.90","83.34M","-1.02%"
"10/30/2025","2,113.36","2,123.11","2,125.58","2,108.57","41.47M","-0.46%"
"10/29/2025","2,123.11","2,127.01","2,127.01","2,110.47","74.31M","-0.18%"
"10/28/2025","2,127.01","2,147.78","2,152.14","2,122.27","51.54M","-0.97%"
"10/27/2025","2,147.78","2,143.15","2,161.97","2,143.15","148.53M","0.22%"
"10/24/2025","2,143.15","2,134.12","2,143.15","2,129.32","255.06M","0.42%"
"10/23/2025","2,134.12","2,128.34","2,134.52","2,123.58","250.42M","0.27%"
"10/22/2025","2,128.34","2,147.92","2,147.92","2,127.32","241.31M","-0.91%"
"10/21/2025","2,147.92","2,157.75","2,157.75","2,141.48","459.37M","-0.46%"
"10/20/2025","2,157.75","2,162.46","2,166.59","2,155.11","297.31M","-0.22%"
"10/17/2025","2,162.46","2,181.09","2,181.09","2,146.85","235.14M","-0.85%"
"10/16/2025","2,181.09","2,196.27","2,196.96","2,177.36","312.56M","-0.69%"
"10/15/2025","2,196.27","2,173.76","2,206.35","2,173.76","186.12M","1.04%"
"10/14/2025","2,173.76","2,137.69","2,173.76","2,127.52","271.53M","1.69%"
"10/13/2025","2,137.69","2,155.53","2,155.53","2,135.21","90.15M","-0.83%"
"10/10/2025","2,155.53","2,164.63","2,168.50","2,153.72","116.15M","-0.42%"
"10/09/2025","2,164.63","2,169.76","2,176.00","2,164.51","157.70M","-0.24%"
"10/08/2025","2,169.76","2,154.43","2,172.19","2,154.43","106.59M","0.71%"
"10/07/2025","2,154.43","2,132.63","2,168.56","2,132.63","190.62M","1.02%"
"10/06/2025","2,132.63","2,114.57","2,138.07","2,114.57","157.12M","0.85%"
"10/03/2025","2,114.57","2,088.99","2,116.80","2,088.99","451.73M","1.22%"
"10/02/2025","2,088.99","2,089.89","2,096.19","2,086.11","151.98M","-0.04%"
"10/01/2025","2,089.89","2,092.67","2,098.55","2,088.64","448.53M","-0.13%"
"09/30/2025","2,092.67","2,107.05","2,110.13","2,092.67","238.47M","-0.68%"
"09/29/2025","2,107.05","2,101.36","2,113.51","2,098.53","654.12M","0.27%"
"09/26/2025","2,101.36","2,097.40","2,101.36","2,087.51","93.83M","0.19%"
"09/25/2025","2,097.40","2,116.37","2,117.12","2,089.15","42.18M","-0.90%"
"09/24/2025","2,116.37","2,130.96","2,130.96","2,112.63","124.46M","-0.68%"
"09/23/2025","2,130.96","2,094.68","2,140.07","2,094.68","107.39M","1.73%"
"09/22/2025","2,094.68","2,097.43","2,098.54","2,086.06","29.94M","-0.13%"
"09/19/2025","2,097.43","2,105.09","2,105.90","2,097.43","76.96M","-0.36%"
"09/18/2025","2,105.09","2,104.98","2,107.37","2,100.85","29.63M","0.01%"
"09/17/2025","2,104.98","2,127.35","2,127.35","2,101.07","63.40M","-1.05%"
"09/16/2025","2,127.35","2,128.02","2,138.31","2,127.35","87.80M","-0.03%"
"09/15/2025","2,128.02","2,126.14","2,132.30","2,124.80","164.43M","0.09%"
"09/12/2025","2,126.14","2,123.63","2,131.27","2,122.68","160.93M","0.12%"
"09/11/2025","2,123.63","2,119.80","2,126.76","2,118.26","150.50M","0.18%"
"09/10/2025","2,119.80","2,085.86","2,120.37","2,085.86","111.63M","1.63%"
"09/09/2025","2,085.86","2,090.36","2,092.26","2,083.40","106.14M","-0.22%"
"09/08/2025","2,090.36","2,097.95","2,102.28","2,090.36","85.43M","-0.36%"
"09/05/2025","2,097.95","2,075.98","2,098.42","2,075.98","67.34M","1.06%"
"09/04/2025","2,075.98","2,068.41","2,084.39","2,065.88","128.61M","0.37%"
