"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","317,987","317,987","317,987","317,987","","0.69%"
"12/30/2025","315,800","315,800","315,800","315,800","","-0.07%"
"12/29/2025","316,034","316,034","316,034","316,034","","0.26%"
"12/24/2025","315,201","315,201","315,201","315,201","","0.71%"
"12/23/2025","312,973","312,973","312,973","312,973","","0.68%"
"12/22/2025","310,864","310,864","310,864","310,864","","-0.84%"
"12/19/2025","313,493","313,493","313,493","313,493","","-0.41%"
"12/18/2025","314,799","314,799","314,799","314,799","","-0.27%"
"12/17/2025","315,655","315,655","315,655","315,655","","0.20%"
"12/16/2025","315,015","315,015","315,015","315,015","","0.26%"
"12/15/2025","314,207","314,207","314,207","314,207","","0.37%"
"12/12/2025","313,036","313,036","313,036","313,036","","1.16%"
"12/11/2025","309,440","309,440","309,440","309,440","","-0.72%"
"12/10/2025","311,676","311,676","311,676","311,676","","-0.16%"
"12/09/2025","312,191","312,191","312,191","312,191","","0.67%"
"12/08/2025","310,112","310,112","310,112","310,112","","-1.11%"
"12/05/2025","313,597","313,597","313,597","313,597","","-0.37%"
"12/04/2025","314,748","314,748","314,748","314,748","","0.22%"
"12/03/2025","314,047","314,047","314,047","314,047","","0.11%"
"12/02/2025","313,695","313,695","313,695","313,695","","-0.82%"
"12/01/2025","316,296","316,296","316,296","316,296","","-0.74%"
"11/28/2025","318,658","318,658","318,658","318,658","","0.89%"
"11/27/2025","315,845","315,845","315,845","315,845","","0.33%"
"11/26/2025","314,791","314,791","314,791","314,791","","-0.03%"
"11/25/2025","314,895","314,895","314,895","314,895","","0.14%"
"11/24/2025","314,469","314,469","314,469","314,469","","0.63%"
"11/21/2025","312,487","312,487","312,487","312,487","","-0.45%"
"11/20/2025","313,888","313,888","313,888","313,888","","0.30%"
"11/19/2025","312,951","312,951","312,951","312,951","","0.86%"
"11/18/2025","310,286","310,286","310,286","310,286","","-0.70%"
"11/17/2025","312,473","312,473","312,473","312,473","","0.35%"
"11/14/2025","311,398","311,398","311,398","311,398","","0.66%"
"11/13/2025","309,355","309,355","309,355","309,355","","-0.92%"
"11/12/2025","312,212","312,212","312,212","312,212","","-0.56%"
"11/11/2025","313,975","313,975","313,975","313,975","","0.18%"
"11/10/2025","313,419","313,419","313,419","313,419","","-0.58%"
"11/07/2025","315,239","315,239","315,239","315,239","","-0.47%"
"11/06/2025","316,738","316,738","316,738","316,738","","-1.08%"
"11/05/2025","320,182","320,182","320,182","320,182","","-0.01%"
"11/04/2025","320,208","320,208","320,208","320,208","","0.14%"
"11/03/2025","319,773","319,773","319,773","319,773","","-0.94%"
"10/31/2025","322,821","322,821","322,821","322,821","","-0.32%"
"10/30/2025","323,842","323,842","323,842","323,842","","0.00%"
"10/24/2025","323,843","323,843","323,843","323,843","","1.02%"
"10/23/2025","320,562","320,562","320,562","320,562","","0.48%"
"10/22/2025","319,020","319,020","319,020","319,020","","-1.06%"
"10/21/2025","322,429","322,429","322,429","322,429","","-0.02%"
"10/17/2025","322,480","322,480","322,480","322,480","","0.27%"
"10/16/2025","321,599","321,599","321,599","321,599","","-0.29%"
"10/15/2025","322,530","322,530","322,530","322,530","","-0.01%"
"10/14/2025","322,554","322,554","322,554","322,554","","0.21%"
"10/13/2025","321,875","321,875","321,875","321,875","","-0.13%"
"10/10/2025","322,286","322,286","322,286","322,286","","0.09%"
"10/09/2025","321,996","321,996","321,996","321,996","","-0.31%"
"10/08/2025","322,981","322,981","322,981","322,981","","0.16%"
"10/07/2025","322,469","322,469","322,469","322,469","","0.02%"
