"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","3,611.62","3,610.65","3,611.99","3,598.17","","0.03%"
"12/30/2025","3,610.65","3,622.86","3,625.33","3,597.95","","-0.34%"
"12/29/2025","3,622.86","3,599.29","3,629.24","3,599.29","","0.62%"
"12/28/2025","3,600.45","3,565.65","3,600.45","3,565.55","","0.97%"
"12/24/2025","3,565.81","3,545.63","3,566.29","3,538.86","","0.58%"
"12/23/2025","3,545.12","3,530.68","3,546.38","3,523.44","","0.41%"
"12/22/2025","3,530.68","3,506.58","3,530.68","3,505.45","","0.70%"
"12/21/2025","3,506.13","3,482.80","3,518.71","3,482.80","","0.67%"
"12/18/2025","3,482.80","3,464.41","3,482.80","3,463.50","","0.53%"
"12/17/2025","3,464.41","3,444.41","3,465.43","3,441.95","","0.56%"
"12/16/2025","3,445.21","3,431.01","3,445.21","3,428.85","","0.41%"
"12/15/2025","3,431.01","3,430.65","3,434.63","3,420.95","","0.01%"
"12/14/2025","3,430.66","3,418.78","3,430.99","3,418.41","","0.35%"
"12/11/2025","3,418.78","3,425.84","3,425.84","3,414.99","","-0.21%"
"12/10/2025","3,425.84","3,428.12","3,434.77","3,421.83","","-0.07%"
"12/09/2025","3,428.12","3,423.74","3,428.36","3,407.94","","0.13%"
"12/08/2025","3,423.74","3,428.17","3,428.17","3,414.68","","-0.12%"
"12/07/2025","3,427.72","3,423.09","3,427.72","3,412.92","","0.14%"
"12/04/2025","3,422.96","3,429.29","3,429.43","3,413.98","","-0.18%"
"12/03/2025","3,429.29","3,425.14","3,430.28","3,423.32","","0.09%"
"12/02/2025","3,426.18","3,426.72","3,431.10","3,420.15","","-0.02%"
"12/01/2025","3,426.72","3,433.68","3,434.97","3,415.73","","-0.20%"
"11/30/2025","3,433.68","3,422.93","3,433.68","3,412.01","","0.31%"
"11/27/2025","3,422.93","3,425.87","3,428.49","3,413.33","","-0.09%"
"11/26/2025","3,425.87","3,433.80","3,433.80","3,408.10","","-0.23%"
"11/25/2025","3,433.80","3,433.25","3,437.41","3,425.41","","0.02%"
"11/24/2025","3,433.25","3,434.35","3,439.21","3,420.42","","-0.03%"
"11/23/2025","3,434.20","3,423.61","3,434.94","3,417.54","","0.36%"
"11/20/2025","3,421.87","3,414.60","3,421.87","3,403.27","","0.21%"
"11/19/2025","3,414.60","3,406.82","3,414.60","3,400.23","","0.23%"
"11/18/2025","3,406.83","3,405.97","3,410.02","3,394.11","","0.03%"
"11/17/2025","3,405.97","3,404.33","3,405.97","3,391.16","","0.05%"
"11/16/2025","3,404.33","3,423.02","3,423.70","3,400.27","","-0.55%"
"11/13/2025","3,423.02","3,421.24","3,427.71","3,409.80","","0.05%"
"11/12/2025","3,421.24","3,424.94","3,426.32","3,403.46","","-0.11%"
"11/11/2025","3,424.94","3,423.34","3,456.64","3,415.37","","0.05%"
"11/10/2025","3,423.34","3,367.47","3,423.34","3,366.04","","1.66%"
"11/09/2025","3,367.47","3,338.02","3,367.95","3,327.90","","0.88%"
