"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","7,031.32","7,049.16","7,088.90","7,011.56","648.75M","-0.25%"
"12/30/2025","7,049.12","7,040.76","7,067.39","7,014.38","820.97M","0.16%"
"12/29/2025","7,037.99","7,050.77","7,061.53","7,020.25","754.69M","-0.18%"
"12/26/2025","7,050.77","7,054.81","7,078.28","7,037.41","773.80M","-0.06%"
"12/25/2025","7,054.81","7,003.06","7,074.39","6,997.09","816.64M","0.73%"
"12/24/2025","7,003.88","6,979.18","7,007.66","6,957.82","1.06B","0.31%"
"12/23/2025","6,982.14","6,986.56","7,001.23","6,908.30","1.40B","-0.06%"
"12/22/2025","6,986.55","6,989.25","7,009.36","6,922.43","2.14B","-0.02%"
"12/19/2025","6,987.76","6,941.65","6,992.71","6,941.13","1.36B","1.02%"
"12/18/2025","6,917.05","6,922.69","6,951.10","6,891.57","1.07B","-0.70%"
"12/17/2025","6,965.84","7,031.74","7,036.86","6,907.77","938.54M","-0.94%"
"12/15/2025","7,031.64","7,081.38","7,105.57","7,000.89","539.23M","-0.72%"
"12/12/2025","7,082.67","7,010.81","7,109.05","7,010.81","1.08B","1.05%"
"12/11/2025","7,009.09","6,939.63","7,042.94","6,946.06","789.40M","1.00%"
"12/10/2025","6,939.58","6,862.03","6,972.58","6,859.08","577.21M","1.13%"
"12/09/2025","6,862.25","6,896.14","6,896.14","6,856.41","634.26M","-0.50%"
"12/08/2025","6,896.48","6,900.34","6,918.41","6,841.01","710.55M","-0.06%"
"12/05/2025","6,900.33","6,846.10","6,942.54","6,846.10","920.84M","0.79%"
"12/04/2025","6,846.10","6,845.28","6,863.57","6,804.10","651.39M","0.07%"
"12/03/2025","6,841.47","6,841.99","6,859.74","6,826.06","489.23M","-0.03%"
"12/02/2025","6,843.81","6,825.06","6,856.88","6,812.90","381.00M","0.29%"
"12/01/2025","6,824.04","6,818.90","6,858.17","6,794.94","615.46M","0.08%"
"11/28/2025","6,818.90","6,851.78","6,881.88","6,801.87","551.63M","-0.25%"
"11/27/2025","6,835.65","6,827.45","6,860.52","6,760.27","561.01M","0.11%"
"11/26/2025","6,828.13","6,752.89","6,842.88","6,745.00","530.94M","1.06%"
"11/25/2025","6,756.34","6,735.10","6,776.19","6,718.24","585.50M","0.32%"
"11/24/2025","6,735.10","6,701.12","6,737.08","6,685.22","721.08M","0.26%"
"11/21/2025","6,717.76","6,836.09","6,836.09","6,644.22","1.34B","-1.73%"
"11/20/2025","6,836.23","6,794.04","6,841.66","6,786.88","669.11M","0.62%"
"11/19/2025","6,794.05","6,804.81","6,832.73","6,753.93","926.74M","-0.16%"
"11/18/2025","6,804.81","6,901.18","6,897.11","6,774.32","692.83M","-1.51%"
"11/17/2025","6,909.15","6,948.17","6,955.79","6,874.18","667.48M","-0.56%"
"11/14/2025","6,948.17","7,000.02","7,000.02","6,936.42","697.92M","-0.74%"
"11/13/2025","7,000.02","7,012.63","7,028.55","6,976.39","455.39M","-0.18%"
"11/12/2025","7,012.65","7,017.38","7,050.23","6,997.16","674.30M","-0.01%"
"11/11/2025","7,013.68","7,004.98","7,052.81","6,977.83","744.05M","0.12%"
"11/10/2025","7,005.20","6,955.27","7,028.15","6,931.62","635.95M","0.71%"
