"Date","Price","Vol."
2025-12-31,186.58,11070245.0
2025-12-30,185.37,21225725.0
2025-12-29,184.54,9915536.0
2025-12-24,183.98,8222879.0
2025-12-23,183.59,16311799.0
2025-12-22,184.78,19085395.0
2025-12-19,184.55,100994849.0
2025-12-18,183.84,14603870.0
2025-12-17,180.77,23388994.0
2025-12-16,179.29,17550777.0
2025-12-15,178.02,33041998.0
2025-12-11,177.66,23766321.0
2025-12-10,176.77,35700936.0
2025-12-09,176.8,49465351.0
2025-12-08,179.12,17559668.0
2025-12-05,179.58,37419922.0
2025-12-04,182.08,25082735.0
2025-12-03,178.83,9352230.0
2025-12-02,180.11,41068882.0
2025-12-01,181.45,24627008.0
2025-11-28,181.06,0.0
2025-11-27,180.38,11405077.0
2025-11-26,181.81,42379009.0
2025-11-25,182.52,9877173.0
2025-11-24,186.12,22468844.0
2025-11-21,187.91,25733746.0
2025-11-20,188.26,22991150.0
2025-11-19,188.17,24596778.0
2025-11-18,187.69,27746131.0
2025-11-17,187.86,14581871.0
2025-11-14,187.43,21436711.0
2025-11-13,187.34,28596370.0
2025-11-12,187.12,15142925.0
2025-11-11,188.96,44797838.0
2025-11-10,190.54,22139160.0
2025-11-07,192.07,30401313.0
2025-11-06,192.89,35407918.0
2025-11-05,189.88,24700825.0
2025-11-04,189.08,14351116.0
2025-11-03,190.15,26596217.0
2025-10-31,188.29,28745804.0
2025-10-30,184.97,15828770.0
2025-10-29,183.23,23508469.0
2025-10-28,183.22,28305191.0
2025-10-27,181.06,13513179.0
2025-10-24,179.81,63898883.0
2025-10-23,178.8,16054986.0
2025-10-22,178.36,23979376.0
2025-10-21,177.72,30439619.0
2025-10-16,176.39,15508707.0
2025-10-15,172.24,17978887.0
2025-10-14,170.34,20147990.0
2025-10-13,171.21,20412694.0
2025-10-09,172.58,22908363.0
2025-10-08,173.75,18733380.0
2025-10-07,176.28,27984026.0
2025-10-06,177.67,15049035.0
2025-10-03,178.5,20501100.0
2025-10-02,178.96,22810055.0
2025-10-01,178.16,20254854.0
2025-09-30,176.74,26548676.0
2025-09-29,176.68,12174745.0
2025-09-26,177.89,20801844.0
2025-09-25,177.8,45288180.0
2025-09-24,177.13,62995730.0
2025-09-23,174.32,31084441.0
2025-09-22,173.4,10333363.0
2025-09-19,173.5,18892282.0
2025-09-18,175.02,11991875.0
2025-09-17,177.6,83794851.0
2025-09-16,178.06,22802201.0
2025-09-15,179.02,16219220.0
2025-09-12,178.69,14097419.0
2025-09-11,178.82,42659857.0
2025-09-10,178.78,79190361.0
2025-09-09,177.52,28842366.0
2025-09-08,176.82,42113975.0
2025-09-05,178.28,47948847.0
2025-09-04,178.08,63510604.0
2025-09-03,178.04,63612348.0
2025-09-02,175.21,67266321.0
2025-09-01,173.64,32495755.0
2025-08-29,172.6,56295650.0
2025-08-28,172.05,30384720.0
2025-08-27,171.57,27005115.0
2025-08-26,172.35,30058140.0
2025-08-25,170.41,23562612.0
2025-08-22,170.03,24850869.0
2025-08-21,168.87,23926007.0
2025-08-20,167.75,39236921.0
2025-08-19,166.18,15292880.0
2025-08-18,166.34,21940231.0
2025-08-15,165.66,22275134.0
2025-08-14,164.38,29774777.0
2025-08-13,162.96,24089642.0
2025-08-12,162.22,14512943.0
2025-08-11,162.18,6584337.0
2025-08-08,161.19,8082798.0
2025-08-07,160.98,21021800.0
2025-08-06,159.24,20008200.0
2025-08-05,158.38,8053400.0
2025-08-04,158.02,16792400.0
2025-08-01,158.95,18292200.0
