Date,Price,Open,High,Low,Vol.,Change %
2025-12-27,6374.08,,,,,
2025-12-26,6374.08,,,,,
2025-12-25,6374.08,,,,,
2025-12-24,6379.14,,,,,
2025-12-23,6374.08,,,,,
2025-12-22,6374.08,,,,,
2025-12-20,6374.08,,,,,
2025-12-19,6374.08,,,,,
2025-12-18,6374.08,,,,,
2025-12-17,6377.12,,,,,
2025-12-16,6374.08,,,,,
2025-12-15,6375.13,,,,,
2025-12-13,6375.13,,,,,
2025-12-12,6375.13,,,,,
2025-12-11,6375.13,,,,,
2025-12-10,6375.13,,,,,
2025-12-09,6378.16,,,,,
2025-12-08,6378.16,,,,,
2025-12-06,6378.16,,,,,
2025-12-05,6378.16,,,,,
2025-12-02,6378.16,,,,,
2025-12-01,6378.16,,,,,
2025-11-29,6378.16,,,,,
2025-11-28,6378.16,,,,,
2025-11-27,6360.03,,,,,
2025-11-26,6380.17,,,,,
2025-11-25,6380.17,,,,,
2025-11-24,6380.17,,,,,
2025-11-22,6450.48,,,,,
2025-11-21,6450.48,,,,,
2025-11-20,6445.39,,,,,
2025-11-19,6618.47,,,,,
2025-11-18,6618.47,,,,,
2025-11-17,6624.06,,,,,
2025-11-15,6606.7,,,,,
2025-11-13,6606.34,,,,,
2025-11-11,6606.19,,,,,
2025-11-10,6601.65,,,,,
2025-11-08,6603.23,,,,,
2025-11-07,6603.23,,,,,
2025-11-05,6603.23,,,,,
2025-11-04,6757.92,,,,,
2025-11-03,6555.78,,,,,
2025-11-01,6580.01,,,,,
2025-10-30,6580.01,,,,,
2025-10-29,6586.96,,,,,
2025-10-28,6600.85,,,,,
2025-10-27,6738.25,,,,,
2025-10-25,6601.86,,,,,
2025-10-24,6601.86,,,,,
2025-10-23,6601.86,,,,,
2025-10-22,6601.86,,,,,
2025-10-21,6601.86,,,,,
2025-10-20,6601.86,,,,,
2025-10-18,6532.98,,,,,
2025-10-16,6601.86,,,,,
2025-10-15,6601.86,,,,,
2025-10-14,6601.77,,,,,
2025-10-13,6601.86,,,,,
2025-10-11,6601.86,,,,,
2025-10-09,6604.31,,,,,
2025-10-08,6556.39,,,,,
2025-10-07,6601.86,,,,,
2025-10-06,6601.86,,,,,
