"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","87.4449","87.4387","87.4449","87.4387","","0.01%"
"12/30/2025","87.4387","87.4521","87.4521","87.4387","","-0.02%"
"12/29/2025","87.4521","87.4772","87.4772","87.4521","","-0.03%"
"12/26/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/25/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/24/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/23/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/22/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/19/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/18/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/17/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/16/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/15/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/12/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/11/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/10/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/09/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/08/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/05/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/04/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/03/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/02/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"12/01/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/28/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/27/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/26/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/25/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/24/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/21/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/20/2025","87.4772","87.4760","87.4772","87.4760","","0.00%"
"11/19/2025","87.4760","87.4772","87.4772","87.4760","","-0.03%"
"11/18/2025","87.5000","87.4772","87.7250","87.2522","","0.03%"
"11/17/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/14/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/13/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/12/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/11/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/10/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/07/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/06/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"11/05/2025","87.4772","87.4761","87.4772","87.4761","","0.00%"
"11/04/2025","87.4761","87.4772","87.4772","87.4761","","0.00%"
"11/03/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/31/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/30/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/29/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/28/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/27/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/24/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/23/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/22/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/21/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/20/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/17/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/16/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/15/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/14/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/13/2025","87.4772","87.4722","87.4772","87.4722","","0.01%"
"10/10/2025","87.4722","87.4772","87.7250","87.2497","","-0.01%"
"10/09/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/08/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/07/2025","87.4772","87.4667","87.4772","87.4667","","0.01%"
"10/06/2025","87.4667","87.4772","87.4772","87.4667","","-0.01%"
"10/03/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"10/02/2025","87.4772","87.4367","87.7250","87.2320","","-0.03%"
"10/01/2025","87.5000","87.4290","87.7048","87.2281","","0.08%"
"09/30/2025","87.4290","87.4772","87.4772","87.4290","","-0.06%"
"09/29/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/26/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/25/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/24/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/23/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/22/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/19/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/18/2025","87.4772","87.4758","87.4772","87.4758","","0.00%"
"09/17/2025","87.4758","87.4772","87.4772","87.4758","","0.00%"
"09/16/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/15/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/12/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/11/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/10/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/09/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/08/2025","87.4772","87.4772","87.4772","87.4772","","0.00%"
"09/05/2025","87.4772","87.4641","87.4772","87.4641","","0.01%"
"09/04/2025","87.4641","87.4093","87.4641","87.4093","","0.06%"
"09/03/2025","87.4093","87.4154","87.4154","87.4093","","-0.01%"
"09/02/2025","87.4154","87.4185","87.4185","87.4154","","0.00%"
"09/01/2025","87.4185","87.3835","87.4185","87.3835","","0.04%"
"08/29/2025","87.3835","87.3772","87.3835","87.3772","","0.01%"
