Date,Price,Open,High,Low,Vol.,Change %
2025-01-02,409.32,,,,,-0.83
2024-12-31,412.75,,,,,0.49
2024-12-31,412.75,,,,,0.49
2024-12-30,410.72,,,,,1.02
2024-12-30,410.72,,,,,1.02
2024-12-27,406.59,,,,,0.51
2024-12-27,406.59,,,,,0.51
2024-12-26,404.52,,,,,0.62
2024-12-26,404.52,,,,,0.62
2024-12-25,402.04,,,,,0.33
2024-12-25,402.04,,,,,0.33
2024-12-24,400.71,,,,,0.11
2024-12-24,400.71,,,,,0.11
2024-12-23,400.26,,,,,0.27
2024-12-23,400.26,,,,,0.27
2024-12-20,399.2,,,,,-0.02
2024-12-20,399.2,,,,,-0.02
2024-12-19,399.26,,,,,-0.26
2024-12-19,399.26,,,,,-0.26
2024-12-18,400.32,,,,,-0.12
2024-12-18,400.32,,,,,-0.12
2024-12-17,400.79,,,,,0.22
2024-12-17,400.79,,,,,0.22
2024-12-16,399.9,,,,,-0.29
2024-12-16,399.9,,,,,-0.29
2024-12-13,401.08,,,,,0.11
2024-12-13,401.08,,,,,0.11
2024-12-12,400.65,,,,,-0.14
2024-12-12,400.65,,,,,-0.14
2024-12-11,401.23,,,,,0.3
2024-12-11,401.23,,,,,0.3
2024-12-10,400.03,,,,,-0.36
2024-12-10,400.03,,,,,-0.36
2024-12-09,401.46,,,,,-0.09
2024-12-09,401.46,,,,,-0.09
2024-12-06,401.84,,,,,0.47
2024-12-06,401.84,,,,,0.47
2024-12-05,399.98,,,,,-0.24
2024-12-05,399.98,,,,,-0.24
2024-12-04,400.93,,,,,-0.28
2024-12-04,400.93,,,,,-0.28
2024-12-03,402.05,,,,,0.12
2024-12-02,401.56,,,,,0.03
2024-11-29,401.43,,,,,-0.29
2024-11-28,402.58,,,,,0.05
2024-11-27,402.36,,,,,0.44
2024-11-26,400.61,,,,,-0.63
2024-11-25,403.17,,,,,-0.16
2024-11-22,403.81,,,,,0.32
2024-11-21,402.54,,,,,-0.26
2024-11-20,403.59,,,,,0.26
2024-11-19,402.53,,,,,-0.24
2024-11-18,403.5,,,,,-0.31
2024-11-13,404.75,,,,,0.54
2024-11-12,402.59,,,,,0.39
2024-11-11,401.01,,,,,-0.12
2024-11-08,401.51,,,,,-0.38
2024-11-07,403.05,,,,,0.45
2024-11-06,401.23,,,,,0.17
2024-11-05,400.54,,,,,0.08
2024-11-04,400.22,,,,,-1.03
2024-11-01,404.39,,,,,-0.11
2024-10-31,404.82,,,,,-0.02
2024-10-31,404.82,,,,,-0.02
2024-10-30,404.92,,,,,0.17
2024-10-30,404.92,,,,,0.17
2024-10-28,404.24,,,,,-0.04
2024-10-25,404.42,,,,,-0.32
2024-10-24,405.71,,,,,-0.23
2024-10-23,406.64,,,,,0.36
2024-10-22,405.2,,,,,-0.6
2024-10-21,407.65,,,,,0.1
2024-10-18,407.24,,,,,-0.22
2024-10-17,408.13,,,,,-0.0
2024-10-16,408.14,,,,,0.06
2024-10-14,407.91,,,,,-0.6
2024-10-11,410.39,,,,,-0.18
2024-10-10,411.13,,,,,0.15
2024-10-09,410.51,,,,,0.01
2024-10-08,410.46,,,,,0.28
2024-10-07,409.3,,,,,-0.72
2024-10-04,412.28,,,,,0.3
2024-09-30,411.03,,,,,0.01
2024-09-30,411.03,,,,,0.01
2024-09-27,410.99,,,,,-0.09
2024-09-27,410.99,,,,,-0.09
2024-09-26,411.34,,,,,-0.02
2024-09-26,411.34,,,,,-0.02
2024-09-25,411.41,,,,,0.14
2024-09-23,410.85,,,,,-0.03
2024-09-20,410.97,,,,,-0.13
2024-09-19,411.5,,,,,0.04
2024-09-18,411.34,,,,,0.09
2024-09-17,410.99,,,,,-0.1
2024-09-16,411.39,,,,,-0.13
2024-09-13,411.91,,,,,0.01
2024-09-12,411.87,,,,,0.05
2024-09-11,411.67,,,,,0.24
2024-09-10,410.7,,,,,-0.15
2024-09-09,411.31,,,,,-0.25
2024-09-06,412.33,,,,,0.17
2024-09-05,411.64,,,,,-0.2
2024-09-04,412.48,,,,,0.25
2024-09-03,411.47,,,,,0.35
2024-09-02,410.02,,,,,-0.29
2024-08-30,411.21,,,,,0.05
2024-08-30,411.21,,,,,0.05
2024-08-29,410.99,,,,,0.01
2024-08-28,410.96,,,,,0.17
2024-08-27,410.27,,,,,0.02
2024-08-26,410.2,,,,,-0.63
2024-08-23,412.78,,,,,0.02
2024-08-22,412.68,,,,,0.14
2024-08-21,412.11,,,,,-0.02
2024-08-20,412.18,,,,,0.22
2024-08-19,411.27,,,,,-0.63
2024-08-16,413.89,,,,,-0.0
2024-08-15,413.91,,,,,0.2
2024-08-14,413.08,,,,,0.38
2024-08-13,411.52,,,,,-0.08
2024-08-12,411.85,,,,,-0.74
2024-08-09,414.9,,,,,0.42
2024-08-08,413.15,,,,,-0.21
2024-08-07,414.03,,,,,0.23
2024-08-06,413.08,,,,,-0.31
2024-08-05,414.37,,,,,-0.02
2024-08-02,414.47,,,,,0.13
2024-08-01,413.93,,,,,0.01
2024-07-31,413.9,,,,,-0.0
2024-07-30,413.91,,,,,-0.08
2024-07-29,414.23,,,,,-0.06
2024-07-26,414.49,,,,,-0.29
2024-07-25,415.7,,,,,0.08
2024-07-24,415.38,,,,,-0.05
2024-07-23,415.58,,,,,-0.03
2024-07-22,415.7,,,,,-0.03
2024-07-19,415.84,,,,,-0.01
2024-07-18,415.87,,,,,0.25
2024-07-17,414.82,,,,,0.15
2024-07-16,414.18,,,,,0.38
2024-07-15,412.63,,,,,-0.37
2024-07-12,414.16,,,,,0.17
2024-07-11,413.44,,,,,-0.51
2024-07-10,415.54,,,,,-0.76
2024-07-09,418.73,,,,,0.19
2024-07-08,417.92,,,,,0.28
2024-07-05,416.76,,,,,0.58
2024-07-04,414.37,,,,,0.09
2024-07-03,413.99,,,,,0.0
2024-07-02,413.97,,,,,0.2
2024-07-01,413.14,,,,,-0.24
2024-06-28,414.14,,,,,0.46
2024-06-27,412.24,,,,,0.29
2024-06-26,411.03,,,,,0.48
2024-06-10,409.06,,,,,0.12
2024-06-07,408.55,,,,,-0.09
2024-06-06,408.9,,,,,-0.35
2024-06-05,410.33,,,,,-0.29
2024-06-04,411.52,,,,,-0.03
2024-06-03,411.66,,,,,-0.81
2024-05-31,415.01,,,,,-0.19
2024-05-31,415.01,,,,,-0.19
2024-05-30,415.81,,,,,-0.09
2024-05-30,415.81,,,,,-0.09
2024-05-29,416.19,,,,,-0.13
2024-05-29,416.19,,,,,-0.13
2024-05-28,416.73,,,,,0.08
2024-05-28,416.73,,,,,0.08
2024-05-27,416.4,,,,,0.47
2024-05-27,416.4,,,,,0.47
2024-05-24,414.46,,,,,0.3
2024-05-24,414.46,,,,,0.3
2024-05-23,413.21,,,,,0.29
2024-05-23,413.21,,,,,0.29
2024-05-21,412.02,,,,,-0.81
2024-05-21,412.02,,,,,-0.81
2024-05-20,415.37,,,,,-0.47
2024-05-20,415.37,,,,,-0.47
2024-05-17,417.33,,,,,0.45
2024-05-17,417.33,,,,,0.45
2024-05-16,415.48,,,,,0.23
2024-05-16,415.48,,,,,0.23
2024-05-15,414.51,,,,,0.05
2024-05-15,414.51,,,,,0.05
2024-05-13,414.31,,,,,-0.07
2024-05-10,414.58,,,,,0.2
2024-05-09,413.74,,,,,0.44
2024-05-08,411.94,,,,,1.06
2024-05-07,407.63,,,,,-0.29
2024-05-06,408.8,,,,,-0.61
2024-05-03,411.29,,,,,0.04
2024-05-02,411.14,,,,,0.18
2024-04-30,410.39,,,,,0.51
2024-04-30,410.39,,,,,0.51
2024-04-29,408.32,,,,,-0.53
2024-04-26,410.49,,,,,-2.93
2024-04-25,422.9,,,,,0.13
2024-04-23,422.37,,,,,-0.36
2024-04-22,423.89,,,,,-0.48
2024-04-19,425.93,,,,,-1.24
2024-04-18,431.28,,,,,-0.66
2024-04-17,434.14,,,,,-0.24
2024-04-12,435.19,,,,,-0.09
2024-04-11,435.59,,,,,0.06
2024-04-10,435.34,,,,,-0.64
2024-04-09,438.16,,,,,-0.02
2024-04-08,438.26,,,,,0.81
2024-04-05,434.72,,,,,-3.87
2024-04-04,452.21,,,,,-0.3
2024-04-03,453.58,,,,,0.07
2024-04-02,453.26,,,,,-0.8
2024-03-29,456.9,,,,,-0.19
2024-03-29,456.9,,,,,-0.19
2024-03-28,457.76,,,,,0.09
2024-03-28,457.76,,,,,0.09
2024-03-27,457.33,,,,,-0.36
2024-03-27,457.33,,,,,-0.36
2024-03-26,459.0,,,,,0.19
2024-03-25,458.15,,,,,-0.64
2024-03-22,461.12,,,,,0.35
2024-03-21,459.49,,,,,0.15
2024-03-20,458.78,,,,,0.18
2024-03-19,457.95,,,,,-0.24
