"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","8,907.60","8,880.38","8,919.81","8,880.38","","0.65%"
"12/30/2025","8,850.04","8,962.98","8,966.69","8,830.11","","-1.27%"
"12/29/2025","8,963.86","8,984.73","8,992.29","8,943.80","","-0.22%"
"12/28/2025","8,983.54","8,983.03","8,994.31","8,972.08","","0.06%"
"12/25/2025","8,978.07","8,979.39","8,991.69","8,974.11","","0.18%"
"12/24/2025","8,962.06","8,986.79","8,992.84","8,960.66","","-0.20%"
"12/23/2025","8,980.33","8,965.27","8,984.65","8,949.01","","0.20%"
"12/22/2025","8,962.31","8,961.77","8,965.14","8,925.16","","0.07%"
"12/21/2025","8,956.31","8,935.78","8,971.24","8,935.78","","0.40%"
"12/18/2025","8,921.00","8,919.72","8,944.28","8,891.41","","0.11%"
"12/17/2025","8,911.54","8,970.38","8,981.20","8,907.88","","-0.60%"
"12/16/2025","8,965.23","9,018.80","9,029.60","8,962.56","","-0.62%"
"12/15/2025","9,020.96","9,088.80","9,096.89","9,020.84","","-0.69%"
"12/14/2025","9,083.47","9,083.33","9,120.98","9,083.03","","0.28%"
"12/11/2025","9,058.21","9,026.99","9,064.72","9,023.93","","0.48%"
"12/10/2025","9,015.00","9,016.64","9,027.46","8,974.23","","0.06%"
"12/09/2025","9,009.90","8,980.23","9,020.06","8,963.68","","0.58%"
"12/08/2025","8,957.80","8,892.20","8,960.12","8,892.00","","0.79%"
"12/07/2025","8,888.00","8,872.58","8,902.03","8,867.94","","0.35%"
"12/04/2025","8,857.17","8,823.08","8,867.08","8,808.40","","0.43%"
"12/03/2025","8,819.16","8,797.48","8,823.48","8,791.42","","0.45%"
"12/02/2025","8,779.54","8,814.65","8,816.98","8,752.59","","-0.27%"
"12/01/2025","8,803.71","8,863.28","8,872.15","8,802.25","","-0.59%"
"11/30/2025","8,856.27","8,847.40","8,872.03","8,847.40","","0.22%"
"11/27/2025","8,837.17","8,874.16","8,892.43","8,837.07","","-0.20%"
"11/26/2025","8,854.59","8,856.91","8,866.65","8,829.78","","0.12%"
"11/25/2025","8,843.92","8,836.22","8,861.82","8,834.68","","0.26%"
"11/24/2025","8,820.69","8,822.15","8,846.08","8,813.63","","0.04%"
"11/23/2025","8,817.46","8,847.35","8,857.32","8,817.20","","-0.16%"
"11/20/2025","8,831.39","8,828.60","8,848.88","8,815.03","","0.20%"
"11/19/2025","8,814.12","8,799.14","8,842.94","8,788.47","","0.29%"
"11/18/2025","8,788.93","8,848.11","8,852.18","8,709.58","","-0.72%"
"11/17/2025","8,852.45","8,851.80","8,867.63","8,831.96","","0.16%"
"11/16/2025","8,838.35","8,888.74","8,896.91","8,834.87","","-0.62%"
"11/13/2025","8,893.75","8,897.55","8,920.92","8,890.32","","-0.01%"
"11/12/2025","8,894.44","8,911.61","8,914.23","8,882.25","","-0.26%"
"11/11/2025","8,918.02","8,890.20","8,925.52","8,890.16","","0.44%"
"11/10/2025","8,879.18","8,898.15","8,911.75","8,879.09","","-0.06%"
"11/09/2025","8,884.72","8,924.91","8,930.41","8,872.91","","-0.32%"
"11/06/2025","8,913.21","8,918.71","8,953.98","8,906.80","","-0.04%"
"11/05/2025","8,916.53","8,961.25","8,965.24","8,914.92","","-0.47%"
"11/04/2025","8,958.73","8,957.74","8,985.41","8,936.99","","-0.22%"
"11/03/2025","8,978.54","9,042.37","9,045.41","8,956.80","","-0.55%"
"11/02/2025","9,028.11","9,042.65","9,059.52","9,027.73","","-0.04%"
"10/30/2025","9,031.88","8,985.28","9,034.43","8,980.60","","0.64%"
"10/29/2025","8,974.42","8,919.99","8,986.60","8,919.46","","0.78%"
"10/28/2025","8,904.80","8,870.56","8,909.34","8,870.51","","0.46%"
"10/27/2025","8,863.78","8,911.88","8,920.40","8,863.78","","-0.50%"
"10/26/2025","8,908.15","8,935.21","8,937.90","8,902.13","","-0.17%"
"10/23/2025","8,923.02","8,915.11","8,924.76","8,889.67","","0.16%"
"10/22/2025","8,908.33","8,908.54","8,915.65","8,890.54","","0.15%"
"10/21/2025","8,895.33","8,891.90","8,897.27","8,874.02","","0.14%"
"10/20/2025","8,883.20","8,897.59","8,914.04","8,856.68","","-0.09%"
"10/19/2025","8,891.08","8,884.41","8,898.29","8,871.14","","0.32%"
"10/16/2025","8,862.87","8,859.96","8,879.77","8,850.32","","0.22%"
"10/15/2025","8,843.34","8,866.35","8,881.50","8,843.17","","-0.17%"
"10/14/2025","8,858.82","8,853.00","8,885.37","8,829.31","","0.21%"
"10/13/2025","8,840.28","8,806.09","8,855.12","8,806.00","","0.73%"
