Date,Price,Open,High,Low,Vol.,Change %
2025-12-26,1247.13,1242.86,1257.62,1237.98,,
2025-12-25,1252.34,1242.86,1257.62,1237.98,,
2025-12-24,1241.92,1240.27,1244.53,1227.49,,
2025-12-23,1240.27,1244.01,1251.01,1231.38,,
2025-12-22,1243.89,1238.26,1249.51,1222.02,,
2025-12-19,1236.91,1234.04,1237.82,1213.33,,
2025-12-18,1234.04,1248.71,1250.79,1223.5,,
2025-12-17,1246.22,1272.79,1273.61,1238.24,,
2025-12-16,1273.18,1273.61,1276.53,1252.87,,
2025-12-15,1272.01,1269.65,1279.12,1258.62,,
2025-12-12,1270.55,1265.49,1276.75,1248.7,,
2025-12-11,1275.62,1265.49,1275.8,1248.7,,
2025-12-10,1271.69,1280.27,1284.25,1254.63,,
2025-12-09,1279.96,1284.19,1310.91,1266.29,,
2025-12-08,1283.37,1241.66,1286.5,1241.66,,
2025-12-05,1241.66,1216.21,1241.66,1214.42,,
2025-12-04,1217.03,1212.41,1221.01,1193.2,,
2025-12-03,1213.23,1209.76,1217.15,1188.18,,
2025-12-01,1209.76,1220.13,1224.93,1187.84,,
2025-11-28,1211.48,1197.32,1211.61,1196.16,,
2025-11-27,1199.31,1200.43,1202.65,1187.4,,
2025-11-26,1204.59,1227.21,1237.98,1191.13,,
2025-11-25,1228.76,1227.91,1236.05,1207.18,,
2025-11-24,1236.04,1240.35,1250.87,1218.5,,
2025-11-21,1241.17,1231.42,1242.47,1210.62,,
2025-11-20,1237.39,1231.24,1240.35,1206.2,,
2025-11-19,1259.11,1256.22,1268.86,1225.9,,
2025-11-18,1253.18,1256.22,1268.86,1252.99,,
2025-11-17,1266.95,1248.14,1267.83,1240.53,,
2025-11-14,1279.82,1277.37,1284.47,1245.47,,
2025-11-13,1281.36,1287.8,1287.93,1265.88,,
2025-11-12,1312.16,1266.4,1312.16,1261.73,,
2025-11-11,1270.38,1264.52,1274.08,1259.17,,
2025-11-10,1285.07,1285.07,1289.81,1262.08,,
2025-11-07,1285.24,1282.0,1291.6,1262.54,,
2025-11-06,1284.53,1288.47,1292.76,1263.02,,
2025-11-05,1288.47,1287.16,1300.15,1271.14,,
2025-11-04,1290.44,1292.7,1302.44,1283.49,,
2025-11-03,1292.4,1261.65,1294.71,1261.65,,
2025-10-31,1291.93,1277.45,1300.89,1270.76,,
2025-10-30,1301.93,1289.46,1312.48,1285.87,,
2025-10-29,1321.87,1321.54,1321.87,1290.15,,
2025-10-28,1322.17,1330.44,1332.14,1292.69,,
2025-10-27,1330.74,1335.96,1336.76,1299.76,,
2025-10-24,1334.38,1332.65,1342.92,1301.2,,
2025-10-23,1332.72,1346.76,1358.02,1314.53,,
2025-10-22,1351.66,1345.66,1368.15,1310.62,,
2025-10-21,1345.66,1358.94,1372.4,1312.46,,
2025-10-20,1352.53,1337.05,1358.1,1305.68,,
2025-10-17,1329.06,1307.56,1331.0,1297.34,,
2025-10-16,1305.95,1308.53,1311.29,1270.06,,
2025-10-15,1307.03,1318.8,1322.28,1282.75,,
2025-10-14,1318.8,1296.39,1321.82,1268.18,,
2025-10-13,1296.68,1288.84,1350.56,1281.47,,
2025-10-10,1319.01,1323.96,1324.31,1280.09,,
2025-10-09,1323.76,1362.61,1394.89,1277.87,,
2025-10-08,1360.51,1341.01,1360.51,1335.92,,
2025-10-07,1383.94,1422.55,1427.06,1375.33,,
2025-10-06,1422.55,1417.92,1424.41,1368.55,,
2025-10-03,1421.35,1417.73,1422.23,1369.97,,
2025-10-02,1415.99,1419.44,1419.44,1369.49,,
2025-10-01,1418.2,1420.15,1420.56,1372.92,,
2025-09-30,1421.26,1425.89,1425.89,1416.72,,
2025-09-29,1425.89,1420.35,1425.96,1373.36,,
2025-09-26,1420.76,1421.24,1423.39,1371.66,,
2025-09-25,1421.24,1439.26,1439.26,1388.78,,
2025-09-24,1439.26,1440.59,1440.59,1437.23,,
2025-09-23,1440.59,1444.67,1446.82,1440.49,,
2025-09-22,1445.79,1425.43,1445.91,1378.21,,
2025-09-19,1425.43,1467.36,1475.67,1415.73,,
2025-09-18,1467.36,1398.53,1475.57,1398.53,,
2025-09-17,1447.9,1445.63,1452.48,1440.67,,
2025-09-16,1445.63,1444.68,1450.46,1434.77,,
2025-09-15,1433.53,1445.55,1460.29,1433.53,,
2025-09-12,1443.07,1445.3,1445.3,1392.58,,
2025-09-11,1445.3,1422.72,1447.52,1419.83,,
2025-09-10,1422.72,1426.76,1426.76,1415.78,,
2025-09-09,1423.06,1431.99,1431.99,1373.52,,
2025-09-08,1432.41,1363.95,1432.54,1363.95,,
2025-09-05,1398.3,1446.65,1448.62,1394.79,,
2025-09-04,1446.65,1446.99,1449.05,1444.07,,
2025-09-03,1447.79,1449.93,1452.93,1447.79,,
2025-09-02,1450.35,1463.77,1466.35,1449.93,,
2025-09-01,1463.77,1448.47,1464.63,1389.24,,
2025-08-29,1450.07,1448.46,1450.07,1444.04,,
2025-08-28,1448.46,1442.04,1450.82,1436.88,,
2025-08-27,1442.04,1435.17,1442.84,1435.17,,
2025-08-26,1434.74,1439.24,1441.82,1427.81,,
2025-08-25,1439.24,1435.11,1441.16,1429.18,,
2025-08-22,1440.28,1442.91,1442.91,1438.49,,
2025-08-21,1442.91,1428.44,1477.15,1378.6,,
2025-08-20,1428.44,1471.23,1472.34,1428.44,,
2025-08-19,1471.23,1493.4,1494.99,1471.23,,
2025-08-18,1492.97,1507.06,1509.46,1492.97,,
2025-08-15,1507.06,1505.34,1507.86,1504.55,,
2025-08-14,1505.34,1502.07,1505.75,1499.36,,
2025-08-13,1507.34,1497.51,1517.14,1494.99,,
2025-08-12,1499.8,1509.67,1509.67,1497.22,,
2025-08-11,1509.67,1476.84,1523.81,1476.84,,
2025-08-08,1476.84,1467.88,1483.82,1465.78,,
2025-08-07,1468.31,1459.1,1479.22,1456.43,,
2025-08-06,1459.1,1456.08,1478.35,1456.08,,
2025-08-05,1456.08,1454.05,1467.64,1451.51,,
2025-08-04,1454.05,1445.93,1455.27,1444.59,,
2025-08-01,1445.93,1452.25,1456.59,1437.84,,
2025-07-31,1453.85,1458.12,1458.91,1443.93,,
2025-07-30,1459.71,1465.1,1465.9,1442.25,,
2025-07-29,1465.1,1465.08,1465.1,1454.67,,
2025-07-28,1465.08,1459.13,1467.04,1457.91,,
2025-07-25,1459.13,1466.25,1505.16,1459.13,,
2025-07-24,1466.25,1431.75,1466.55,1428.56,,
2025-07-23,1431.38,1391.77,1434.4,1376.25,,
2025-07-22,1391.35,1368.64,1405.4,1368.27,,
2025-07-18,1368.64,1345.83,1371.43,1345.83,,
2025-07-17,1345.83,1320.99,1345.83,1320.19,,
2025-07-16,1320.99,1337.31,1340.69,1315.37,,
2025-07-15,1337.31,1334.22,1338.55,1332.93,,
2025-07-14,1335.02,1327.22,1335.02,1324.02,,
