"Date","Price","Open","High","Low","Vol.","Change %"
"12/24/2025","1,887.99","1,887.99","1,887.99","1,887.99","2.90K","0.00%"
"12/23/2025","1,887.99","1,886.97","1,906.53","1,886.97","2.90K","-1.95%"
"12/22/2025","1,925.56","1,848.70","1,925.56","1,848.70","2.90K","2.46%"
"12/19/2025","1,879.33","1,879.33","1,879.33","1,879.33","2.90K","0.97%"
"12/18/2025","1,861.25","1,849.54","1,881.86","1,843.69","2.90K","0.51%"
"12/17/2025","1,851.86","1,851.86","1,851.86","1,851.86","2.90K","0.03%"
"12/16/2025","1,851.37","1,851.37","1,851.37","1,851.37","2.90K","0.44%"
"12/15/2025","1,843.20","1,846.81","1,846.81","1,843.20","2.90K","-1.78%"
"12/12/2025","1,876.56","1,876.56","1,876.56","1,876.56","2.90K","0.03%"
"12/11/2025","1,876.08","1,876.08","1,876.08","1,876.08","2.90K","-0.58%"
"12/10/2025","1,887.05","1,887.05","1,887.05","1,887.05","2.90K","-0.35%"
"12/09/2025","1,893.75","1,891.31","1,893.75","1,891.31","","-0.05%"
"12/08/2025","1,894.73","1,894.73","1,894.73","1,894.73","2.90K","1.22%"
"12/05/2025","1,871.80","1,871.24","1,871.80","1,871.24","2.90K","-0.40%"
"12/04/2025","1,879.39","1,883.57","1,883.57","1,879.39","2.90K","-0.07%"
"12/03/2025","1,880.65","1,880.65","1,880.65","1,880.65","2.90K","-2.26%"
"11/28/2025","1,924.16","1,924.16","1,924.16","1,924.16","2.90K","-0.69%"
"11/27/2025","1,937.53","1,923.70","1,937.53","1,923.70","2.90K","1.11%"
"11/26/2025","1,916.26","1,913.13","1,931.35","1,913.13","2.90K","-1.62%"
"11/25/2025","1,947.78","1,947.78","1,947.78","1,947.78","2.90K","1.15%"
"11/21/2025","1,925.55","1,925.55","1,925.55","1,925.55","2.90K","-0.09%"
"11/20/2025","1,927.28","1,927.28","1,927.28","1,927.28","2.90K","0.00%"
"11/19/2025","1,927.28","1,927.28","1,927.28","1,927.28","2.90K","-0.61%"
"11/18/2025","1,939.12","1,944.28","1,944.28","1,939.12","2.90K","-3.01%"
"11/17/2025","1,999.29","1,999.29","1,999.29","1,999.29","2.90K","0.35%"
"11/14/2025","1,992.27","1,992.27","1,992.27","1,992.27","2.90K","0.00%"
"11/13/2025","1,992.27","2,003.90","2,003.90","1,992.27","2.90K","-0.62%"
"11/12/2025","2,004.71","1,982.79","2,004.71","1,982.79","2.90K","0.08%"
"11/11/2025","2,003.10","2,006.27","2,006.27","2,003.10","2.90K","-0.69%"
"11/10/2025","2,017.01","2,017.01","2,017.01","2,017.01","2.90K","0.53%"
"11/07/2025","2,006.36","2,006.36","2,006.36","2,006.36","2.90K","0.00%"
"11/06/2025","2,006.36","2,006.36","2,006.36","2,006.36","2.90K","0.15%"
"11/05/2025","2,003.37","2,003.37","2,003.37","2,003.37","2.90K","-1.07%"
"11/04/2025","2,025.08","2,025.08","2,025.08","2,025.08","2.90K","0.76%"
"10/31/2025","2,009.87","2,009.87","2,009.87","2,009.87","2.90K","-0.32%"
"10/30/2025","2,016.37","2,016.37","2,016.37","2,016.37","2.90K","0.54%"
"10/29/2025","2,005.47","2,005.47","2,005.47","2,005.47","2.90K","-0.24%"
"10/28/2025","2,010.22","2,010.71","2,010.71","2,010.22","2.90K","0.00%"
"10/27/2025","2,010.22","2,010.22","2,010.22","2,010.22","2.90K","-1.11%"
"10/23/2025","2,032.70","2,058.82","2,058.82","2,032.70","2.90K","-0.70%"
"10/22/2025","2,047.11","2,059.31","2,059.31","2,047.11","2.90K","2.60%"
"10/21/2025","1,995.26","2,021.06","2,021.06","1,995.26","2.90K","0.24%"
"10/20/2025","1,990.50","1,980.75","1,990.50","1,980.75","2.90K","-1.66%"
"10/17/2025","2,024.19","2,024.19","2,024.19","2,024.19","2.90K","1.10%"
"10/16/2025","2,002.24","2,022.24","2,022.24","2,002.24","2.90K","1.11%"
"10/15/2025","1,980.36","1,980.36","1,980.36","1,980.36","2.90K","0.00%"
"10/14/2025","1,980.36","1,980.36","1,980.36","1,980.36","2.90K","0.98%"
"10/13/2025","1,961.08","1,961.08","1,961.08","1,961.08","2.90K","-0.65%"
"10/10/2025","1,973.94","1,973.94","1,973.94","1,973.94","2.90K","1.73%"
"10/09/2025","1,940.28","1,940.28","1,940.28","1,940.28","2.90K","1.12%"
"10/08/2025","1,918.82","1,924.55","1,924.55","1,918.82","2.90K","-0.30%"
"10/07/2025","1,924.55","1,920.55","1,924.55","1,920.55","2.90K","0.21%"
"10/06/2025","1,920.55","1,937.62","1,937.62","1,920.55","2.90K","-0.76%"
