"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","3,788.11","3,788.11","3,788.11","3,788.11","","0.27%"
"12/29/2025","3,777.93","3,777.93","3,777.93","3,777.93","","1.53%"
"12/23/2025","3,720.82","3,720.82","3,720.82","3,720.82","","0.05%"
"12/22/2025","3,718.79","3,718.79","3,718.79","3,718.79","","-0.15%"
"12/19/2025","3,724.23","3,724.23","3,724.23","3,724.23","","0.05%"
"12/18/2025","3,722.44","3,722.44","3,722.44","3,722.44","","0.23%"
"12/17/2025","3,714.04","3,714.04","3,714.04","3,714.04","","0.06%"
"12/16/2025","3,711.72","3,711.72","3,711.72","3,711.72","","-0.51%"
"12/15/2025","3,730.83","3,730.83","3,730.83","3,730.83","","-0.13%"
"12/12/2025","3,735.69","3,735.69","3,735.69","3,735.69","","-0.37%"
"12/11/2025","3,749.45","3,749.45","3,749.45","3,749.45","","0.41%"
"12/10/2025","3,734.18","3,734.18","3,734.18","3,734.18","","-0.25%"
"12/09/2025","3,743.39","3,743.39","3,743.39","3,743.39","","-0.62%"
"12/05/2025","3,766.58","3,766.58","3,766.58","3,766.58","","-0.39%"
"12/04/2025","3,781.33","3,781.33","3,781.33","3,781.33","","0.54%"
"12/03/2025","3,760.98","3,760.98","3,760.98","3,760.98","","-0.33%"
"12/02/2025","3,773.44","3,773.44","3,773.44","3,773.44","","-0.67%"
"12/01/2025","3,798.95","3,798.95","3,798.95","3,798.95","","0.57%"
"11/28/2025","3,777.27","3,777.27","3,777.27","3,777.27","","-0.56%"
"11/27/2025","3,798.48","3,798.48","3,798.48","3,798.48","","-0.07%"
"11/26/2025","3,800.98","3,800.98","3,800.98","3,800.98","","-0.35%"
"11/25/2025","3,814.17","3,814.17","3,814.17","3,814.17","","0.53%"
"11/24/2025","3,793.91","3,793.91","3,793.91","3,793.91","","-0.23%"
"11/21/2025","3,802.57","3,802.57","3,802.57","3,802.57","","1.44%"
"11/20/2025","3,748.56","3,748.56","3,748.56","3,748.56","","0.07%"
"11/19/2025","3,745.98","3,745.98","3,745.98","3,745.98","","0.29%"
"11/18/2025","3,734.99","3,734.99","3,734.99","3,734.99","","-0.44%"
"11/17/2025","3,751.59","3,751.59","3,751.59","3,751.59","","-1.09%"
"11/14/2025","3,792.94","3,792.94","3,792.94","3,792.94","","-0.16%"
"11/13/2025","3,798.99","3,798.99","3,798.99","3,798.99","","0.24%"
"11/12/2025","3,789.77","3,789.77","3,789.77","3,789.77","","0.23%"
"11/11/2025","3,781.10","3,781.10","3,781.10","3,781.10","","0.29%"
"11/10/2025","3,770.28","3,770.28","3,770.28","3,770.28","","-0.17%"
"11/07/2025","3,776.69","3,776.69","3,776.69","3,776.69","","-0.24%"
"11/06/2025","3,785.71","3,785.71","3,785.71","3,785.71","","-0.35%"
"11/05/2025","3,799.18","3,799.18","3,799.18","3,799.18","","1.53%"
