Date,Price,Open,High,Low,Vol.,Change %
2025-12-30,54478.17,,,,,
2025-12-29,55019.79,,,,,
2025-12-25,54507.06,,,,,
2025-12-24,54179.17,,,,,
2025-12-23,53910.12,,,,,
2025-12-22,53227.9,,,,,
2025-12-21,53119.79,,,,,
2025-12-18,53127.15,,,,,
2025-12-17,52962.88,,,,,
2025-12-16,52924.26,,,,,
2025-12-15,52478.82,,,,,
2025-12-14,52547.19,,,,,
2025-12-11,52121.64,,,,,
2025-12-10,52132.7,,,,,
2025-12-09,51719.66,,,,,
2025-12-08,51473.76,,,,,
2025-12-07,51451.69,,,,,
2025-12-04,51651.64,,,,,
2025-12-03,51422.47,,,,,
2025-12-02,51251.05,,,,,
2025-12-01,51437.92,,,,,
2025-11-30,51428.37,,,,,
2025-11-27,51557.5,,,,,
2025-11-26,51098.53,,,,,
2025-11-24,51777.08,,,,,
2025-11-23,51813.29,,,,,
2025-11-19,51706.35,,,,,
2025-11-18,51609.87,,,,,
2025-11-17,51687.81,,,,,
2025-11-16,51577.72,,,,,
2025-11-13,51516.33,,,,,
2025-11-12,51226.52,,,,,
2025-11-11,50998.15,,,,,
2025-11-10,50957.62,,,,,
2025-11-09,50134.39,,,,,
2025-11-06,49125.12,,,,,
2025-11-05,50044.74,,,,,
2025-11-04,50021.15,,,,,
2025-11-03,50018.82,,,,,
2025-11-02,49900.35,,,,,
2025-10-30,49782.03,,,,,
2025-10-29,49705.58,,,,,
2025-10-28,49590.26,,,,,
2025-10-27,49087.64,,,,,
2025-10-26,49039.01,,,,,
2025-10-23,48824.7,,,,,
2025-10-22,48512.83,,,,,
2025-10-21,48886.75,,,,,
2025-10-20,48800.05,,,,,
2025-10-19,48813.06,,,,,
2025-10-16,49119.52,,,,,
2025-10-15,49279.3,,,,,
2025-10-14,48995.76,,,,,
2025-10-13,49182.95,,,,,
2025-10-12,49476.44,,,,,
2025-10-09,49561.89,,,,,
2025-10-08,49607.12,,,,,
2025-10-07,49477.1,,,,,
2025-10-06,49676.03,,,,,
2025-10-05,49474.81,,,,,
2025-10-02,49254.04,,,,,
2025-10-01,49298.24,,,,,
2025-09-30,49338.93,,,,,
2025-09-29,49327.2,,,,,
2025-09-28,49057.22,,,,,
2025-09-25,49059.24,,,,,
2025-09-24,49215.84,,,,,
2025-09-23,49205.16,,,,,
2025-09-22,49069.14,,,,,
2025-09-21,49080.86,,,,,
2025-09-18,48960.41,,,,,
2025-09-17,48880.29,,,,,
2025-09-16,48829.22,,,,,
2025-09-15,49101.23,,,,,
2025-09-14,49084.87,,,,,
2025-09-11,48984.4,,,,,
2025-09-10,48815.29,,,,,
2025-09-09,48464.7,,,,,
2025-09-08,49295.42,,,,,
2025-09-07,48903.67,,,,,
2025-09-04,48980.02,,,,,
2025-09-03,48871.95,,,,,
2025-09-02,48633.6,,,,,
2025-09-01,48765.58,,,,,
2025-08-31,48720.91,,,,,
2025-08-28,48393.67,,,,,
2025-08-27,48596.09,,,,,
2025-08-26,48026.78,,,,,
2025-08-25,48554.24,,,,,
2025-08-24,48608.99,,,,,
2025-08-21,48589.58,,,,,
2025-08-20,48699.7,,,,,
2025-08-19,48759.12,,,,,
2025-08-18,48853.95,,,,,
2025-08-17,48882.08,,,,,
2025-08-14,49004.63,,,,,
2025-08-13,48640.24,,,,,
2025-08-12,48695.16,,,,,
2025-08-11,49070.88,,,,,
2025-08-10,49029.74,,,,,
2025-08-07,49054.82,,,,,
2025-08-06,48985.45,,,,,
2025-08-05,49003.89,,,,,
2025-08-04,49077.23,,,,,
2025-08-03,49238.9,,,,,
2025-07-31,49335.49,,,,,
2025-07-30,49270.38,,,,,
2025-07-29,49386.2,,,,,
2025-07-28,49423.9,,,,,
2025-07-27,49602.28,,,,,
2025-07-24,49487.75,,,,,
2025-07-23,49529.17,,,,,
2025-07-22,49532.82,,,,,
2025-07-21,49471.18,,,,,
2025-07-20,49500.26,,,,,
2025-07-17,50115.72,,,,,
2025-07-08,49473.98,,,,,
2025-07-07,49323.03,,,,,
2025-07-06,49383.24,,,,,
2025-07-03,49352.3,,,,,
2025-07-02,49158.4,,,,,
2025-07-01,48821.93,,,,,
2025-06-30,49063.69,,,,,
2025-06-29,49246.17,,,,,
2025-06-26,48859.56,,,,,
2025-06-25,48404.92,,,,,
2025-06-24,48046.98,,,,,
2025-06-23,48090.25,,,,,
2025-06-22,48145.43,,,,,
2025-06-19,48606.22,,,,,
2025-06-18,48519.02,,,,,
2025-06-17,48317.12,,,,,
2025-06-16,48794.42,,,,,
2025-06-15,48817.97,,,,,
2025-06-12,48452.27,,,,,
2025-06-11,48582.17,,,,,
2025-06-09,48649.49,,,,,
2025-06-08,48891.98,,,,,
2025-06-05,49165.16,,,,,
2025-06-04,49300.93,,,,,
2025-06-03,49248.37,,,,,
2025-06-02,49248.78,,,,,
2025-06-01,49115.56,,,,,
2025-05-29,49595.91,,,,,
2025-05-28,49799.12,,,,,
2025-05-27,49487.04,,,,,
2025-05-26,49209.39,,,,,
2025-05-25,48974.47,,,,,
2025-05-22,49554.98,,,,,
2025-05-21,49552.83,,,,,
2025-05-20,49508.19,,,,,
2025-05-19,49737.14,,,,,
2025-05-18,49870.57,,,,,
2025-05-15,49962.34,,,,,
2025-05-14,49580.4,,,,,
2025-05-13,49511.66,,,,,
2025-05-12,49902.47,,,,,
2025-05-11,49802.89,,,,,
2025-05-08,49559.84,,,,,
2025-05-07,49594.47,,,,,
2025-05-06,49044.94,,,,,
2025-05-05,49471.89,,,,,
2025-05-04,49620.84,,,,,
2025-05-01,49686.43,,,,,
2025-04-30,49587.25,,,,,
2025-04-29,48937.02,,,,,
2025-04-28,48739.03,,,,,
2025-04-27,48637.96,,,,,
2025-04-24,48921.96,,,,,
2025-04-23,48654.06,,,,,
2025-04-22,48324.63,,,,,
2025-04-21,48224.36,,,,,
2025-04-20,48177.15,,,,,
2025-04-17,47573.82,,,,,
2025-04-16,47326.87,,,,,
2025-04-15,47280.62,,,,,
2025-04-14,47476.74,,,,,
2025-04-13,46954.09,,,,,
2025-04-10,47579.17,,,,,
2025-04-09,47449.46,,,,,
2025-04-08,46334.87,,,,,
2025-04-07,47231.43,,,,,
2025-04-06,47933.4,,,,,
2025-04-03,48519.7,,,,,
2025-04-02,48982.77,,,,,
2025-04-01,49348.39,,,,,
2025-03-31,49557.97,,,,,
2025-03-30,50171.38,,,,,
2025-03-27,49935.2,,,,,
2025-03-26,49870.24,,,,,
2025-03-25,49885.07,,,,,
2025-03-24,49435.11,,,,,
2025-03-23,50938.47,,,,,
2025-03-20,51635.48,,,,,
2025-03-19,51565.22,,,,,
2025-03-18,51925.4,,,,,
2025-03-17,50847.07,,,,,
2025-03-16,50880.33,,,,,
2025-03-13,51215.03,,,,,
2025-03-12,51357.59,,,,,
2025-03-11,51376.36,,,,,
2025-03-10,51726.22,,,,,
