"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","3,560.00","3,547.50","3,560.00","3,545.00","","0.00%"
"12/30/2025","3,560.00","3,559.00","3,563.50","3,547.50","","0.03%"
"12/29/2025","3,559.00","3,559.00","3,563.00","3,556.00","","0.00%"
"12/26/2025","3,559.00","3,557.00","3,559.00","3,557.00","","0.06%"
"12/25/2025","3,557.00","3,557.00","3,557.00","3,557.00","","0.00%"
"12/24/2025","3,557.00","3,556.00","3,557.00","3,556.00","","0.03%"
"12/23/2025","3,556.00","3,553.00","3,556.00","3,545.00","","0.08%"
"12/22/2025","3,553.00","3,552.00","3,560.00","3,546.00","","0.03%"
"12/19/2025","3,552.00","3,552.00","3,552.00","3,545.00","","0.00%"
"12/18/2025","3,552.00","3,549.00","3,552.00","3,545.00","","0.08%"
"12/17/2025","3,549.00","3,549.00","3,549.00","3,545.00","","0.11%"
"12/16/2025","3,545.00","3,548.00","3,549.00","3,545.00","","-0.08%"
"12/15/2025","3,548.00","3,548.00","3,548.00","3,545.00","","0.00%"
"12/12/2025","3,548.00","3,548.00","3,548.00","3,545.00","","0.08%"
"12/11/2025","3,545.00","3,547.00","3,548.00","3,545.00","","-0.06%"
"12/10/2025","3,547.00","3,547.00","3,548.00","3,545.00","","0.00%"
"12/09/2025","3,547.00","3,548.00","3,548.00","3,545.00","","-0.03%"
"12/08/2025","3,548.00","3,549.00","3,564.50","3,546.00","","0.08%"
"12/05/2025","3,545.00","3,548.00","3,549.00","3,545.00","","-0.08%"
"12/04/2025","3,548.00","3,552.00","3,552.00","3,545.00","","-0.11%"
"12/03/2025","3,552.00","3,552.00","3,552.00","3,545.00","","0.00%"
"12/02/2025","3,552.00","3,556.00","3,556.00","3,552.00","","-0.11%"
"12/01/2025","3,556.00","3,557.00","3,575.00","3,556.00","","-0.03%"
"11/28/2025","3,557.00","3,563.00","3,563.00","3,557.00","","-0.17%"
"11/27/2025","3,563.00","3,563.00","3,575.00","3,563.00","","0.00%"
"11/26/2025","3,563.00","3,563.00","3,582.00","3,563.00","","0.00%"
"11/25/2025","3,563.00","3,566.00","3,582.00","3,563.00","","-0.04%"
"11/24/2025","3,564.50","3,567.00","3,583.50","3,564.00","","-0.07%"
"11/21/2025","3,567.00","3,567.00","3,582.00","3,567.00","","0.00%"
"11/20/2025","3,567.00","3,571.00","3,574.00","3,567.00","","-0.11%"
"11/19/2025","3,571.00","3,571.00","3,574.00","3,569.50","","-0.32%"
"11/18/2025","3,582.50","3,575.00","3,586.00","3,569.50","","0.21%"
"11/17/2025","3,575.00","3,575.00","3,586.00","3,574.00","","-0.28%"
"11/14/2025","3,585.00","3,576.00","3,587.50","3,574.00","","0.20%"
"11/13/2025","3,578.00","3,578.00","3,587.50","3,575.50","","0.00%"
"11/12/2025","3,578.00","3,579.00","3,579.00","3,578.00","","-0.03%"
"11/11/2025","3,579.00","3,579.00","3,581.00","3,578.00","","-0.06%"
"11/10/2025","3,581.00","3,582.00","3,582.00","3,581.00","","-0.03%"
"11/07/2025","3,582.00","3,583.00","3,583.00","3,582.00","","-0.03%"
"11/06/2025","3,583.00","3,587.00","3,587.00","3,583.00","","-0.11%"
"11/05/2025","3,587.00","3,586.00","3,587.00","3,586.00","","0.03%"
"11/04/2025","3,586.00","3,590.00","3,590.00","3,586.00","","-0.11%"
"11/03/2025","3,590.00","3,588.00","3,606.00","3,588.00","","0.06%"
"10/31/2025","3,588.00","3,589.00","3,605.50","3,588.00","","-0.03%"
"10/30/2025","3,589.00","3,591.00","3,609.50","3,586.00","","-0.06%"
"10/29/2025","3,591.00","3,592.00","3,607.00","3,587.00","","-0.03%"
"10/28/2025","3,592.00","3,593.00","3,607.50","3,589.00","","-0.03%"
"10/27/2025","3,593.00","3,594.00","3,610.00","3,589.50","","-0.03%"
