"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","2,381.78","2,381.78","2,381.78","2,381.78","","0.16%"
"12/30/2025","2,377.90","2,377.90","2,377.90","2,377.90","","-0.14%"
"12/29/2025","2,381.23","2,381.23","2,381.23","2,381.23","","0.30%"
"12/26/2025","2,374.15","2,374.15","2,374.15","2,374.15","","0.11%"
"12/24/2025","2,371.46","2,371.46","2,371.46","2,371.46","","0.03%"
"12/23/2025","2,370.81","2,370.81","2,370.81","2,370.81","","0.03%"
"12/22/2025","2,370.19","2,370.19","2,370.19","2,370.19","","0.18%"
"12/19/2025","2,366.04","2,366.04","2,366.04","2,366.04","","0.17%"
"12/18/2025","2,362.13","2,362.13","2,362.13","2,362.13","","-0.47%"
"12/17/2025","2,373.24","2,373.24","2,373.24","2,373.24","","-0.05%"
"12/16/2025","2,374.44","2,374.44","2,374.44","2,374.44","","0.00%"
"12/15/2025","2,374.36","2,374.36","2,374.36","2,374.36","","-0.01%"
"12/12/2025","2,374.59","2,374.59","2,374.59","2,374.59","","-0.34%"
"12/11/2025","2,382.70","2,382.70","2,382.70","2,382.70","","-0.05%"
"12/10/2025","2,383.91","2,383.91","2,383.91","2,383.91","","-0.52%"
"12/09/2025","2,396.47","2,396.47","2,396.47","2,396.47","","-0.01%"
"12/08/2025","2,396.61","2,396.61","2,396.61","2,396.61","","-0.60%"
"12/05/2025","2,411.03","2,411.03","2,411.03","2,411.03","","0.18%"
"12/04/2025","2,406.81","2,406.81","2,406.81","2,406.81","","-0.23%"
"12/03/2025","2,412.33","2,412.33","2,412.33","2,412.33","","0.59%"
"12/02/2025","2,398.22","2,398.22","2,398.22","2,398.22","","0.21%"
"12/01/2025","2,393.23","2,393.23","2,393.23","2,393.23","","0.18%"
"11/28/2025","2,388.84","2,388.84","2,388.84","2,388.84","","-0.21%"
"11/27/2025","2,393.77","2,393.77","2,393.77","2,393.77","","-0.04%"
"11/26/2025","2,394.69","2,394.69","2,394.69","2,394.69","","-0.36%"
"11/25/2025","2,403.42","2,403.42","2,403.42","2,403.42","","0.17%"
"11/24/2025","2,399.35","2,399.35","2,399.35","2,399.35","","0.04%"
"11/21/2025","2,398.38","2,398.38","2,398.38","2,398.38","","-0.02%"
"11/20/2025","2,398.80","2,398.80","2,398.80","2,398.80","","-0.78%"
"11/19/2025","2,417.69","2,417.69","2,417.69","2,417.69","","-1.32%"
"11/18/2025","2,450.00","2,450.00","2,450.00","2,450.00","","-0.04%"
"11/17/2025","2,451.01","2,451.01","2,451.01","2,451.01","","0.03%"
"11/14/2025","2,450.19","2,450.19","2,450.19","2,450.19","","0.05%"
"11/13/2025","2,448.94","2,448.94","2,448.94","2,448.94","","0.00%"
"11/12/2025","2,448.94","2,448.94","2,448.94","2,448.94","","0.43%"
"11/11/2025","2,438.41","2,438.41","2,438.41","2,438.41","","0.01%"
"11/10/2025","2,438.16","2,438.16","2,438.16","2,438.16","","-0.22%"
"11/07/2025","2,443.54","2,443.54","2,443.54","2,443.54","","0.05%"
"11/06/2025","2,442.24","2,442.24","2,442.24","2,442.24","","-0.11%"
"11/05/2025","2,444.89","2,444.89","2,444.89","2,444.89","","-0.41%"
"11/04/2025","2,454.86","2,454.86","2,454.86","2,454.86","","-0.20%"
"11/03/2025","2,459.76","2,459.76","2,459.76","2,459.76","","-0.37%"
"10/31/2025","2,469.01","2,469.01","2,469.01","2,469.01","","0.22%"
"10/30/2025","2,463.68","2,463.68","2,463.68","2,463.68","","-0.19%"
"10/29/2025","2,468.45","2,468.45","2,468.45","2,468.45","","0.12%"
"10/28/2025","2,465.47","2,465.47","2,465.47","2,465.47","","0.31%"
"10/27/2025","2,457.79","2,457.79","2,457.79","2,457.79","","-0.44%"
"10/24/2025","2,468.70","2,468.70","2,468.70","2,468.70","","-0.16%"
"10/23/2025","2,472.72","2,472.72","2,472.72","2,472.72","","-0.15%"
"10/22/2025","2,476.35","2,476.35","2,476.35","2,476.35","","-0.05%"
"10/21/2025","2,477.65","2,477.65","2,477.65","2,477.65","","0.13%"
"10/17/2025","2,474.42","2,474.42","2,474.42","2,474.42","","0.11%"
"10/16/2025","2,471.73","2,471.73","2,471.73","2,471.73","","-0.16%"
"10/15/2025","2,475.65","2,475.65","2,475.65","2,475.65","","0.01%"
"10/14/2025","2,475.41","2,475.41","2,475.41","2,475.41","","-0.07%"
"10/13/2025","2,477.13","2,477.13","2,477.13","2,477.13","","-0.10%"
"10/10/2025","2,479.54","2,479.54","2,479.54","2,479.54","","0.07%"
"10/09/2025","2,477.73","2,477.73","2,477.73","2,477.73","","-0.21%"
"10/08/2025","2,482.99","2,482.99","2,482.99","2,482.99","","0.05%"
"10/07/2025","2,481.81","2,481.81","2,481.81","2,481.81","","-0.07%"
"10/06/2025","2,483.61","2,483.61","2,483.61","2,483.61","","0.06%"
"10/03/2025","2,482.03","2,482.03","2,482.03","2,482.03","","0.45%"
"10/02/2025","2,470.81","2,470.81","2,470.81","2,470.81","","0.28%"
"10/01/2025","2,463.96","2,463.96","2,463.96","2,463.96","","0.11%"
"09/30/2025","2,461.24","2,461.24","2,461.24","2,461.24","","-0.02%"
"09/29/2025","2,461.67","2,461.67","2,461.67","2,461.67","","0.10%"
"09/26/2025","2,459.15","2,459.15","2,459.15","2,459.15","","0.03%"
"09/25/2025","2,458.49","2,458.49","2,458.49","2,458.49","","0.09%"
"09/24/2025","2,456.36","2,456.36","2,456.36","2,456.36","","0.01%"
"09/23/2025","2,456.23","2,456.23","2,456.23","2,456.23","","0.05%"
"09/22/2025","2,454.88","2,454.88","2,454.88","2,454.88","","-0.38%"
"09/19/2025","2,464.23","2,464.23","2,464.23","2,464.23","","-0.36%"
"09/18/2025","2,473.16","2,473.16","2,473.16","2,473.16","","-0.23%"
"09/17/2025","2,478.81","2,478.81","2,478.81","2,478.81","","0.06%"
"09/16/2025","2,477.30","2,477.30","2,477.30","2,477.30","","0.47%"
"09/15/2025","2,465.80","2,465.80","2,465.80","2,465.80","","0.24%"
"09/12/2025","2,459.89","2,459.89","2,459.89","2,459.89","","0.31%"
"09/11/2025","2,452.24","2,452.24","2,452.24","2,452.24","","0.04%"
"09/10/2025","2,451.24","2,451.24","2,451.24","2,451.24","","0.36%"
"09/09/2025","2,442.54","2,442.54","2,442.54","2,442.54","","0.04%"
"09/08/2025","2,441.50","2,441.50","2,441.50","2,441.50","","0.01%"
"09/05/2025","2,441.31","2,441.31","2,441.31","2,441.31","","0.11%"
"09/04/2025","2,438.56","2,438.56","2,438.56","2,438.56","","-0.04%"
"09/03/2025","2,439.60","2,439.60","2,439.60","2,439.60","","-0.03%"
"09/02/2025","2,440.37","2,440.37","2,440.37","2,440.37","","-0.10%"
"09/01/2025","2,442.78","2,442.78","2,442.78","2,442.78","","-0.20%"
"08/29/2025","2,447.79","2,447.79","2,447.79","2,447.79","","0.14%"
"08/27/2025","2,444.25","2,444.25","2,444.25","2,444.25","","-0.32%"
"08/26/2025","2,452.20","2,452.20","2,452.20","2,452.20","","-0.30%"
"08/25/2025","2,459.64","2,459.64","2,459.64","2,459.64","","-0.05%"
"08/22/2025","2,460.91","2,460.91","2,460.91","2,460.91","","0.07%"
"08/21/2025","2,459.25","2,459.25","2,459.25","2,459.25","","0.07%"
"08/20/2025","2,457.50","2,457.50","2,457.50","2,457.50","","0.05%"
"08/19/2025","2,456.35","2,456.35","2,456.35","2,456.35","","0.19%"
"08/18/2025","2,451.60","2,451.60","2,451.60","2,451.60","","0.21%"
"08/15/2025","2,446.57","2,446.57","2,446.57","2,446.57","","0.35%"
"08/14/2025","2,438.08","2,438.08","2,438.08","2,438.08","","0.31%"
"08/13/2025","2,430.56","2,430.56","2,430.56","2,430.56","","0.10%"
"08/12/2025","2,428.09","2,428.09","2,428.09","2,428.09","","-0.12%"
"08/11/2025","2,430.97","2,430.97","2,430.97","2,430.97","","-0.23%"
"08/08/2025","2,436.49","2,436.49","2,436.49","2,436.49","","0.05%"
"08/07/2025","2,435.27","2,435.27","2,435.27","2,435.27","","0.11%"
"08/06/2025","2,432.48","2,432.48","2,432.48","2,432.48","","0.21%"
"08/05/2025","2,427.42","2,427.42","2,427.42","2,427.42","","0.06%"
"08/04/2025","2,426.05","2,426.05","2,426.05","2,426.05","","0.06%"
"08/01/2025","2,424.51","2,424.51","2,424.51","2,424.51","","-0.14%"
"07/31/2025","2,427.89","2,427.89","2,427.89","2,427.89","","0.12%"
"07/30/2025","2,425.07","2,425.07","2,425.07","2,425.07","","0.53%"
"07/29/2025","2,412.39","2,412.39","2,412.39","2,412.39","","0.29%"
"07/28/2025","2,405.43","2,405.43","2,405.43","2,405.43","","0.30%"
"07/25/2025","2,398.23","2,398.23","2,398.23","2,398.23","","0.40%"
"07/24/2025","2,388.64","2,388.64","2,388.64","2,388.64","","0.65%"
"07/23/2025","2,373.25","2,373.25","2,373.25","2,373.25","","0.44%"
"07/22/2025","2,362.85","2,362.85","2,362.85","2,362.85","","0.27%"
"07/21/2025","2,356.51","2,356.51","2,356.51","2,356.51","","-0.19%"
"07/18/2025","2,361.01","2,361.01","2,361.01","2,361.01","","0.04%"
"07/17/2025","2,360.09","2,360.09","2,360.09","2,360.09","","0.04%"
"07/16/2025","2,359.24","2,359.24","2,359.24","2,359.24","","0.03%"
"07/15/2025","2,358.51","2,358.51","2,358.51","2,358.51","","-0.36%"
"07/14/2025","2,367.11","2,367.11","2,367.11","2,367.11","","-0.05%"
