Date,Price,Open,High,Low,Vol.,Change %
2025-12-31,598062.8,,,,,
2025-12-30,597503.48,,,,,
2025-12-29,597401.04,,,,,
2025-12-24,597004.3,,,,,
2025-12-23,605627.4,,,,,
2025-12-22,606515.03,,,,,
2025-12-19,607938.06,,,,,
2025-12-18,607964.21,,,,,
2025-12-17,608246.99,,,,,
2025-12-16,610649.69,,,,,
2025-12-15,612720.1,,,,,
2025-12-12,613095.22,,,,,
2025-12-11,610928.52,,,,,
2025-12-10,613567.97,,,,,
2025-12-09,612728.12,,,,,
2025-12-08,614643.69,,,,,
2025-12-05,615346.07,,,,,
2025-12-04,615648.47,,,,,
2025-12-03,616145.84,,,,,
2025-12-02,617315.17,,,,,
2025-12-01,619382.11,,,,,
2025-11-28,619312.19,,,,,
2025-11-27,621421.01,,,,,
2025-11-26,621939.62,,,,,
2025-11-25,623705.98,,,,,
2025-11-24,624740.79,,,,,
2025-11-21,635645.46,,,,,
2025-11-20,636169.33,,,,,
2025-11-19,636274.29,,,,,
2025-11-18,636566.62,,,,,
2025-11-17,636574.11,,,,,
2025-11-14,636791.2,,,,,
2025-11-13,641471.07,,,,,
2025-11-12,636322.66,,,,,
2025-11-11,635458.66,,,,,
2025-11-10,631054.62,,,,,
2025-11-07,613961.24,,,,,
2025-11-06,613843.29,,,,,
2025-11-05,613978.84,,,,,
2025-11-04,614030.23,,,,,
2025-11-03,615296.82,,,,,
2025-10-31,602600.89,,,,,
2025-10-30,606966.88,,,,,
2025-10-29,597580.08,,,,,
2025-10-28,597297.78,,,,,
2025-10-27,593318.72,,,,,
2025-10-24,593333.78,,,,,
2025-10-23,590911.72,,,,,
2025-10-22,591103.33,,,,,
2025-10-21,591171.51,,,,,
2025-10-20,591177.49,,,,,
2025-10-17,585955.49,,,,,
2025-10-16,606629.38,,,,,
2025-10-14,607051.41,,,,,
2025-10-13,607199.78,,,,,
2025-10-10,607253.7,,,,,
2025-10-09,604427.43,,,,,
2025-10-08,604182.3,,,,,
2025-10-07,604540.76,,,,,
2025-10-06,605572.13,,,,,
2025-10-03,600469.03,,,,,
2025-10-02,592991.71,,,,,
2025-10-01,592771.29,,,,,
2025-09-30,579212.79,,,,,
2025-09-29,578388.78,,,,,
2025-09-26,578342.42,,,,,
2025-09-25,578328.56,,,,,
2025-09-24,578429.38,,,,,
2025-09-23,578467.58,,,,,
2025-09-22,575272.14,,,,,
2025-09-19,573791.65,,,,,
2025-09-18,573525.01,,,,,
2025-09-17,561867.54,,,,,
2025-09-15,561198.78,,,,,
2025-09-12,550094.6,,,,,
2025-09-11,550143.68,,,,,
2025-09-10,550295.49,,,,,
2025-09-09,547206.3,,,,,
2025-09-08,535868.01,,,,,
2025-09-05,536567.19,,,,,
2025-09-04,534212.32,,,,,
2025-09-03,535138.21,,,,,
2025-09-02,537219.89,,,,,
2025-09-01,535229.69,,,,,
2025-08-29,535303.19,,,,,
2025-08-28,533079.2,,,,,
2025-08-27,528895.5,,,,,
2025-08-26,519415.84,,,,,
2025-08-25,496105.05,,,,,
2025-08-22,490201.45,,,,,
2025-08-21,488834.93,,,,,
2025-08-20,465363.88,,,,,
2025-08-19,463499.49,,,,,
2025-08-18,449657.93,,,,,
2025-08-15,449662.23,,,,,
2025-08-14,447409.4,,,,,
2025-08-13,447158.43,,,,,
2025-08-12,447122.31,,,,,
2025-08-11,432152.86,,,,,
2025-08-08,425534.71,,,,,
2025-08-07,413969.7,,,,,
2025-08-06,413757.76,,,,,
2025-08-05,413424.8,,,,,
2025-08-04,411540.85,,,,,
2025-08-01,393087.82,,,,,
2025-07-31,386281.85,,,,,
2025-07-30,382576.41,,,,,
2025-07-29,382285.19,,,,,
2025-07-28,374497.93,,,,,
2025-07-25,331801.4,,,,,
2025-07-24,331801.09,,,,,
2025-07-23,331800.96,,,,,
2025-07-22,327738.16,,,,,
2025-07-21,325248.63,,,,,
2025-07-18,367465.79,,,,,
2025-07-17,367459.69,,,,,
2025-07-16,364131.18,,,,,
2025-07-15,361985.88,,,,,
2025-07-14,357925.87,,,,,
2025-07-11,350875.2,,,,,
2025-07-10,344427.69,,,,,
2025-07-09,336715.9,,,,,
2025-07-08,335839.62,,,,,
2025-07-04,333128.04,,,,,
2025-07-03,333064.71,,,,,
2025-07-02,332086.4,,,,,
2025-07-01,329924.28,,,,,
2025-06-30,329922.87,,,,,
2025-06-27,319540.44,,,,,
2025-06-26,319705.46,,,,,
2025-06-25,318342.35,,,,,
2025-06-24,312620.51,,,,,
2025-06-23,310625.04,,,,,
2025-06-20,307031.13,,,,,
2025-06-19,301403.97,,,,,
2025-06-18,301322.15,,,,,
2025-06-17,298909.17,,,,,
2025-06-16,291093.23,,,,,
2025-06-13,290490.35,,,,,
2025-06-12,286720.86,,,,,
2025-06-11,286549.02,,,,,
2025-06-10,284085.81,,,,,
2025-06-06,279755.09,,,,,
2025-06-05,280341.12,,,,,
2025-06-04,280341.12,,,,,
2025-06-03,280337.35,,,,,
2025-06-02,279743.07,,,,,
2025-05-30,283146.74,,,,,
2025-05-29,282632.56,,,,,
2025-05-28,283665.14,,,,,
2025-05-27,283687.8,,,,,
2025-05-26,283720.84,,,,,
2025-05-23,283288.66,,,,,
2025-05-22,283959.02,,,,,
2025-05-21,287955.43,,,,,
2025-05-20,288199.47,,,,,
2025-05-19,288795.66,,,,,
2025-05-16,288945.17,,,,,
2025-05-15,289175.26,,,,,
2025-05-13,289209.36,,,,,
2025-05-12,289245.97,,,,,
2025-05-09,289280.32,,,,,
2025-05-08,289298.56,,,,,
2025-05-07,289336.19,,,,,
2025-05-06,289257.27,,,,,
