"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","2,141.3","2,137.9","2,141.3","2,137.8","","0.17%"
"12/30/2025","2,137.7","2,138.1","2,138.1","2,132.0","","0.01%"
"12/29/2025","2,137.6","2,128.2","2,151.6","2,126.7","","0.33%"
"12/24/2025","2,130.6","2,119.0","2,130.6","2,115.9","","0.63%"
"12/23/2025","2,117.2","2,074.9","2,117.2","2,074.9","","2.06%"
"12/22/2025","2,074.5","2,094.2","2,099.0","2,074.5","","-0.95%"
"12/19/2025","2,094.4","2,094.0","2,098.2","2,089.3","","0.03%"
"12/18/2025","2,093.8","2,085.8","2,104.5","2,084.3","","0.40%"
"12/17/2025","2,085.5","2,059.5","2,088.0","2,056.3","","1.27%"
"12/15/2025","2,059.4","2,050.8","2,059.4","2,047.3","","0.43%"
"12/12/2025","2,050.6","2,064.5","2,077.0","2,050.6","","-0.64%"
"12/11/2025","2,063.8","2,060.6","2,065.0","2,060.6","","0.17%"
"12/10/2025","2,060.3","2,060.7","2,064.4","2,059.2","","0.00%"
"12/09/2025","2,060.3","2,063.2","2,072.8","2,057.4","","-0.13%"
"12/08/2025","2,062.9","2,082.5","2,082.5","2,062.9","","-0.93%"
"12/05/2025","2,082.4","2,063.7","2,082.4","2,063.2","","0.91%"
"12/04/2025","2,063.5","2,048.6","2,066.0","2,048.4","","0.73%"
"12/03/2025","2,048.6","2,020.8","2,048.6","2,018.9","","1.38%"
"12/02/2025","2,020.7","2,017.1","2,020.7","2,007.4","","0.18%"
"12/01/2025","2,017.0","1,999.3","2,017.0","1,999.3","","0.93%"
"11/28/2025","1,998.5","1,998.2","2,002.5","1,995.7","","0.06%"
"11/27/2025","1,997.3","2,013.3","2,016.7","1,997.3","","-0.78%"
"11/26/2025","2,012.9","1,987.7","2,015.0","1,987.7","","1.26%"
"11/25/2025","1,987.9","1,964.3","1,987.9","1,964.3","","1.19%"
"11/24/2025","1,964.6","1,961.6","1,964.6","1,952.3","","0.13%"
"11/21/2025","1,962.0","1,991.7","1,991.7","1,962.0","","-1.51%"
"11/20/2025","1,992.0","1,988.1","1,994.1","1,987.6","","0.23%"
"11/19/2025","1,987.3","1,977.1","1,987.3","1,975.5","","0.53%"
"11/18/2025","1,976.9","2,020.4","2,020.4","1,976.9","","-2.16%"
"11/17/2025","2,020.6","2,013.6","2,027.0","2,013.6","","0.35%"
"11/14/2025","2,013.5","2,034.8","2,034.8","2,008.5","","-1.06%"
"11/13/2025","2,035.1","2,018.7","2,035.1","2,018.6","","0.82%"
"11/12/2025","2,018.5","1,984.4","2,018.5","1,983.5","","1.71%"
"11/11/2025","1,984.6","1,980.3","1,986.9","1,978.9","","0.20%"
"11/10/2025","1,980.6","1,960.6","1,980.6","1,960.6","","1.03%"
"11/07/2025","1,960.4","1,986.8","1,986.8","1,955.5","","-1.32%"
"11/06/2025","1,986.7","1,972.9","1,986.7","1,971.0","","0.70%"
"11/05/2025","1,972.8","1,960.0","1,972.8","1,951.1","","0.68%"
"11/04/2025","1,959.5","1,985.9","1,985.9","1,949.8","","-1.31%"
"11/03/2025","1,985.6","2,010.8","2,010.8","1,985.6","","-1.25%"
"10/31/2025","2,010.8","2,010.9","2,019.7","2,010.8","","-0.03%"
"10/30/2025","2,011.5","2,037.8","2,039.0","2,011.5","","-1.29%"
"10/29/2025","2,037.7","2,034.0","2,037.7","2,034.0","","0.19%"
"10/28/2025","2,033.8","2,008.4","2,033.8","2,000.8","","1.29%"
"10/27/2025","2,007.8","2,022.6","2,022.9","2,007.8","","-0.71%"
"10/24/2025","2,022.3","2,043.2","2,043.2","2,022.2","","-0.92%"
"10/23/2025","2,040.9","2,030.3","2,040.9","2,027.7","","0.60%"
"10/22/2025","2,028.8","2,024.4","2,029.6","2,011.7","","0.27%"
"10/21/2025","2,023.4","2,028.1","2,033.0","2,023.4","","-0.15%"
"10/20/2025","2,026.4","2,016.2","2,026.4","2,004.6","","0.51%"
"10/17/2025","2,016.0","2,032.6","2,036.2","2,009.0","","-0.75%"
"10/16/2025","2,031.3","2,032.3","2,039.1","2,026.7","","-0.04%"
"10/15/2025","2,032.0","2,018.0","2,033.7","2,018.0","","0.77%"
"10/14/2025","2,016.4","2,031.8","2,037.4","2,016.4","","-0.77%"
"10/13/2025","2,032.0","2,022.8","2,035.5","2,022.8","","0.45%"
"10/10/2025","2,022.8","2,012.0","2,022.8","2,003.9","","0.55%"
"10/09/2025","2,011.9","1,979.1","2,011.9","1,979.1","","1.72%"
"10/08/2025","1,977.8","1,978.3","1,978.8","1,963.0","","-0.02%"
"10/07/2025","1,978.1","1,983.9","1,990.3","1,974.3","","-0.26%"
"10/06/2025","1,983.3","1,962.8","1,983.3","1,962.0","","1.05%"
