"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","1,687.77","1,676.24","1,690.75","1,676.24","47.09M","0.69%"
"12/29/2025","1,676.17","1,666.90","1,678.90","1,666.41","51.79M","0.58%"
"12/23/2025","1,666.51","1,662.43","1,668.43","1,659.35","45.79M","0.25%"
"12/22/2025","1,662.43","1,661.18","1,668.18","1,657.58","47.39M","0.14%"
"12/19/2025","1,660.14","1,649.83","1,663.39","1,648.17","109.02M","0.63%"
"12/18/2025","1,649.68","1,649.54","1,653.10","1,647.15","47.45M","0.01%"
"12/17/2025","1,649.54","1,636.52","1,653.55","1,636.52","57.65M","0.83%"
"12/16/2025","1,635.99","1,647.03","1,647.03","1,635.99","72.22M","-0.67%"
"12/15/2025","1,647.08","1,642.69","1,650.38","1,640.59","47.67M","0.26%"
"12/12/2025","1,642.81","1,641.13","1,647.00","1,639.20","46.69M","0.10%"
"12/11/2025","1,641.11","1,629.06","1,643.67","1,629.02","50.31M","0.78%"
"12/10/2025","1,628.34","1,638.13","1,641.47","1,628.34","50.45M","-0.60%"
"12/09/2025","1,638.15","1,640.24","1,645.68","1,638.15","52.53M","-0.13%"
"12/08/2025","1,640.22","1,632.90","1,640.84","1,629.32","51.50M","0.48%"
"12/05/2025","1,632.45","1,625.29","1,636.00","1,625.29","45.38M","0.44%"
"12/04/2025","1,625.29","1,615.97","1,626.97","1,613.07","50.75M","0.57%"
"12/03/2025","1,616.00","1,605.32","1,621.49","1,605.32","60.12M","0.67%"
"12/02/2025","1,605.30","1,605.94","1,610.35","1,601.93","59.64M","-0.04%"
"12/01/2025","1,605.87","1,609.67","1,609.82","1,599.53","45.98M","-0.24%"
"11/28/2025","1,609.67","1,608.34","1,613.45","1,606.41","63.67M","0.08%"
"11/27/2025","1,608.34","1,596.50","1,609.55","1,596.35","50.33M","0.72%"
"11/26/2025","1,596.82","1,585.53","1,598.55","1,585.53","51.37M","0.71%"
"11/25/2025","1,585.53","1,581.96","1,592.74","1,581.96","57.92M","0.23%"
"11/24/2025","1,581.82","1,583.62","1,590.20","1,577.02","85.96M","-0.12%"
"11/21/2025","1,583.67","1,601.57","1,601.57","1,569.21","55.25M","-1.13%"
"11/20/2025","1,601.78","1,583.76","1,604.08","1,583.76","41.56M","1.13%"
"11/19/2025","1,583.83","1,586.72","1,598.38","1,579.59","46.35M","-0.12%"
"11/18/2025","1,585.79","1,619.25","1,619.25","1,585.34","43.19M","-2.06%"
"11/17/2025","1,619.15","1,615.61","1,626.02","1,615.50","34.91M","0.27%"
"11/14/2025","1,614.79","1,624.02","1,624.02","1,603.75","45.92M","-0.54%"
"11/13/2025","1,623.58","1,625.61","1,625.74","1,617.22","41.88M","0.07%"
"11/12/2025","1,622.41","1,617.47","1,628.03","1,616.94","55.30M","0.34%"
"11/11/2025","1,616.91","1,607.11","1,616.91","1,607.05","43.66M","0.61%"
"11/10/2025","1,607.11","1,599.47","1,613.41","1,599.44","44.80M","0.49%"
"11/07/2025","1,599.21","1,603.62","1,610.97","1,592.32","50.43M","-0.28%"
"11/06/2025","1,603.62","1,610.34","1,613.16","1,600.27","58.01M","-0.38%"
"11/05/2025","1,609.67","1,606.84","1,612.21","1,604.33","48.19M","0.17%"
"11/04/2025","1,606.91","1,619.18","1,619.18","1,599.91","41.91M","-0.76%"
"11/03/2025","1,619.26","1,611.82","1,621.88","1,611.82","50.15M","0.46%"
"10/31/2025","1,611.80","1,607.62","1,612.50","1,603.05","53.67M","0.26%"
"10/30/2025","1,607.59","1,640.06","1,641.36","1,607.38","59.24M","-1.96%"
"10/29/2025","1,639.80","1,639.64","1,645.90","1,629.57","53.62M","0.10%"
"10/28/2025","1,638.19","1,646.82","1,646.92","1,633.99","39.07M","-0.52%"
"10/27/2025","1,646.78","1,644.70","1,647.37","1,637.84","39.96M","0.24%"
"10/24/2025","1,642.83","1,652.59","1,653.20","1,635.44","46.98M","-0.59%"
"10/23/2025","1,652.59","1,627.76","1,653.09","1,627.76","64.99M","1.53%"
"10/22/2025","1,627.71","1,632.16","1,636.65","1,623.45","72.39M","-0.27%"
"10/21/2025","1,632.15","1,628.59","1,635.94","1,624.11","47.47M","0.23%"
"10/20/2025","1,628.46","1,623.36","1,633.94","1,623.16","39.00M","0.33%"
"10/17/2025","1,623.18","1,643.82","1,643.82","1,606.13","62.09M","-1.26%"
"10/16/2025","1,643.87","1,645.64","1,645.64","1,636.67","43.98M","0.04%"
"10/15/2025","1,643.17","1,632.14","1,643.74","1,632.01","42.45M","0.68%"
"10/14/2025","1,632.14","1,638.47","1,638.47","1,627.33","52.43M","-0.40%"
"10/13/2025","1,638.62","1,650.83","1,650.83","1,633.99","50.75M","-0.74%"
"10/10/2025","1,650.86","1,653.09","1,657.82","1,647.29","60.12M","-0.14%"
"10/09/2025","1,653.12","1,652.51","1,665.57","1,651.10","48.14M","0.05%"
"10/08/2025","1,652.36","1,649.34","1,655.91","1,646.06","44.89M","0.17%"
"10/07/2025","1,649.49","1,668.04","1,668.39","1,649.49","43.63M","-1.11%"
"10/06/2025","1,668.04","1,659.31","1,670.25","1,658.35","42.79M","0.53%"
"10/03/2025","1,659.31","1,650.55","1,663.94","1,650.55","37.96M","0.54%"
"10/02/2025","1,650.48","1,658.42","1,660.71","1,650.48","35.55M","-0.44%"
"10/01/2025","1,657.71","1,644.53","1,658.87","1,644.52","45.79M","0.80%"
"09/30/2025","1,644.57","1,657.63","1,657.63","1,643.28","53.22M","-0.79%"
"09/29/2025","1,657.67","1,662.42","1,669.30","1,656.52","42.10M","-0.29%"
"09/26/2025","1,662.43","1,656.77","1,666.42","1,650.74","47.49M","0.39%"
"09/25/2025","1,655.92","1,662.53","1,669.02","1,655.92","47.60M","-0.40%"
"09/24/2025","1,662.61","1,656.85","1,664.22","1,651.15","54.08M","0.40%"
"09/23/2025","1,655.91","1,641.54","1,658.84","1,641.54","51.73M","0.88%"
"09/22/2025","1,641.51","1,645.74","1,648.29","1,639.74","55.98M","-0.25%"
"09/19/2025","1,645.65","1,651.29","1,658.31","1,645.49","163.34M","-0.34%"
"09/18/2025","1,651.25","1,650.59","1,659.54","1,646.68","46.05M","0.04%"
"09/17/2025","1,650.53","1,657.42","1,658.24","1,647.30","43.85M","-0.40%"
"09/16/2025","1,657.19","1,664.20","1,665.32","1,653.27","48.14M","-0.42%"
"09/15/2025","1,664.18","1,654.62","1,666.24","1,653.95","46.24M","0.58%"
"09/12/2025","1,654.62","1,652.87","1,656.99","1,646.63","48.20M","0.10%"
"09/11/2025","1,652.98","1,653.47","1,660.63","1,649.36","75.18M","-0.01%"
"09/10/2025","1,653.18","1,640.93","1,653.18","1,639.70","53.68M","0.74%"
"09/09/2025","1,641.09","1,632.84","1,641.09","1,631.58","40.96M","0.52%"
"09/08/2025","1,632.64","1,625.91","1,636.81","1,625.55","38.78M","0.42%"
"09/05/2025","1,625.88","1,629.82","1,635.27","1,625.88","51.34M","-0.24%"
"09/04/2025","1,629.72","1,619.16","1,632.36","1,615.55","50.27M","0.66%"
"09/03/2025","1,619.00","1,633.06","1,635.16","1,617.68","50.87M","-0.84%"
"09/02/2025","1,632.74","1,647.13","1,649.95","1,626.49","49.90M","-0.87%"
"09/01/2025","1,647.12","1,647.10","1,649.70","1,643.68","33.56M","0.04%"
"08/29/2025","1,646.47","1,636.73","1,652.14","1,636.73","48.77M","0.63%"
"08/28/2025","1,636.18","1,646.27","1,649.93","1,635.19","48.53M","-0.60%"
"08/27/2025","1,646.08","1,659.73","1,659.73","1,645.25","53.64M","-0.81%"
"08/26/2025","1,659.54","1,662.56","1,662.60","1,653.03","73.03M","-0.14%"
"08/25/2025","1,661.86","1,664.20","1,664.37","1,655.71","44.75M","-0.15%"
"08/22/2025","1,664.42","1,657.49","1,665.73","1,657.49","51.64M","0.43%"
"08/21/2025","1,657.37","1,645.42","1,658.65","1,645.20","56.31M","0.76%"
"08/20/2025","1,644.90","1,635.65","1,645.56","1,629.87","38.59M","0.57%"
"08/19/2025","1,635.64","1,632.68","1,639.42","1,630.33","48.96M","0.18%"
"08/18/2025","1,632.69","1,638.35","1,638.43","1,628.18","43.70M","-0.09%"
"08/15/2025","1,634.23","1,630.91","1,640.50","1,629.58","62.07M","0.20%"
"08/14/2025","1,630.90","1,626.56","1,635.29","1,626.56","82.21M","0.27%"
"08/13/2025","1,626.56","1,623.66","1,630.06","1,620.69","54.34M","0.18%"
"08/12/2025","1,623.67","1,612.61","1,623.68","1,612.57","48.88M","0.73%"
"08/11/2025","1,611.97","1,622.65","1,622.65","1,610.19","37.43M","-0.66%"
"08/08/2025","1,622.72","1,621.70","1,633.19","1,620.36","43.05M","0.06%"
"08/07/2025","1,621.70","1,624.49","1,625.40","1,612.85","48.52M","-0.18%"
"08/06/2025","1,624.55","1,623.24","1,630.81","1,622.01","48.42M","0.08%"
"08/05/2025","1,623.18","1,616.50","1,628.85","1,616.50","49.17M","0.41%"
"08/04/2025","1,616.50","1,605.45","1,620.46","1,605.45","39.73M","0.69%"
"08/01/2025","1,605.43","1,625.41","1,625.41","1,602.03","45.84M","-1.22%"
"07/31/2025","1,625.25","1,621.28","1,627.15","1,618.99","50.79M","0.23%"
"07/30/2025","1,621.45","1,633.48","1,638.69","1,616.29","46.73M","-0.74%"
"07/29/2025","1,633.47","1,625.07","1,634.15","1,625.07","61.83M","0.52%"
"07/28/2025","1,625.05","1,614.89","1,627.59","1,614.88","46.24M","0.65%"
"07/25/2025","1,614.53","1,624.77","1,627.31","1,613.02","38.81M","-0.64%"
"07/24/2025","1,624.96","1,614.35","1,632.60","1,614.35","50.94M","0.67%"
"07/23/2025","1,614.08","1,612.41","1,620.89","1,610.40","49.85M","0.10%"
"07/22/2025","1,612.43","1,610.67","1,617.25","1,609.53","52.05M","0.26%"
"07/21/2025","1,608.18","1,616.99","1,617.53","1,608.18","42.25M","-0.54%"
"07/18/2025","1,616.92","1,612.33","1,621.14","1,612.12","59.09M","0.40%"
"07/17/2025","1,610.40","1,609.62","1,613.50","1,605.40","46.08M","0.05%"
"07/16/2025","1,609.63","1,624.65","1,624.65","1,609.63","54.48M","-0.93%"
"07/15/2025","1,624.67","1,628.87","1,631.54","1,620.88","62.13M","-0.25%"
"07/14/2025","1,628.78","1,627.13","1,637.64","1,618.28","62.91M","0.10%"
"07/11/2025","1,627.14","1,632.50","1,633.82","1,618.14","92.75M","-0.32%"
"07/10/2025","1,632.43","1,621.90","1,634.15","1,621.90","53.48M","0.67%"
"07/09/2025","1,621.64","1,633.80","1,636.93","1,621.64","56.86M","-0.74%"
"07/08/2025","1,633.80","1,633.48","1,635.03","1,625.94","52.85M","0.02%"
"07/07/2025","1,633.51","1,631.99","1,635.05","1,628.41","58.09M","0.10%"
"07/04/2025","1,631.88","1,629.26","1,633.25","1,622.39","46.52M","0.16%"
"07/03/2025","1,629.27","1,619.38","1,632.99","1,619.35","52.53M","0.61%"
"07/02/2025","1,619.37","1,608.30","1,621.56","1,604.14","52.99M","0.69%"
"07/01/2025","1,608.30","1,621.36","1,621.53","1,608.21","51.81M","-0.80%"
"06/30/2025","1,621.29","1,607.84","1,621.32","1,607.79","58.98M","0.84%"
"06/27/2025","1,607.73","1,597.53","1,612.16","1,597.28","58.99M","0.64%"
"06/26/2025","1,597.57","1,600.65","1,605.68","1,593.58","55.56M","-0.19%"
"06/25/2025","1,600.55","1,605.68","1,608.27","1,594.47","65.41M","-0.32%"
"06/24/2025","1,605.68","1,633.15","1,634.58","1,598.72","95.12M","-1.68%"
"06/23/2025","1,633.13","1,644.09","1,650.73","1,633.13","81.76M","-0.65%"
"06/20/2025","1,643.85","1,645.45","1,649.64","1,635.08","138.17M","-0.08%"
"06/19/2025","1,645.14","1,639.02","1,645.14","1,634.06","55.03M","0.46%"
"06/18/2025","1,637.65","1,636.72","1,640.35","1,633.89","74.57M","0.05%"
"06/17/2025","1,636.76","1,632.99","1,640.21","1,626.49","60.70M","0.20%"
"06/16/2025","1,633.46","1,627.37","1,641.91","1,627.36","72.34M","0.37%"
"06/13/2025","1,627.37","1,616.12","1,631.90","1,616.08","90.42M","0.69%"
"06/12/2025","1,616.14","1,610.93","1,618.14","1,604.49","65.17M","0.33%"
"06/11/2025","1,610.88","1,600.66","1,613.27","1,598.48","65.83M","0.62%"
"06/10/2025","1,600.91","1,584.61","1,602.38","1,584.40","61.04M","1.03%"
"06/06/2025","1,584.61","1,582.93","1,590.84","1,582.93","54.74M","0.10%"
"06/05/2025","1,583.01","1,579.47","1,591.27","1,576.57","55.95M","0.23%"
"06/04/2025","1,579.39","1,569.60","1,582.12","1,568.58","137.57M","0.63%"
"06/03/2025","1,569.53","1,570.36","1,576.07","1,565.39","57.38M","-0.01%"
"06/02/2025","1,569.64","1,561.54","1,573.50","1,556.73","83.85M","0.51%"
"05/30/2025","1,561.61","1,565.54","1,574.02","1,560.65","122.13M","-0.21%"
"05/28/2025","1,564.95","1,575.32","1,582.19","1,564.53","52.16M","-0.61%"
"05/27/2025","1,574.52","1,565.08","1,577.69","1,563.39","63.57M","0.62%"
"05/26/2025","1,564.87","1,549.72","1,567.72","1,549.72","52.74M","0.98%"
"05/23/2025","1,549.67","1,547.88","1,561.56","1,530.44","65.29M","0.19%"
"05/22/2025","1,546.79","1,572.28","1,572.34","1,541.36","83.90M","-1.42%"
"05/21/2025","1,569.15","1,562.15","1,569.36","1,561.37","58.82M","0.49%"
"05/20/2025","1,561.46","1,558.71","1,565.86","1,553.23","62.10M","0.18%"
"05/19/2025","1,558.73","1,565.59","1,565.59","1,547.20","51.05M","-0.44%"
"05/16/2025","1,565.56","1,548.02","1,566.51","1,548.02","62.92M","1.19%"
"05/15/2025","1,547.17","1,538.43","1,547.17","1,525.18","61.05M","0.79%"
"05/14/2025","1,535.09","1,527.03","1,538.17","1,527.03","59.13M","0.63%"
"05/13/2025","1,525.55","1,520.47","1,527.88","1,516.38","57.01M","0.34%"
"05/12/2025","1,520.32","1,509.73","1,525.39","1,509.73","101.47M","0.99%"
"05/09/2025","1,505.35","1,514.38","1,518.25","1,505.11","65.24M","-0.58%"
"05/08/2025","1,514.12","1,515.02","1,527.25","1,511.20","75.31M","0.08%"
"05/07/2025","1,512.95","1,509.40","1,512.95","1,502.27","67.93M","0.26%"
"05/06/2025","1,508.97","1,515.14","1,518.01","1,502.59","61.96M","-0.39%"
"05/05/2025","1,514.89","1,510.86","1,515.21","1,500.64","70.94M","0.31%"
"05/02/2025","1,510.15","1,488.61","1,510.15","1,488.34","79.92M","1.55%"
"04/30/2025","1,487.07","1,484.64","1,488.46","1,475.58","78.02M","1.00%"
"04/29/2025","1,472.35","1,469.31","1,472.35","1,458.03","72.32M","0.33%"
"04/28/2025","1,467.54","1,456.67","1,468.12","1,456.67","59.18M","0.76%"
"04/25/2025","1,456.43","1,456.86","1,466.47","1,450.95","80.83M","0.29%"
"04/24/2025","1,452.23","1,454.00","1,458.88","1,447.96","133.55M","-0.12%"
"04/23/2025","1,453.91","1,438.29","1,461.77","1,438.29","73.25M","1.15%"
"04/22/2025","1,437.37","1,447.62","1,448.25","1,429.85","60.20M","-0.70%"
"04/16/2025","1,447.47","1,446.62","1,447.47","1,430.31","37.71M","0.05%"
"04/15/2025","1,446.78","1,434.80","1,452.14","1,434.80","52.49M","0.84%"
"04/14/2025","1,434.74","1,408.53","1,437.86","1,408.53","56.09M","1.92%"
"04/11/2025","1,407.76","1,401.83","1,416.48","1,388.58","66.99M","0.45%"
"04/10/2025","1,401.51","1,364.67","1,437.58","1,364.67","95.79M","2.84%"
"04/09/2025","1,362.84","1,401.27","1,401.27","1,343.30","97.25M","-2.76%"
"04/08/2025","1,401.52","1,390.56","1,406.95","1,369.90","86.90M","0.82%"
"04/07/2025","1,390.09","1,394.39","1,406.98","1,314.60","139.28M","-0.43%"
"04/04/2025","1,396.13","1,470.39","1,470.39","1,395.87","124.40M","-5.01%"
"04/03/2025","1,469.70","1,496.86","1,496.86","1,463.30","80.65M","-2.04%"
"04/02/2025","1,500.30","1,517.78","1,523.93","1,498.27","48.95M","-1.17%"
"04/01/2025","1,518.11","1,516.73","1,527.23","1,516.73","56.60M","0.10%"
"03/31/2025","1,516.52","1,514.05","1,518.80","1,497.82","60.40M","0.17%"
"03/28/2025","1,513.98","1,534.26","1,534.44","1,511.04","57.96M","-1.32%"
"03/27/2025","1,534.30","1,542.48","1,542.48","1,520.19","62.38M","-0.54%"
"03/26/2025","1,542.58","1,536.47","1,543.72","1,533.19","57.90M","0.51%"
"03/25/2025","1,534.72","1,530.81","1,544.48","1,530.81","49.57M","0.26%"
"03/24/2025","1,530.81","1,534.72","1,541.97","1,526.71","43.00M","-0.23%"
"03/21/2025","1,534.35","1,540.94","1,543.47","1,528.67","132.74M","-0.33%"
"03/20/2025","1,539.50","1,544.31","1,551.24","1,528.29","63.17M","-0.29%"
"03/19/2025","1,544.01","1,532.84","1,544.68","1,530.59","56.51M","0.73%"
"03/18/2025","1,532.87","1,523.91","1,539.35","1,523.91","65.47M","0.59%"
"03/17/2025","1,523.81","1,504.66","1,523.81","1,504.66","60.77M","1.28%"
"03/14/2025","1,504.51","1,493.49","1,505.12","1,491.16","66.20M","0.75%"
"03/13/2025","1,493.27","1,471.30","1,493.91","1,471.01","87.22M","1.50%"
"03/12/2025","1,471.21","1,475.69","1,483.47","1,471.12","93.64M","-0.30%"
"03/11/2025","1,475.69","1,485.89","1,490.79","1,471.36","62.45M","-0.71%"
"03/10/2025","1,486.21","1,490.92","1,494.09","1,481.28","61.58M","-0.32%"
"03/07/2025","1,490.91","1,476.45","1,490.96","1,471.93","67.22M","1.00%"
"03/06/2025","1,476.13","1,473.13","1,486.36","1,468.35","93.11M","0.23%"
