"Date","Price","Open","High","Low","Vol.","Change %"
"03/23/2025","4,393.15","4,411.59","4,415.54","4,390.36","","-0.40%"
"03/20/2025","4,410.73","4,385.96","4,412.88","4,380.96","","0.35%"
"03/06/2025","4,395.51","4,410.83","4,414.33","4,390.31","","-0.35%"
"03/05/2025","4,410.83","4,411.42","4,417.36","4,404.54","","-0.01%"
"03/04/2025","4,411.42","4,421.63","4,426.70","4,405.02","","-0.31%"
"03/03/2025","4,425.02","4,437.69","4,442.26","4,422.71","","-0.36%"
"03/02/2025","4,441.00","4,435.86","4,450.36","4,435.10","","0.12%"
"02/27/2025","4,435.86","4,421.08","4,446.72","4,420.71","","0.46%"
"02/26/2025","4,415.73","4,413.71","4,429.06","4,412.21","","0.12%"
"02/25/2025","4,410.40","4,433.51","4,443.44","4,410.40","","-0.40%"
"02/24/2025","4,428.17","4,454.81","4,466.39","4,428.17","","-0.60%"
"02/23/2025","4,454.81","4,443.87","4,454.81","4,430.38","","0.25%"
"02/20/2025","4,443.87","4,455.00","4,465.25","4,439.04","","-0.20%"
"02/19/2025","4,452.67","4,468.58","4,469.08","4,450.09","","-0.36%"
"02/18/2025","4,468.58","4,465.49","4,468.80","4,456.25","","0.07%"
"02/17/2025","4,465.49","4,479.03","4,485.68","4,460.00","","-0.30%"
"02/16/2025","4,479.03","4,476.11","4,496.81","4,471.63","","0.02%"
"02/13/2025","4,478.28","4,486.35","4,488.46","4,464.02","","-0.18%"
"02/12/2025","4,486.35","4,519.10","4,519.10","4,475.21","","-0.80%"
"02/11/2025","4,522.49","4,533.08","4,533.08","4,512.39","","-0.23%"
"02/10/2025","4,533.08","4,550.64","4,550.64","4,531.79","","-0.39%"
"02/09/2025","4,550.64","4,564.30","4,568.38","4,549.97","","-0.30%"
"02/06/2025","4,564.30","4,573.33","4,576.11","4,552.38","","-0.20%"
"02/05/2025","4,573.33","4,586.91","4,589.27","4,572.90","","-0.30%"
"02/04/2025","4,586.91","4,553.39","4,601.73","4,553.09","","0.74%"
"02/03/2025","4,553.39","4,555.87","4,561.21","4,535.88","","-0.05%"
"02/02/2025","4,555.87","4,543.44","4,557.27","4,538.56","","0.28%"
"01/29/2025","4,543.21","4,565.88","4,568.83","4,542.06","","-0.50%"
"01/28/2025","4,565.88","4,561.06","4,568.36","4,540.07","","0.11%"
"01/27/2025","4,561.06","4,553.31","4,566.11","4,552.08","","0.17%"
"01/26/2025","4,553.31","4,603.61","4,603.61","4,553.31","","-1.10%"
"01/23/2025","4,603.84","4,618.72","4,623.20","4,583.24","","-0.32%"
"01/22/2025","4,618.72","4,612.04","4,619.63","4,609.08","","0.13%"
"01/21/2025","4,612.71","4,616.88","4,617.33","4,604.22","","-0.09%"
"01/20/2025","4,616.88","4,615.32","4,626.29","4,615.32","","0.03%"
"01/19/2025","4,615.37","4,621.70","4,624.88","4,615.37","","-0.14%"
"01/16/2025","4,621.70","4,602.55","4,621.70","4,602.17","","0.36%"
"01/15/2025","4,604.92","4,611.09","4,622.95","4,597.30","","-0.13%"
"01/14/2025","4,611.09","4,597.45","4,628.19","4,597.45","","0.30%"
"01/13/2025","4,597.45","4,596.98","4,600.01","4,585.52","","-0.01%"
"01/09/2025","4,597.89","4,597.02","4,604.64","4,588.89","","0.02%"
"01/08/2025","4,597.02","4,600.52","4,606.19","4,594.03","","-0.08%"
"01/07/2025","4,600.52","4,576.68","4,601.06","4,571.18","","0.45%"
"01/06/2025","4,580.00","4,569.70","4,592.53","4,566.31","","0.23%"
