Date,Price,Open,High,Low,Vol.,Change %
2025-12-26,562.56,,,,,-0.0
2025-12-26,562.56,,,,,-0.0
2025-12-24,562.57,,,,,0.0
2025-12-24,562.57,,,,,0.0
2025-12-23,562.57,,,,,0.32
2025-12-22,560.8,,,,,0.18
2025-12-19,559.79,,,,,-0.17
2025-12-18,560.77,,,,,0.0
2025-12-17,560.77,,,,,-0.0
2025-12-16,560.78,,,,,1.36
2025-12-15,553.26,,,,,-1.35
2025-12-12,560.84,,,,,0.31
2025-12-11,559.13,,,,,1.41
2025-12-10,551.36,,,,,-1.2
2025-12-09,558.07,,,,,-0.23
2025-12-05,559.38,,,,,0.0
2025-12-04,559.36,,,,,-0.02
2025-12-03,559.48,,,,,1.37
2025-12-02,551.94,,,,,0.06
2025-12-01,551.59,,,,,0.0
2025-11-27,551.59,,,,,-3.22
2025-11-27,551.59,,,,,-3.22
2025-11-26,569.93,,,,,-0.63
2025-11-26,569.93,,,,,-0.63
2025-11-25,573.55,,,,,3.12
2025-11-25,573.55,,,,,3.12
2025-11-24,556.19,,,,,0.17
2025-11-21,555.23,,,,,0.0
2025-11-20,555.23,,,,,0.0
2025-11-19,555.23,,,,,0.0
2025-11-18,555.22,,,,,1.29
2025-11-17,548.15,,,,,0.3
2025-11-14,546.5,,,,,0.71
2025-11-13,542.64,,,,,0.08
2025-11-12,542.19,,,,,0.0
2025-11-11,542.19,,,,,0.0
2025-11-07,542.19,,,,,-0.44
2025-11-06,544.61,,,,,0.0
2025-10-31,544.61,,,,,0.17
2025-10-31,544.61,,,,,0.17
2025-10-30,543.69,,,,,-0.17
2025-10-30,543.69,,,,,-0.17
2025-10-29,544.61,,,,,0.17
2025-10-29,544.61,,,,,0.17
2025-10-28,543.69,,,,,-0.26
2025-10-28,543.69,,,,,-0.26
2025-10-27,545.11,,,,,0.26
2025-10-27,545.11,,,,,0.26
2025-10-24,543.69,,,,,0.01
2025-10-24,543.69,,,,,0.01
2025-10-23,543.65,,,,,1.61
2025-10-22,535.03,,,,,-1.59
2025-10-21,543.69,,,,,0.0
2025-10-20,543.69,,,,,1.62
2025-10-17,535.03,,,,,-0.09
2025-10-16,535.51,,,,,0.0
2025-10-15,535.51,,,,,0.51
2025-10-14,532.79,,,,,-0.04
2025-10-13,533.0,,,,,0.09
2025-10-10,532.54,,,,,-0.23
2025-10-09,533.78,,,,,1.16
2025-10-08,527.67,,,,,-0.87
2025-10-07,532.32,,,,,0.19
2025-10-06,531.3,,,,,-0.19
2025-10-03,532.32,,,,,0.09
2025-10-02,531.85,,,,,-0.28
2025-10-01,533.33,,,,,0.27
2025-09-30,531.89,,,,,-0.02
2025-09-29,531.97,,,,,-0.03
2025-09-26,532.11,,,,,0.0
2025-09-25,532.11,,,,,0.0
2025-09-24,532.11,,,,,-1.87
2025-09-23,542.26,,,,,1.94
2025-09-22,531.96,,,,,0.19
2025-09-19,530.93,,,,,0.18
2025-09-18,529.96,,,,,0.38
2025-09-17,527.98,,,,,0.12
2025-09-16,527.35,,,,,-0.58
2025-09-15,530.4,,,,,0.0
2025-09-12,530.4,,,,,-0.0
2025-09-11,530.41,,,,,1.41
2025-09-10,523.02,,,,,0.19
2025-09-09,522.02,,,,,0.0
2025-09-08,522.0,,,,,0.08
2025-09-05,521.59,,,,,0.31
2025-09-04,519.96,,,,,0.0
2025-09-03,519.96,,,,,0.03
2025-09-02,519.81,,,,,1.48
2025-09-01,512.25,,,,,-0.3
2025-08-29,513.81,,,,,0.23
2025-08-28,512.64,,,,,-0.16
2025-08-27,513.48,,,,,-0.09
2025-08-26,513.92,,,,,0.11
2025-08-25,513.38,,,,,0.09
2025-08-22,512.94,,,,,-0.0
2025-08-21,512.95,,,,,0.17
2025-08-20,512.08,,,,,0.08
2025-08-19,511.66,,,,,1.24
2025-08-18,505.39,,,,,-0.15
2025-08-15,506.13,,,,,0.11
2025-08-14,505.59,,,,,0.82
2025-08-13,501.5,,,,,0.0
2025-08-12,501.5,,,,,0.0
2025-08-11,501.5,,,,,0.0
2025-08-08,501.5,,,,,0.96
2025-08-07,496.72,,,,,0.08
2025-08-06,496.31,,,,,0.0
2025-08-05,496.3,,,,,0.24
2025-08-04,495.09,,,,,0.0
2025-08-01,495.09,,,,,-0.08
2025-07-31,495.5,,,,,-0.0
2025-07-30,495.51,,,,,0.37
2025-07-29,493.69,,,,,0.57
2025-07-28,490.87,,,,,-0.19
2025-07-25,491.78,,,,,0.0
2025-07-24,491.78,,,,,0.0
2025-07-23,491.78,,,,,0.0
2025-07-22,491.78,,,,,-0.92
2025-07-21,496.37,,,,,0.93
2025-07-18,491.78,,,,,0.33
2025-07-17,490.15,,,,,0.0
2025-07-16,490.15,,,,,0.0
2025-07-15,490.13,,,,,0.05
2025-07-14,489.88,,,,,-0.33
2025-07-11,491.48,,,,,0.0
2025-07-10,491.48,,,,,0.0
2025-07-09,491.48,,,,,0.0
2025-07-08,491.48,,,,,0.18
2025-07-07,490.58,,,,,0.52
2025-07-04,488.03,,,,,0.0
2025-07-03,488.03,,,,,0.12
2025-07-02,487.46,,,,,-0.12
2025-07-01,488.03,,,,,0.01
2025-06-30,487.98,,,,,-0.76
2025-06-27,491.71,,,,,0.0
2025-06-26,491.71,,,,,0.01
2025-06-25,491.67,,,,,0.0
2025-06-24,491.67,,,,,-0.04
2025-06-23,491.86,,,,,0.0
2025-06-20,491.86,,,,,-0.0
2025-06-19,491.88,,,,,0.0
2025-06-18,491.88,,,,,-0.1
2025-06-17,492.36,,,,,1.1
2025-06-16,487.0,,,,,-0.93
2025-06-13,491.56,,,,,0.0
2025-06-12,491.56,,,,,0.0
2025-06-11,491.56,,,,,0.0
2025-06-10,491.54,,,,,0.46
