"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2025","34,836.62","34,590.98","34,845.37","34,407.68","","0.71%"
"08/27/2025","34,590.98","34,616.05","34,664.91","34,440.05","","-0.07%"
"08/26/2025","34,616.05","34,302.17","34,742.95","34,291.94","","0.92%"
"08/25/2025","34,301.68","34,289.49","34,533.06","34,209.10","","0.04%"
"08/22/2025","34,289.00","33,860.26","34,453.36","33,860.26","","0.83%"
"08/21/2025","34,006.85","33,564.79","34,201.71","33,564.79","","1.15%"
"08/20/2025","33,621.54","33,813.87","34,148.27","33,621.54","","-0.57%"
"08/19/2025","33,813.87","34,319.95","34,358.95","33,803.21","","-1.85%"
"08/18/2025","34,450.25","34,425.22","34,452.84","34,284.73","","0.05%"
"08/15/2025","34,433.93","34,330.71","34,592.67","34,330.71","","0.29%"
"08/14/2025","34,335.04","34,344.37","34,420.16","34,312.40","","-0.04%"
"08/13/2025","34,348.25","34,171.06","34,622.56","34,171.06","","0.40%"
"08/12/2025","34,209.84","34,021.27","34,209.85","33,965.20","","0.43%"
"08/11/2025","34,064.65","34,011.53","34,065.96","33,935.33","","0.16%"
"08/08/2025","34,011.53","34,009.29","34,132.29","33,927.49","","0.03%"
"08/07/2025","34,001.60","33,624.56","34,028.21","33,624.56","","1.09%"
"08/05/2025","33,635.91","33,579.14","33,699.32","33,553.91","","0.22%"
"08/04/2025","33,560.78","33,204.72","33,585.85","33,134.96","","1.11%"
"08/01/2025","33,192.68","33,446.81","33,502.67","33,192.68","","-0.74%"
"07/31/2025","33,440.29","33,021.90","33,448.08","33,021.90","","1.27%"
"07/30/2025","33,022.36","33,469.79","33,585.64","32,954.70","","-1.09%"
"07/25/2025","33,387.36","33,527.31","33,575.80","33,227.89","","-0.38%"
"07/24/2025","33,514.53","33,362.35","33,648.29","33,350.19","","0.31%"
"07/22/2025","33,411.22","33,264.07","33,488.29","33,264.07","","0.42%"
"07/21/2025","33,270.61","32,984.29","33,313.53","32,983.44","","0.88%"
"07/18/2025","32,981.52","32,813.28","32,983.15","32,810.45","","0.42%"
"07/17/2025","32,843.27","32,469.67","32,857.69","32,419.04","","1.20%"
"07/16/2025","32,455.04","32,527.28","32,530.42","32,302.58","","-0.25%"
"07/15/2025","32,537.33","32,789.90","32,794.98","32,497.60","","-0.77%"
"07/14/2025","32,788.52","32,868.96","33,086.73","32,788.52","","-0.24%"
"07/11/2025","32,868.04","32,766.95","33,013.46","32,764.22","","0.29%"
"07/10/2025","32,772.49","32,690.87","32,827.12","32,661.26","","0.08%"
"07/09/2025","32,746.22","32,919.44","32,919.44","32,724.89","","-0.40%"
"07/08/2025","32,877.25","33,130.95","33,258.28","32,850.70","","-0.72%"
"07/07/2025","33,117.01","33,042.52","33,140.98","32,963.32","","0.23%"
"07/04/2025","33,042.52","32,999.71","33,092.64","32,981.40","","0.13%"
"07/03/2025","32,999.71","32,996.58","33,101.22","32,871.12","","0.32%"
"07/02/2025","32,894.66","32,683.11","32,951.51","32,628.65","","0.64%"
"07/01/2025","32,686.32","32,725.65","32,874.88","32,592.70","","-0.12%"
"06/30/2025","32,725.65","32,658.06","32,779.77","32,592.68","","0.21%"
"06/27/2025","32,658.06","32,744.10","32,744.10","32,490.47","","-0.26%"
"06/26/2025","32,744.10","32,084.40","32,836.73","32,082.16","","2.08%"
"06/25/2025","32,077.22","32,116.97","32,218.45","32,046.25","","-0.13%"
"06/24/2025","32,119.67","32,092.07","32,180.92","31,885.06","","0.09%"
"06/23/2025","32,092.07","32,380.29","32,384.78","32,021.47","","-0.93%"
"06/20/2025","32,394.68","32,403.24","32,481.51","32,242.55","","-0.03%"
"06/19/2025","32,403.24","32,531.92","32,584.89","32,386.78","","-0.40%"
"06/18/2025","32,531.92","32,613.60","32,713.23","32,471.66","","-0.25%"
"06/17/2025","32,613.60","32,439.09","32,637.69","32,433.37","","0.49%"
"06/16/2025","32,453.50","32,589.42","32,604.47","32,354.60","","-0.40%"
"06/13/2025","32,584.47","32,634.48","32,760.32","32,512.73","","-0.15%"
"06/12/2025","32,634.48","32,644.19","32,742.04","32,577.68","","0.23%"
"06/11/2025","32,558.84","32,483.77","32,684.38","32,450.88","","0.27%"
"06/10/2025","32,469.92","32,484.07","32,558.01","32,252.01","","-0.09%"
"06/09/2025","32,498.38","32,648.20","32,753.16","32,489.08","","-0.47%"
"06/06/2025","32,650.88","32,290.27","32,656.42","32,290.27","","1.10%"
"06/05/2025","32,295.61","31,825.50","32,434.21","31,825.50","","1.41%"
"06/04/2025","31,846.63","31,934.95","32,108.33","31,846.63","","-0.28%"
"06/03/2025","31,934.95","31,849.55","32,000.09","31,635.59","","0.24%"
"06/02/2025","31,858.34","31,315.95","31,904.48","31,303.29","","1.73%"
"05/30/2025","31,315.52","31,304.48","31,366.92","31,201.73","","0.04%"
"05/29/2025","31,304.05","31,369.91","31,392.52","31,259.69","","-0.22%"
"05/28/2025","31,374.22","31,336.97","31,434.10","31,334.62","","0.11%"
"05/27/2025","31,341.28","31,348.27","31,383.34","31,223.49","","0.02%"
"05/26/2025","31,334.55","31,342.56","31,352.55","31,308.22","","0.02%"
"05/23/2025","31,329.71","31,081.45","31,399.04","31,016.67","","0.78%"
"05/22/2025","31,087.40","31,239.92","31,239.92","31,043.64","","-0.45%"
"05/21/2025","31,228.03","31,152.95","31,365.75","31,152.82","","0.24%"
"05/20/2025","31,152.53","30,939.55","31,152.53","30,931.74","","0.67%"
"05/19/2025","30,944.58","30,980.58","31,431.43","30,882.49","","-0.15%"
"05/16/2025","30,991.93","31,084.10","31,134.61","30,952.36","","-0.24%"
"05/15/2025","31,065.55","30,800.25","31,075.25","30,800.25","","0.86%"
"05/14/2025","30,800.25","30,783.76","30,903.77","30,657.86","","0.13%"
"05/13/2025","30,759.40","30,437.56","30,761.18","30,387.11","","0.97%"
"05/12/2025","30,462.54","30,612.68","30,683.77","30,316.04","","-0.53%"
"05/09/2025","30,626.09","30,302.31","30,638.25","30,302.31","","0.99%"
"05/08/2025","30,324.83","30,344.88","30,481.08","30,298.19","","-0.07%"
"05/07/2025","30,344.88","30,590.84","30,590.84","30,312.60","","-0.59%"
"05/06/2025","30,524.02","30,476.35","30,661.57","30,407.48","","0.07%"
"05/05/2025","30,503.82","30,223.05","30,580.55","30,223.05","","0.93%"
"05/02/2025","30,223.05","30,120.29","30,254.61","30,010.99","","0.38%"
"04/30/2025","30,107.15","30,328.85","30,331.12","29,974.89","","-0.76%"
"04/29/2025","30,336.30","30,275.30","30,389.67","30,209.36","","0.13%"
"04/28/2025","30,295.95","30,180.39","30,381.00","30,145.94","","0.55%"
"04/25/2025","30,130.30","30,340.43","30,360.15","30,097.59","","-0.68%"
"04/24/2025","30,337.13","29,956.50","30,337.13","29,956.50","","1.23%"
"04/23/2025","29,969.49","29,824.97","30,125.30","29,772.19","","0.85%"
"04/22/2025","29,718.11","29,432.45","29,768.95","29,432.45","","0.95%"
"04/21/2025","29,437.61","29,604.17","29,634.55","29,380.28","","-0.67%"
"04/16/2025","29,635.17","29,725.68","29,971.63","29,618.31","","-0.30%"
"04/15/2025","29,725.68","29,450.70","29,828.94","29,446.71","","0.91%"
"04/14/2025","29,458.58","29,014.29","29,495.22","29,014.29","","1.53%"
"04/11/2025","29,013.90","28,485.83","29,137.22","28,485.83","","1.84%"
"04/10/2025","28,489.65","28,684.31","28,765.84","28,258.39","","-0.68%"
"04/09/2025","28,684.31","27,972.13","28,812.86","27,972.13","","2.54%"
"04/08/2025","27,974.37","27,841.22","28,378.02","27,841.22","","0.48%"
"04/07/2025","27,840.85","28,158.26","28,214.46","26,745.57","","-1.13%"
"04/04/2025","28,157.88","29,560.23","29,561.52","28,157.88","","-4.76%"
"04/03/2025","29,564.26","30,216.47","30,216.47","29,556.68","","-2.15%"
"04/02/2025","30,214.83","30,311.50","30,484.22","30,152.16","","-0.36%"
"04/01/2025","30,324.70","30,103.64","30,423.90","30,078.34","","0.78%"
"03/31/2025","30,089.72","30,118.07","30,205.49","29,787.72","","-0.12%"
"03/28/2025","30,127.13","30,222.49","30,422.43","30,018.92","","-0.41%"
"03/27/2025","30,249.91","30,269.34","30,457.98","30,174.22","","-0.03%"
"03/26/2025","30,257.70","30,692.54","30,693.16","30,170.05","","-1.42%"
"03/25/2025","30,692.54","30,370.10","30,713.32","30,370.10","","1.03%"
"03/24/2025","30,379.26","30,353.13","30,558.20","30,352.23","","0.05%"
"03/21/2025","30,363.15","30,355.11","30,393.00","30,161.97","","0.00%"
"03/20/2025","30,363.49","30,017.84","30,363.49","29,998.61","","1.10%"
"03/19/2025","30,032.77","29,927.79","30,127.01","29,687.52","","0.35%"
"03/18/2025","29,928.61","29,882.15","30,048.62","29,794.97","","0.16%"
"03/17/2025","29,882.15","29,511.75","29,949.89","29,511.75","","1.26%"
"03/14/2025","29,511.75","29,105.56","29,558.15","29,105.56","","1.39%"
"03/13/2025","29,106.35","28,821.74","29,194.14","28,821.74","","0.94%"
