"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","10,762.51","10,793.58","10,793.58","10,732.86","73.18M","-0.29%"
"12/30/2025","10,793.58","10,798.14","10,798.67","10,750.32","83.63M","-0.04%"
"12/29/2025","10,798.14","10,763.27","10,798.14","10,718.40","66.65M","0.32%"
"12/28/2025","10,763.27","10,801.22","10,808.59","10,763.11","46.15M","-0.35%"
"12/25/2025","10,801.22","10,837.61","10,837.61","10,798.01","36.11M","-0.34%"
"12/24/2025","10,837.61","10,823.86","10,852.61","10,809.11","46.54M","0.13%"
"12/23/2025","10,823.86","10,801.39","10,823.86","10,757.55","63.96M","0.21%"
"12/22/2025","10,801.39","10,716.39","10,801.53","10,689.95","71.23M","0.79%"
"12/21/2025","10,716.39","10,654.65","10,731.40","10,654.65","60.58M","0.58%"
"12/17/2025","10,654.65","10,726.68","10,747.20","10,654.65","124.38M","-0.67%"
"12/16/2025","10,726.68","10,757.96","10,757.96","10,684.92","55.24M","-0.29%"
"12/15/2025","10,757.96","10,854.95","10,870.01","10,756.89","84.28M","-0.89%"
"12/14/2025","10,854.95","10,903.17","10,903.79","10,843.86","50.41M","-0.44%"
"12/11/2025","10,903.17","10,807.47","10,909.80","10,793.80","57.47M","0.89%"
"12/10/2025","10,807.47","10,777.39","10,807.47","10,758.70","56.88M","0.28%"
"12/09/2025","10,777.39","10,736.47","10,777.39","10,688.67","67.92M","0.38%"
"12/08/2025","10,736.47","10,704.40","10,736.47","10,666.19","61.33M","0.30%"
"12/07/2025","10,704.40","10,712.82","10,737.67","10,691.64","53.11M","-0.08%"
"12/04/2025","10,712.82","10,723.46","10,792.25","10,697.37","79.97M","-0.10%"
"12/03/2025","10,723.46","10,674.06","10,723.46","10,653.68","66.92M","0.46%"
"12/02/2025","10,674.06","10,621.19","10,677.77","10,570.19","103.67M","0.50%"
"12/01/2025","10,621.19","10,615.07","10,642.70","10,572.65","65.04M","0.06%"
"11/30/2025","10,615.07","10,644.73","10,668.10","10,615.07","37.89M","-0.28%"
"11/27/2025","10,644.73","10,689.40","10,724.40","10,642.71","70.18M","-0.42%"
"11/26/2025","10,689.40","10,607.42","10,693.05","10,574.33","84.59M","0.77%"
"11/25/2025","10,607.42","10,699.94","10,704.17","10,600.49","67.35M","-0.86%"
"11/24/2025","10,699.94","10,653.13","10,699.94","10,561.20","155.32M","0.44%"
"11/23/2025","10,653.13","10,607.96","10,671.61","10,607.96","43.79M","0.43%"
"11/20/2025","10,607.96","10,751.11","10,751.11","10,592.56","79.77M","-1.33%"
"11/19/2025","10,751.11","10,682.52","10,794.14","10,682.52","71.06M","0.64%"
"11/18/2025","10,682.52","10,800.54","10,807.47","10,626.66","69.85M","-1.09%"
"11/17/2025","10,800.54","10,846.84","10,872.02","10,757.59","70.02M","-0.43%"
"11/16/2025","10,846.84","10,957.95","10,959.92","10,840.13","37.04M","-1.01%"
"11/13/2025","10,957.95","11,082.40","11,113.23","10,957.95","72.99M","-1.12%"
"11/12/2025","11,082.40","11,140.77","11,144.86","11,082.40","62.29M","-0.52%"
"11/11/2025","11,140.77","11,089.98","11,147.82","11,081.09","68.65M","0.46%"
"11/10/2025","11,089.98","11,047.84","11,114.52","11,023.35","58.68M","0.38%"
"11/09/2025","11,047.84","11,058.92","11,105.42","11,032.09","34.65M","-0.10%"
"11/06/2025","11,058.92","11,006.60","11,083.41","11,000.48","67.54M","0.48%"
"11/05/2025","11,006.60","11,027.54","11,027.54","10,958.84","58.01M","-0.19%"
"11/04/2025","11,027.54","11,027.56","11,036.73","10,995.04","63.10M","0.00%"
"11/03/2025","11,027.56","10,930.30","11,027.56","10,880.37","","0.89%"
"11/02/2025","10,930.30","10,956.78","10,956.78","10,893.82","57.91M","-0.24%"
"10/30/2025","10,956.78","10,928.23","10,958.50","10,924.93","56.72M","0.26%"
"10/29/2025","10,928.23","10,924.78","10,929.07","10,876.82","50.94M","0.03%"
"10/28/2025","10,924.78","10,896.08","10,948.02","10,884.11","85.59M","0.26%"
"10/27/2025","10,896.08","10,912.14","10,915.76","10,849.77","54.43M","-0.15%"
"10/26/2025","10,912.14","10,877.05","10,912.14","10,869.92","55.28M","0.32%"
"10/23/2025","10,877.05","10,850.33","10,895.30","10,826.51","55.36M","0.25%"
"10/22/2025","10,850.33","10,821.85","10,850.70","10,783.44","58.41M","0.26%"
"10/21/2025","10,821.85","10,808.50","10,846.29","10,783.80","59.71M","0.12%"
"10/20/2025","10,808.50","10,837.18","10,858.72","10,789.16","68.55M","-0.26%"
"10/19/2025","10,837.18","10,850.91","10,898.98","10,829.06","61.24M","-0.13%"
"10/16/2025","10,850.91","10,693.47","10,852.06","10,693.47","77.64M","1.47%"
"10/15/2025","10,693.47","10,745.92","10,808.64","10,693.47","89.16M","-0.49%"
"10/14/2025","10,745.92","10,835.95","10,860.65","10,745.92","83.27M","-0.83%"
"10/13/2025","10,835.95","10,839.72","10,883.60","10,835.95","72.98M","-0.03%"
"10/12/2025","10,839.72","10,933.22","10,933.22","10,808.68","62.43M","-0.86%"
"10/09/2025","10,933.22","10,897.38","10,934.54","10,884.83","66.46M","0.33%"
"10/08/2025","10,897.38","10,911.53","10,919.36","10,880.65","61.68M","-0.13%"
"10/07/2025","10,911.53","10,888.55","10,911.67","10,850.78","54.77M","0.21%"
"10/06/2025","10,888.55","10,915.73","10,921.97","10,862.75","61.36M","-0.25%"
"10/05/2025","10,915.73","10,863.09","10,925.80","10,863.09","46.37M","0.48%"
"10/02/2025","10,863.09","10,955.26","10,972.25","10,861.66","77.00M","-0.84%"
"10/01/2025","10,955.26","11,052.82","11,069.23","10,929.02","65.11M","-0.88%"
"09/30/2025","11,052.82","11,001.88","11,078.21","11,001.88","72.38M","0.46%"
"09/29/2025","11,001.88","10,977.66","11,011.94","10,949.16","67.45M","0.22%"
"09/28/2025","10,977.66","10,958.55","10,994.12","10,932.32","50.87M","0.17%"
"09/25/2025","10,958.55","11,078.50","11,124.58","10,958.55","74.80M","-1.08%"
"09/24/2025","11,078.50","11,174.88","11,203.97","11,058.88","109.26M","-0.86%"
"09/23/2025","11,174.88","11,222.06","11,234.62","11,174.88","69.64M","-0.42%"
"09/22/2025","11,222.06","11,266.82","11,285.16","11,199.82","63.40M","-0.40%"
"09/21/2025","11,266.82","11,307.85","11,313.56","11,189.14","51.34M","-0.36%"
"09/18/2025","11,307.85","11,226.03","11,307.85","11,201.43","169.82M","0.73%"
"09/17/2025","11,226.03","11,121.58","11,228.19","11,121.58","117.92M","0.94%"
"09/16/2025","11,121.58","11,099.97","11,150.48","11,092.26","111.19M","0.19%"
"09/15/2025","11,099.97","11,131.75","11,142.40","11,090.30","76.89M","-0.29%"
"09/14/2025","11,131.75","11,093.12","11,145.09","11,088.48","60.70M","0.35%"
"09/11/2025","11,093.12","11,077.07","11,120.97","11,018.40","51.98M","0.14%"
"09/10/2025","11,077.07","11,107.45","11,120.20","11,052.28","54.38M","-0.27%"
"09/09/2025","11,107.45","11,124.83","11,137.47","11,069.94","70.71M","-0.16%"
"09/08/2025","11,124.83","11,131.43","11,175.39","11,117.21","50.05M","-0.06%"
"09/07/2025","11,131.43","11,099.21","11,153.84","11,099.21","51.37M","0.29%"
"09/04/2025","11,099.21","11,142.37","11,184.26","11,096.96","65.19M","-0.39%"
"09/03/2025","11,142.37","11,183.57","11,212.06","11,141.07","61.54M","-0.37%"
"09/02/2025","11,183.57","11,175.48","11,203.59","11,129.69","49.78M","0.07%"
"09/01/2025","11,175.48","11,222.38","11,239.64","11,148.17","54.00M","-0.42%"
"08/31/2025","11,222.38","11,226.84","11,261.51","11,149.67","65.10M","-0.04%"
"08/28/2025","11,226.84","11,338.81","11,370.34","11,226.84","80.02M","-0.99%"
"08/27/2025","11,338.81","11,405.50","11,426.88","11,338.81","77.03M","-0.58%"
"08/26/2025","11,405.50","11,293.42","11,406.20","11,264.68","128.46M","0.99%"
"08/25/2025","11,293.42","11,322.64","11,351.24","11,273.90","61.83M","-0.26%"
"08/24/2025","11,322.64","11,342.57","11,393.72","11,321.05","59.40M","-0.18%"
"08/21/2025","11,342.57","11,306.78","11,348.91","11,262.53","75.57M","0.32%"
"08/20/2025","11,306.78","11,491.59","11,496.26","11,306.07","63.19M","-1.61%"
"08/19/2025","11,491.59","11,515.66","11,534.94","11,436.57","73.27M","-0.21%"
"08/18/2025","11,515.66","11,588.02","11,602.26","11,506.97","72.15M","-0.62%"
"08/17/2025","11,588.02","11,648.81","11,665.54","11,585.45","78.54M","-0.52%"
"08/14/2025","11,648.81","11,634.75","11,743.00","11,623.31","105.18M","0.12%"
"08/13/2025","11,634.75","11,421.38","11,634.86","11,421.38","100.79M","1.87%"
"08/12/2025","11,421.38","11,371.49","11,421.38","11,349.14","134.19M","0.44%"
"08/11/2025","11,371.49","11,362.43","11,371.49","11,317.21","132.15M","0.08%"
"08/10/2025","11,362.43","11,363.71","11,373.97","11,332.49","75.55M","-0.01%"
"08/07/2025","11,363.71","11,325.92","11,384.36","11,306.87","102.58M","0.33%"
"08/06/2025","11,325.92","11,284.11","11,333.08","11,250.72","119.33M","0.37%"
"08/05/2025","11,284.11","11,179.72","11,284.11","11,179.35","95.03M","0.93%"
"08/04/2025","11,179.72","11,167.75","11,190.37","11,143.23","91.92M","0.11%"
"08/03/2025","11,167.75","11,261.62","11,261.62","11,144.95","50.35M","-0.83%"
"07/31/2025","11,261.62","11,149.46","11,265.60","11,131.26","115.02M","1.01%"
"07/30/2025","11,149.46","11,141.75","11,170.49","11,112.38","59.35M","0.07%"
"07/29/2025","11,141.75","11,205.47","11,205.47","11,136.03","50.37M","-0.57%"
"07/28/2025","11,205.47","11,249.23","11,268.95","11,175.73","60.91M","-0.39%"
"07/27/2025","11,249.23","11,220.76","11,278.64","11,183.42","47.46M","0.25%"
"07/24/2025","11,220.76","11,187.50","11,246.97","11,141.35","107.13M","0.30%"
"07/23/2025","11,187.50","11,141.04","11,187.50","11,081.56","107.76M","0.42%"
"07/22/2025","11,141.04","11,022.14","11,142.03","10,992.22","62.80M","1.08%"
"07/21/2025","11,022.14","10,941.71","11,022.14","10,936.47","95.68M","0.74%"
"07/20/2025","10,941.71","10,915.20","10,948.54","10,876.68","63.14M","0.24%"
"07/17/2025","10,915.20","10,811.41","10,936.61","10,807.16","119.71M","0.96%"
"07/16/2025","10,811.41","10,817.85","10,834.26","10,790.73","129.47M","-0.06%"
"07/15/2025","10,817.85","10,769.65","10,818.14","10,762.06","70.62M","0.45%"
"07/14/2025","10,769.65","10,830.72","10,830.72","10,760.63","61.44M","-0.56%"
"07/13/2025","10,830.72","10,827.19","10,830.72","10,793.88","45.87M","0.03%"
"07/10/2025","10,827.19","10,829.86","10,849.01","10,774.40","92.51M","-0.02%"
"07/09/2025","10,829.86","10,833.87","10,870.40","10,800.31","61.09M","-0.04%"
"07/08/2025","10,833.87","10,801.07","10,851.17","10,794.70","81.55M","0.30%"
"07/07/2025","10,801.07","10,751.96","10,801.07","10,750.76","63.26M","0.46%"
"07/06/2025","10,751.96","10,759.49","10,775.62","10,744.10","32.35M","-0.07%"
"07/03/2025","10,759.49","10,699.24","10,759.65","10,679.97","63.26M","0.56%"
"07/02/2025","10,699.24","10,698.39","10,701.79","10,661.78","56.38M","0.01%"
"07/01/2025","10,698.39","10,749.48","10,772.21","10,697.69","51.45M","-0.48%"
"06/30/2025","10,749.48","10,768.19","10,798.79","10,735.14","84.77M","-0.17%"
"06/29/2025","10,768.19","10,684.66","10,768.19","10,680.20","66.14M","0.78%"
"06/26/2025","10,684.66","10,643.52","10,685.61","10,608.77","96.06M","0.39%"
"06/25/2025","10,643.52","10,531.87","10,643.52","10,531.87","103.60M","1.06%"
"06/24/2025","10,531.87","10,332.82","10,582.28","10,332.82","145.78M","1.93%"
"06/23/2025","10,332.82","10,280.20","10,434.69","10,277.42","103.02M","0.51%"
"06/22/2025","10,280.20","10,261.14","10,380.71","10,190.64","86.39M","0.19%"
"06/19/2025","10,261.14","10,347.91","10,348.45","10,198.64","180.51M","-0.84%"
"06/18/2025","10,347.91","10,411.41","10,421.99","10,317.98","119.60M","-0.61%"
"06/17/2025","10,411.41","10,464.80","10,520.22","10,409.29","136.79M","-0.51%"
"06/16/2025","10,464.80","10,286.92","10,507.15","10,286.77","127.00M","1.73%"
"06/15/2025","10,286.92","10,626.50","10,626.50","10,192.84","128.86M","-3.20%"
"06/12/2025","10,626.50","10,713.35","10,722.18","10,582.14","95.30M","-0.81%"
"06/11/2025","10,713.35","10,697.10","10,756.79","10,648.96","104.25M","0.15%"
"06/10/2025","10,697.10","10,558.34","10,697.10","10,544.74","116.74M","1.31%"
"06/04/2025","10,558.34","10,618.02","10,618.02","10,558.34","155.59M","-0.56%"
"06/03/2025","10,618.02","10,484.06","10,620.21","10,481.21","87.76M","1.28%"
"06/02/2025","10,484.06","10,501.25","10,513.43","10,439.42","67.34M","-0.16%"
"06/01/2025","10,501.25","10,463.04","10,536.67","10,463.04","60.50M","0.37%"
"05/29/2025","10,463.04","10,539.41","10,586.80","10,454.92","211.57M","-0.72%"
"05/28/2025","10,539.41","10,648.36","10,679.41","10,531.29","73.66M","-1.02%"
"05/27/2025","10,648.36","10,731.92","10,739.91","10,639.35","78.75M","-0.78%"
"05/26/2025","10,731.92","10,736.41","10,771.60","10,722.62","93.96M","-0.04%"
"05/25/2025","10,736.41","10,774.26","10,797.69","10,736.41","48.61M","-0.35%"
"05/22/2025","10,774.26","10,772.36","10,782.80","10,699.68","82.87M","0.02%"
"05/21/2025","10,772.36","10,763.33","10,818.96","10,763.33","126.52M","0.08%"
"05/20/2025","10,763.33","10,710.09","10,774.43","10,709.98","110.38M","0.50%"
"05/19/2025","10,710.09","10,640.71","10,738.84","10,631.66","94.29M","0.65%"
"05/18/2025","10,640.71","10,574.59","10,647.90","10,574.59","76.38M","0.63%"
"05/15/2025","10,574.59","10,593.53","10,608.02","10,564.96","79.23M","-0.18%"
"05/14/2025","10,593.53","10,585.58","10,630.52","10,573.87","94.55M","0.08%"
"05/13/2025","10,585.58","10,609.25","10,651.42","10,585.58","87.53M","-0.22%"
"05/12/2025","10,609.25","10,532.25","10,639.51","10,532.25","126.58M","0.73%"
"05/11/2025","10,532.25","10,520.04","10,592.56","10,520.04","76.24M","0.12%"
"05/08/2025","10,520.04","10,478.62","10,557.28","10,478.62","85.39M","0.40%"
"05/07/2025","10,478.62","10,484.46","10,530.38","10,464.95","69.97M","-0.06%"
"05/06/2025","10,484.46","10,455.70","10,503.06","10,451.67","110.17M","0.28%"
"05/05/2025","10,455.70","10,499.64","10,532.54","10,454.87","70.41M","-0.42%"
"05/04/2025","10,499.64","10,447.63","10,521.05","10,445.10","75.39M","0.50%"
"05/01/2025","10,447.63","10,459.88","10,459.88","10,393.35","81.33M","-0.12%"
"04/30/2025","10,459.88","10,325.29","10,459.88","10,323.63","111.20M","1.30%"
"04/29/2025","10,325.29","10,325.11","10,363.29","10,325.11","117.17M","0.21%"
"04/28/2025","10,304.15","10,269.49","10,306.83","10,260.43","76.61M","0.34%"
"04/27/2025","10,269.49","10,260.17","10,300.86","10,248.09","81.41M","0.09%"
"04/24/2025","10,260.17","10,237.11","10,311.70","10,225.19","118.56M","0.23%"
"04/23/2025","10,237.11","10,139.29","10,237.11","10,139.29","157.42M","0.96%"
"04/22/2025","10,139.29","10,106.72","10,150.48","10,097.87","112.69M","0.32%"
"04/21/2025","10,106.72","10,135.24","10,149.97","10,106.72","92.80M","-0.28%"
"04/20/2025","10,135.24","10,135.84","10,150.60","10,116.03","37.36M","-0.01%"
"04/17/2025","10,135.84","10,198.39","10,199.13","10,119.12","55.78M","-0.61%"
"04/16/2025","10,198.39","10,213.33","10,213.33","10,172.58","62.28M","-0.15%"
"04/15/2025","10,213.33","10,146.65","10,213.89","10,145.40","53.56M","0.66%"
"04/14/2025","10,146.65","10,118.11","10,189.24","10,118.11","89.24M","0.28%"
"04/13/2025","10,118.11","10,095.09","10,130.40","10,072.48","60.37M","0.23%"
"04/10/2025","10,095.09","9,904.25","10,175.61","9,904.25","170.78M","1.93%"
"04/09/2025","9,904.25","9,896.65","9,968.18","9,801.08","113.43M","0.08%"
"04/08/2025","9,896.65","9,766.05","9,977.17","9,765.70","130.72M","1.34%"
"04/07/2025","9,766.05","9,800.01","9,808.85","9,553.58","173.97M","-0.35%"
"04/06/2025","9,800.01","10,232.95","10,232.95","9,647.57","143.16M","-4.23%"
"03/27/2025","10,232.95","10,185.78","10,234.06","10,124.23","54.72M","0.46%"
"03/26/2025","10,185.78","10,157.56","10,216.19","10,125.18","77.03M","0.28%"
"03/25/2025","10,157.56","10,185.70","10,224.38","10,114.22","70.89M","-0.28%"
"03/24/2025","10,185.70","10,267.61","10,307.11","10,170.96","64.54M","-0.80%"
"03/23/2025","10,267.61","10,343.68","10,346.33","10,263.16","51.99M","-0.74%"
"03/20/2025","10,343.68","10,384.72","10,404.22","10,307.93","115.15M","-0.40%"
"03/19/2025","10,384.72","10,461.48","10,479.71","10,358.80","83.44M","-0.73%"
"03/18/2025","10,461.48","10,403.87","10,461.48","10,389.55","117.82M","0.55%"
"03/17/2025","10,403.87","10,421.80","10,440.56","10,387.02","85.90M","-0.17%"
"03/16/2025","10,421.80","10,423.18","10,423.46","10,385.89","47.97M","-0.01%"
"03/13/2025","10,423.18","10,437.96","10,437.96","10,377.01","68.42M","-0.14%"
"03/12/2025","10,437.96","10,484.47","10,485.21","10,401.86","82.37M","-0.44%"
"03/11/2025","10,484.47","10,531.81","10,531.81","10,455.65","95.96M","-0.45%"
"03/10/2025","10,531.81","10,525.62","10,534.47","10,472.11","73.89M","0.06%"
"03/09/2025","10,525.62","10,514.11","10,535.05","10,490.70","74.12M","0.11%"
"03/06/2025","10,514.11","10,492.39","10,514.11","10,446.71","80.60M","0.21%"
"03/05/2025","10,492.39","10,470.94","10,493.09","10,425.42","71.36M","0.20%"
"03/04/2025","10,470.94","10,464.09","10,472.76","10,399.74","78.60M","0.07%"
"03/03/2025","10,464.09","10,445.69","10,464.09","10,362.19","76.01M","0.18%"
"02/27/2025","10,445.69","10,497.73","10,497.73","10,353.62","160.97M","-0.50%"
"02/26/2025","10,497.73","10,591.05","10,591.05","10,491.45","75.20M","-0.88%"
"02/25/2025","10,591.05","10,665.97","10,665.97","10,537.05","83.92M","-0.70%"
"02/24/2025","10,665.97","10,641.09","10,666.04","10,547.25","96.84M","0.23%"
"02/23/2025","10,641.09","10,654.40","10,662.19","10,615.99","56.86M","-0.12%"
"02/20/2025","10,654.40","10,646.13","10,656.75","10,591.38","56.51M","0.08%"
"02/19/2025","10,646.13","10,638.10","10,648.51","10,617.44","72.56M","0.08%"
"02/18/2025","10,638.10","10,610.42","10,641.83","10,552.11","73.55M","0.26%"
"02/17/2025","10,610.42","10,604.89","10,616.58","10,576.80","64.10M","0.05%"
"02/16/2025","10,604.89","10,619.08","10,647.33","10,592.10","55.68M","-0.13%"
"02/13/2025","10,619.08","10,595.24","10,620.47","10,568.58","64.44M","0.23%"
"02/12/2025","10,595.24","10,629.20","10,629.20","10,580.95","81.26M","-0.32%"
"02/10/2025","10,629.20","10,583.73","10,629.20","10,572.08","67.50M","0.43%"
"02/09/2025","10,583.73","10,615.75","10,617.54","10,571.50","51.57M","-0.30%"
