Date,Price,Open,High,Low,Vol.,Change %
2025-12-30,2766.62,2758.42,2775.2,2749.53,,
2025-12-29,2742.03,2775.62,2819.33,2738.95,,
2025-12-26,2754.89,2737.19,2760.53,2735.31,,
2025-12-25,2714.12,2717.9,2722.91,2708.39,,
2025-12-24,2720.02,2723.31,2733.38,2709.96,,
2025-12-23,2725.38,2717.92,2733.17,2704.27,,
2025-12-22,2715.98,2741.24,2741.34,2712.64,,
2025-12-19,2743.09,2779.21,2791.25,2739.55,,
2025-12-18,2753.07,2764.09,2772.87,2752.06,,
2025-12-17,2759.73,2780.86,2781.97,2740.18,,
2025-12-16,2774.23,2749.87,2779.73,2746.77,,
2025-12-15,2748.93,2734.06,2751.7,2723.8,,
2025-12-12,2739.49,2761.36,2769.35,2731.98,,
2025-12-11,2748.93,2733.58,2761.94,2733.29,,
2025-12-10,2720.66,2720.42,2730.6,2713.19,,
2025-12-09,2702.72,2693.36,2721.82,2686.32,,
2025-12-08,2705.17,2727.14,2739.74,2699.79,,
2025-12-05,2711.3,2662.05,2718.32,2656.92,,
2025-12-04,2657.13,2661.39,2668.09,2653.99,,
2025-12-03,2651.71,2640.22,2651.71,2619.88,,
2025-12-02,2667.2,2683.76,2692.22,2657.52,,
2025-12-01,2686.93,2674.51,2698.41,2662.86,,
2025-11-28,2676.42,2627.9,2685.88,2623.38,,
2025-11-27,2621.37,2672.82,2674.23,2605.13,,
2025-11-26,2668.38,2676.81,2679.97,2660.88,,
2025-11-25,2685.95,2672.67,2695.04,2639.72,,
2025-11-24,2654.84,2703.18,2713.02,2645.91,,
2025-11-21,2685.03,2679.54,2695.26,2650.06,,
2025-11-20,2628.31,2635.22,2661.12,2617.57,,
2025-11-19,2646.02,2576.51,2669.85,2558.51,,
2025-11-18,2563.07,2506.61,2574.49,2492.2,,
2025-11-17,2510.64,2509.55,2521.49,2501.71,,
2025-11-14,2525.68,2548.74,2550.93,2514.92,,
2025-11-13,2543.36,2542.57,2550.96,2528.64,,
