Date,Price,Open,High,Low,Vol.,Change %
2025-12-30,294.0,,,,,
2025-12-29,294.0,,,,,
2025-12-23,294.0,,,,,
2025-12-22,291.66,,,,,
2025-12-19,295.38,,,,,
2025-12-18,295.38,,,,,
2025-12-17,295.38,,,,,
2025-12-16,290.37,,,,,
2025-12-15,290.88,,,,,
2025-12-12,277.69,,,,,
2025-12-11,279.3,,,,,
2025-12-10,277.02,,,,,
2025-12-09,276.87,,,,,
2025-12-08,276.58,,,,,
2025-12-05,276.58,,,,,
2025-12-04,271.95,,,,,
2025-12-03,271.92,,,,,
2025-12-02,271.92,,,,,
2025-12-01,276.4,,,,,
2025-11-28,275.96,,,,,
2025-11-27,275.08,,,,,
2025-11-26,275.08,,,,,
2025-11-25,275.66,,,,,
2025-11-24,272.99,,,,,
2025-11-21,272.85,,,,,
2025-11-20,272.76,,,,,
2025-11-19,275.36,,,,,
2025-11-18,275.3,,,,,
2025-11-17,276.77,,,,,
2025-11-14,276.77,,,,,
2025-11-13,274.49,,,,,
2025-11-12,271.26,,,,,
2025-11-11,272.73,,,,,
2025-11-10,274.49,,,,,
2025-11-07,270.09,,,,,
2025-11-06,269.67,,,,,
2025-11-05,269.93,,,,,
2025-11-04,269.64,,,,,
2025-11-03,269.67,,,,,
2025-10-31,269.93,,,,,
2025-10-30,272.28,,,,,
2025-10-29,269.67,,,,,
2025-10-28,269.93,,,,,
2025-10-27,264.59,,,,,
2025-10-24,266.35,,,,,
2025-10-23,266.35,,,,,
2025-10-22,266.64,,,,,
2025-10-21,265.18,,,,,
2025-10-20,265.91,,,,,
2025-10-17,264.88,,,,,
2025-10-16,263.71,,,,,
2025-10-15,265.18,,,,,
2025-10-14,265.21,,,,,
2025-10-13,265.21,,,,,
2025-10-10,266.35,,,,,
2025-10-09,265.18,,,,,
2025-10-08,264.92,,,,,
2025-10-07,265.8,,,,,
2025-10-06,267.85,,,,,
2025-10-03,267.85,,,,,
2025-10-02,267.85,,,,,
2025-10-01,267.85,,,,,
2025-09-30,269.03,,,,,
2025-09-29,269.17,,,,,
2025-09-26,269.32,,,,,
2025-09-25,269.06,,,,,
2025-09-24,270.49,,,,,
2025-09-23,270.2,,,,,
2025-09-22,270.2,,,,,
2025-09-19,270.79,,,,,
2025-09-18,269.32,,,,,
2025-09-17,268.66,,,,,
2025-09-16,269.1,,,,,
2025-09-12,270.27,,,,,
2025-09-11,268.8,,,,,
2025-09-10,268.8,,,,,
2025-09-09,270.27,,,,,
2025-09-08,270.27,,,,,
2025-09-05,270.27,,,,,
2025-09-04,270.27,,,,,
2025-09-03,270.27,,,,,
2025-09-02,270.27,,,,,
2025-09-01,268.51,,,,,
2025-08-28,275.57,,,,,
2025-08-27,275.57,,,,,
2025-08-26,275.57,,,,,
2025-08-25,272.19,,,,,
2025-08-22,275.57,,,,,
2025-08-21,275.57,,,,,
2025-08-20,275.57,,,,,
2025-08-19,275.57,,,,,
2025-08-18,275.57,,,,,
2025-08-15,280.2,,,,,
2025-08-14,280.2,,,,,
2025-08-13,280.2,,,,,
2025-08-12,278.66,,,,,
2025-08-11,277.52,,,,,
2025-08-08,277.52,,,,,
2025-08-07,278.66,,,,,
2025-08-06,278.95,,,,,
2025-08-05,278.95,,,,,
2025-08-04,297.49,,,,,
2025-08-01,299.25,,,,,
2025-07-31,299.25,,,,,
2025-07-30,299.25,,,,,
2025-07-29,296.95,,,,,
2025-07-28,296.95,,,,,
2025-07-25,296.95,,,,,
2025-07-24,296.95,,,,,
2025-07-23,296.95,,,,,
2025-07-22,296.95,,,,,
2025-07-21,296.95,,,,,
2025-07-18,297.19,,,,,
2025-07-17,296.3,,,,,
2025-07-16,296.3,,,,,
2025-07-15,296.3,,,,,
2025-07-14,296.3,,,,,
2025-07-11,299.25,,,,,
2025-07-10,299.25,,,,,
2025-07-09,299.25,,,,,
2025-07-08,299.25,,,,,
2025-07-07,295.77,,,,,
2025-07-04,297.19,,,,,
2025-07-03,295.74,,,,,
2025-07-02,296.3,,,,,
2025-07-01,296.3,,,,,
2025-06-30,296.3,,,,,
2025-06-27,299.84,,,,,
2025-06-26,299.84,,,,,
2025-06-25,296.3,,,,,
2025-06-24,296.33,,,,,
2025-06-23,296.36,,,,,
2025-06-20,300.13,,,,,
2025-06-19,300.13,,,,,
2025-06-18,300.13,,,,,
2025-06-17,296.92,,,,,
2025-06-16,296.92,,,,,
2025-06-13,299.98,,,,,
2025-06-12,300.1,,,,,
2025-06-11,300.1,,,,,
2025-06-10,296.33,,,,,
2025-06-09,300.1,,,,,
2025-06-06,298.66,,,,,
2025-06-05,298.66,,,,,
2025-06-04,298.66,,,,,
2025-06-03,298.66,,,,,
2025-06-02,298.66,,,,,
2025-05-30,298.51,,,,,
2025-05-29,296.3,,,,,
2025-05-28,296.3,,,,,
2025-05-27,298.6,,,,,
2025-05-26,298.6,,,,,
2025-05-23,298.6,,,,,
2025-05-22,298.57,,,,,
2025-05-21,298.57,,,,,
2025-05-20,298.6,,,,,
2025-05-19,298.6,,,,,
2025-05-16,295.71,,,,,
2025-05-15,295.71,,,,,
2025-05-14,295.12,,,,,
2025-05-13,295.12,,,,,
2025-05-12,295.12,,,,,
2025-05-09,295.12,,,,,
2025-05-07,295.12,,,,,
2025-05-06,295.12,,,,,
2025-05-05,295.12,,,,,
2025-05-02,295.12,,,,,
2025-04-30,295.12,,,,,
2025-04-29,295.12,,,,,
2025-04-28,295.71,,,,,
2025-04-25,295.71,,,,,
2025-04-24,295.71,,,,,
2025-04-23,295.71,,,,,
2025-04-22,291.46,,,,,
2025-04-17,291.46,,,,,
2025-04-16,291.46,,,,,
2025-04-15,287.99,,,,,
2025-04-14,290.34,,,,,
2025-04-11,290.34,,,,,
2025-04-10,290.34,,,,,
2025-04-09,290.34,,,,,
2025-04-08,291.52,,,,,
2025-04-07,291.52,,,,,
2025-04-04,291.52,,,,,
2025-04-03,291.52,,,,,
2025-04-02,290.34,,,,,
2025-04-01,288.58,,,,,
2025-03-31,288.58,,,,,
2025-03-28,289.17,,,,,
2025-03-27,291.52,,,,,
2025-03-26,291.52,,,,,
2025-03-25,290.34,,,,,
2025-03-24,290.34,,,,,
2025-03-21,290.34,,,,,
