Date,Price,Open,High,Low,Vol.,Change %
2025-12-30,2505.44,2495.05,2509.26,2491.32,,0.42
2025-12-29,2495.05,2495.97,2508.3,2489.1,,-0.04
2025-12-23,2495.97,2487.53,2503.88,2486.25,,0.34
2025-12-22,2487.53,2505.3,2512.66,2473.66,,-0.66
2025-12-19,2504.09,2469.64,2504.09,2451.63,,1.45
2025-12-18,2468.4,2459.18,2474.34,2458.32,,0.37
2025-12-17,2459.18,2449.41,2463.68,2439.86,,0.4
2025-12-16,2449.41,2469.06,2469.06,2448.41,,-0.8
2025-12-15,2469.14,2474.14,2475.11,2457.29,,-0.2
2025-12-12,2474.14,2463.5,2475.22,2461.86,,0.43
2025-12-11,2463.5,2451.18,2470.95,2450.19,,0.5
2025-12-10,2451.18,2454.95,2458.19,2446.54,,-0.21
2025-12-09,2456.43,2468.03,2477.68,2454.94,,-0.47
2025-12-08,2468.03,2467.88,2477.14,2455.5,,0.19
2025-12-05,2463.42,2465.84,2474.02,2458.6,,-0.08
2025-12-04,2465.36,2478.7,2482.92,2456.67,,-0.54
2025-12-03,2478.7,2448.3,2479.85,2448.3,,1.24
2025-12-02,2448.3,2435.12,2456.44,2435.12,,0.54
2025-12-01,2435.12,2432.6,2438.64,2425.35,,0.1
2025-11-28,2432.6,2415.72,2434.33,2414.73,,0.84
2025-11-27,2412.39,2413.51,2420.88,2409.91,,0.09
2025-11-26,2410.18,2412.48,2425.72,2410.18,,-0.1
2025-11-25,2412.48,2415.5,2421.8,2404.46,,-0.13
2025-11-24,2415.5,2413.86,2422.77,2406.67,,0.03
2025-11-21,2414.86,2435.19,2438.88,2412.32,,-0.83
2025-11-20,2435.19,2428.02,2437.78,2423.06,,0.48
2025-11-19,2423.55,2436.57,2439.04,2419.81,,-0.53
2025-11-18,2436.57,2445.96,2445.96,2420.49,,-0.18
2025-11-17,2441.0,2452.06,2458.17,2431.8,,-0.47
2025-11-14,2452.48,2436.99,2458.85,2430.79,,0.77
2025-11-13,2433.7,2427.84,2452.45,2427.84,,0.3
2025-11-12,2426.38,2439.54,2444.71,2426.17,,-0.4
2025-11-11,2436.22,2434.76,2452.69,2428.28,,0.06
2025-11-10,2434.76,2463.23,2472.17,2433.63,,-1.16
2025-11-07,2463.23,2472.26,2479.71,2446.11,,-0.37
2025-11-06,2472.26,2453.07,2474.24,2447.69,,0.92
2025-11-05,2449.74,2455.69,2469.4,2447.5,,-0.24
2025-11-04,2455.69,2466.64,2474.53,2452.15,,-0.44
2025-11-03,2466.64,2478.69,2486.22,2464.74,,-0.46
2025-10-30,2477.95,2466.35,2486.62,2460.89,,0.39
2025-10-29,2468.33,2488.42,2488.42,2459.4,,-0.87
2025-10-28,2489.91,2471.69,2499.1,2468.37,,0.77
2025-10-27,2470.86,2502.25,2502.25,2469.6,,-1.25
2025-10-24,2502.25,2507.74,2511.27,2488.41,,-0.47
2025-10-23,2513.94,2532.78,2535.03,2468.87,,-0.87
2025-10-22,2536.1,2507.73,2536.1,2507.73,,1.15
2025-10-21,2507.31,2458.09,2522.39,2458.09,,2.21
2025-10-20,2453.14,2433.12,2461.4,2433.12,,1.28
2025-10-17,2422.22,2441.32,2448.3,2420.47,,-0.78
2025-10-16,2441.32,2424.93,2452.69,2424.93,,0.78
2025-10-15,2422.45,2437.75,2466.7,2422.45,,-0.63
2025-10-14,2437.75,2429.78,2442.83,2418.35,,0.53
2025-10-13,2424.79,2409.77,2435.14,2407.79,,0.62
2025-10-10,2409.77,2383.75,2413.27,2332.96,,1.02
2025-10-09,2385.41,2422.21,2435.38,2385.41,,-1.52
2025-10-08,2422.21,2432.29,2436.57,2417.9,,-0.62
2025-10-07,2437.28,2482.65,2484.87,2421.91,,-1.84
2025-10-06,2483.06,2512.08,2515.06,2473.07,,-1.04
2025-10-03,2509.12,2510.57,2514.4,2495.0,,-0.06
2025-10-02,2510.57,2505.52,2526.69,2505.52,,0.2
2025-10-01,2505.52,2514.63,2526.03,2501.23,,-0.1
2025-09-30,2507.97,2499.94,2511.36,2487.12,,0.52
2025-09-29,2494.98,2480.8,2497.64,2479.83,,0.54
2025-09-26,2481.54,2482.19,2493.21,2478.55,,-0.03
2025-09-25,2482.19,2474.6,2487.5,2474.6,,0.31
2025-09-24,2474.6,2461.53,2481.3,2461.53,,0.4
2025-09-23,2464.82,2473.1,2481.11,2455.65,,-0.33
2025-09-22,2473.1,2482.11,2488.9,2472.59,,-0.36
2025-09-19,2482.11,2477.86,2498.13,2477.86,,0.17
2025-09-18,2477.86,2481.36,2484.66,2471.34,,-0.14
2025-09-17,2481.36,2492.73,2497.82,2474.66,,-0.46
2025-09-16,2492.73,2496.97,2503.33,2481.05,,-0.1
2025-09-15,2495.32,2511.45,2521.98,2495.32,,-0.64
2025-09-12,2511.45,2527.23,2527.23,2507.51,,-0.63
2025-09-11,2527.44,2519.66,2531.21,2503.01,,0.88
2025-09-10,2505.5,2525.03,2542.16,2502.54,,-0.63
2025-09-09,2521.49,2511.89,2534.39,2510.54,,0.38
2025-09-08,2511.89,2485.62,2519.55,2480.54,,1.26
2025-09-05,2480.65,2458.46,2489.61,2456.66,,0.9
2025-09-04,2458.46,2461.39,2465.45,2446.81,,-0.06
2025-09-03,2459.91,2444.79,2462.25,2441.25,,0.62
2025-09-02,2444.79,2422.7,2447.74,2422.7,,0.91
2025-09-01,2422.7,2412.69,2429.95,2411.98,,0.35
2025-08-29,2414.34,2419.81,2430.36,2406.87,,-0.23
2025-08-28,2419.81,2411.04,2420.71,2408.92,,0.06
2025-08-27,2418.25,2416.63,2422.01,2405.18,,0.07
2025-08-26,2416.63,2433.05,2437.9,2416.63,,-0.68
