"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","2.8854","2.8850","2.9002","2.8651","","-0.10%"
"12/30/2025","2.8883","2.8898","2.8987","2.8667","","-0.05%"
"12/29/2025","2.8897","2.8830","2.8987","2.8737","","-0.03%"
"12/26/2025","2.8905","2.8884","2.8975","2.8730","","0.07%"
"12/25/2025","2.8885","2.8887","2.8933","2.8716","","-0.01%"
"12/24/2025","2.8887","2.8866","2.9088","2.8716","","0.08%"
"12/23/2025","2.8864","2.8931","2.9113","2.8701","","-0.23%"
"12/22/2025","2.8931","2.9090","2.9253","2.8797","","-0.92%"
"12/19/2025","2.9201","2.9050","2.9297","2.8983","","0.52%"
"12/18/2025","2.9050","2.9035","2.9250","2.9006","","0.05%"
"12/17/2025","2.9035","2.9036","2.9036","2.9035","","0.00%"
"12/16/2025","2.9036","2.9105","2.9223","2.9012","","-0.24%"
"12/15/2025","2.9105","2.9160","2.9332","2.9096","","-0.19%"
"12/12/2025","2.9160","2.9173","2.9277","2.9145","","-0.04%"
"12/11/2025","2.9173","2.9260","2.9391","2.9143","","-0.30%"
"12/10/2025","2.9260","2.9387","2.9433","2.9103","","-0.43%"
"12/09/2025","2.9387","2.9295","2.9453","2.9293","","0.31%"
"12/08/2025","2.9295","2.9275","2.9605","2.9252","","-0.71%"
"12/05/2025","2.9505","2.9503","2.9534","2.9245","","0.00%"
"12/04/2025","2.9505","2.9485","2.9511","2.9232","","0.07%"
"12/03/2025","2.9485","2.9546","2.9547","2.9341","","-0.18%"
"12/02/2025","2.9539","2.9570","2.9599","2.9358","","-0.10%"
"12/01/2025","2.9568","2.9385","2.9660","2.9340","","0.41%"
"11/28/2025","2.9447","2.9446","2.9681","2.9350","","0.00%"
"11/27/2025","2.9446","2.9450","2.9627","2.9375","","-0.01%"
"11/26/2025","2.9450","2.9494","2.9685","2.9405","","-0.16%"
"11/25/2025","2.9496","2.9588","2.9727","2.9437","","-0.31%"
"11/24/2025","2.9588","2.9510","2.9820","2.9461","","-0.02%"
"11/21/2025","2.9595","2.9587","2.9783","2.9448","","0.03%"
