Date,Price,Open,High,Low,Vol.,Change %
2025-12-31,2761.93,,,,,
2025-12-30,2747.56,,,,,
2025-12-29,2731.54,,,,,
2025-12-24,2711.21,,,,,
2025-12-23,2695.02,,,,,
2025-12-22,2679.79,,,,,
2025-12-19,2670.58,,,,,
2025-12-18,2665.92,,,,,
2025-12-17,2672.33,,,,,
2025-12-16,2655.5,,,,,
2025-12-15,2648.39,,,,,
2025-12-12,2624.61,,,,,
2025-12-11,2597.98,,,,,
2025-12-10,2586.43,,,,,
2025-12-08,2569.36,,,,,
2025-12-05,2569.47,,,,,
2025-12-04,2574.98,,,,,
2025-12-03,2563.99,,,,,
2025-12-02,2571.58,,,,,
2025-12-01,2570.68,,,,,
2025-11-28,2568.2,,,,,
2025-11-27,2571.28,,,,,
2025-11-26,2563.16,,,,,
2025-11-25,2563.67,,,,,
2025-11-24,2567.7,,,,,
2025-11-21,2567.89,,,,,
2025-11-20,2568.54,,,,,
2025-11-19,2569.0,,,,,
2025-11-18,2567.33,,,,,
2025-11-17,2564.11,,,,,
2025-11-14,2545.41,,,,,
2025-11-13,2530.38,,,,,
2025-11-12,2518.3,,,,,
2025-11-11,2514.61,,,,,
2025-11-10,2517.76,,,,,
2025-11-07,2506.34,,,,,
2025-11-06,2512.27,,,,,
2025-11-05,2508.1,,,,,
2025-11-04,2516.98,,,,,
2025-11-03,2533.23,,,,,
2025-10-31,2533.23,,,,,
2025-10-30,2533.23,,,,,
2025-10-28,2515.97,,,,,
2025-10-27,2498.47,,,,,
2025-10-24,2494.02,,,,,
2025-10-23,2498.6,,,,,
2025-10-22,2497.42,,,,,
2025-10-21,2495.62,,,,,
2025-10-20,2499.7,,,,,
2025-10-17,2498.25,,,,,
2025-10-16,2507.84,,,,,
2025-10-15,2515.54,,,,,
2025-10-13,2528.6,,,,,
2025-10-10,2538.27,,,,,
2025-10-09,2510.25,,,,,
2025-10-08,2511.01,,,,,
2025-10-07,2499.03,,,,,
2025-10-06,2485.2,,,,,
2025-10-03,2484.57,,,,,
2025-10-02,2477.84,,,,,
2025-10-01,2481.23,,,,,
2025-09-30,2489.7,,,,,
2025-09-29,2490.18,,,,,
2025-09-26,2498.63,,,,,
2025-09-25,2500.58,,,,,
2025-09-24,2493.35,,,,,
2025-09-23,2500.2,,,,,
2025-09-22,2507.42,,,,,
2025-09-19,2509.52,,,,,
2025-09-18,2501.5,,,,,
2025-09-17,2491.76,,,,,
2025-09-16,2489.07,,,,,
2025-09-15,2499.7,,,,,
2025-09-12,2524.95,,,,,
2025-09-11,2540.56,,,,,
2025-09-10,2535.56,,,,,
2025-09-09,2545.05,,,,,
2025-09-08,2558.74,,,,,
2025-09-04,2568.26,,,,,
2025-09-03,2572.96,,,,,
2025-09-02,2570.44,,,,,
2025-09-01,2581.73,,,,,
2025-08-29,2579.37,,,,,
2025-08-28,2582.05,,,,,
2025-08-27,2580.97,,,,,
2025-08-26,2562.47,,,,,
2025-08-25,2540.69,,,,,
2025-08-22,2566.5,,,,,
2025-08-21,2586.66,,,,,
2025-08-20,2601.27,,,,,
2025-08-19,2632.08,,,,,
2025-08-18,2634.66,,,,,
2025-08-15,2638.42,,,,,
2025-08-14,2630.66,,,,,
2025-08-13,2597.95,,,,,
2025-08-12,2576.88,,,,,
2025-08-11,2559.8,,,,,
2025-08-07,2536.39,,,,,
2025-08-06,2517.94,,,,,
2025-08-05,2502.25,,,,,
2025-08-04,2488.7,,,,,
2025-08-01,2466.71,,,,,
2025-07-31,2449.58,,,,,
2025-07-30,2430.8,,,,,
2025-07-29,2423.22,,,,,
2025-07-28,2426.15,,,,,
2025-07-25,2418.85,,,,,
2025-07-24,2415.88,,,,,
2025-07-23,2414.55,,,,,
2025-07-22,2425.77,,,,,
2025-07-21,2415.74,,,,,
2025-07-18,2425.87,,,,,
2025-07-17,2434.7,,,,,
2025-07-16,2433.18,,,,,
2025-07-15,2434.7,,,,,
2025-07-14,2428.69,,,,,
2025-07-11,2436.33,,,,,
2025-07-10,2434.95,,,,,
2025-07-09,2411.79,,,,,
2025-07-08,2360.25,,,,,
2025-07-04,2339.0,,,,,
2025-07-03,2377.86,,,,,
