Date,Price,Open,High,Low,Vol.,Change %
2025-12-31,1631.8,,,,,
2025-12-30,1621.92,,,,,
2025-12-29,1610.25,,,,,
2025-12-24,1621.9,,,,,
2025-12-23,1623.34,,,,,
2025-12-22,1621.24,,,,,
2025-12-19,1568.11,,,,,
2025-12-18,1558.43,,,,,
2025-12-17,1540.0,,,,,
2025-12-16,1532.37,,,,,
2025-12-15,1512.5,,,,,
2025-12-12,1522.24,,,,,
2025-12-11,1512.36,,,,,
2025-12-10,1511.24,,,,,
2025-12-09,1505.89,,,,,
2025-12-08,1509.62,,,,,
2025-12-05,1506.34,,,,,
2025-12-04,1518.52,,,,,
2025-12-03,1521.06,,,,,
2025-12-02,1530.84,,,,,
2025-12-01,1546.23,,,,,
2025-11-28,1546.83,,,,,
2025-11-27,1543.83,,,,,
2025-11-26,1554.89,,,,,
2025-11-25,1578.68,,,,,
2025-11-24,1585.37,,,,,
2025-11-21,1584.74,,,,,
2025-11-20,1584.07,,,,,
2025-11-19,1578.68,,,,,
2025-11-18,1571.96,,,,,
2025-11-17,1574.71,,,,,
2025-11-14,1577.41,,,,,
2025-11-13,1625.17,,,,,
2025-11-12,1633.03,,,,,
2025-11-11,1630.03,,,,,
2025-11-10,1623.35,,,,,
2025-11-07,1587.12,,,,,
2025-11-06,1560.37,,,,,
2025-11-05,1558.39,,,,,
2025-11-04,1535.32,,,,,
2025-11-03,1518.6,,,,,
2025-10-31,1498.63,,,,,
2025-10-30,1486.1,,,,,
2025-10-29,1484.89,,,,,
2025-10-28,1482.12,,,,,
2025-10-27,1481.53,,,,,
2025-10-24,1480.24,,,,,
2025-10-23,1479.76,,,,,
2025-10-22,1468.92,,,,,
2025-10-21,1465.18,,,,,
2025-10-20,1441.42,,,,,
2025-10-17,1465.87,,,,,
2025-10-16,1474.25,,,,,
2025-10-15,1474.91,,,,,
2025-10-14,1464.85,,,,,
2025-10-13,1463.9,,,,,
2025-10-10,1468.77,,,,,
2025-10-08,1458.66,,,,,
