Date,Price,Open,High,Low,Vol.,Change %
2025-12-31,461.2074,,,,,0.0
2025-12-30,461.2074,,,,,0.5263
2025-12-29,458.793,,,,,0.0
2025-12-26,458.793,,,,,0.0
2025-12-25,458.793,,,,,0.0
2025-12-24,458.793,,,,,0.0
2025-12-23,458.793,,,,,0.0
2025-12-22,458.793,,,,,0.0
2025-12-19,458.793,,,,,0.0
2025-12-18,458.793,,,,,0.0
2025-12-17,458.793,,,,,0.0
2025-12-16,458.793,,,,,0.0
2025-12-15,458.793,,,,,0.0
2025-12-12,458.793,,,,,0.0
2025-12-11,458.793,,,,,0.0
2025-12-10,458.793,,,,,0.0
2025-12-09,458.793,,,,,0.0
2025-12-08,458.793,,,,,0.0
2025-12-05,458.793,,,,,0.0
2025-12-04,458.793,,,,,0.0
2025-12-03,458.793,,,,,0.0
2025-12-02,458.793,,,,,0.0
2025-12-01,458.793,,,,,0.0
2025-11-28,458.793,,,,,0.0
2025-11-27,458.793,,,,,0.0
2025-11-26,458.793,,,,,0.0
2025-11-25,458.793,,,,,0.0
2025-11-24,458.793,,,,,0.0
2025-11-21,458.793,,,,,0.0
2025-11-20,458.793,,,,,0.0
2025-11-19,458.793,,,,,0.0
2025-11-18,458.793,,,,,0.0
2025-11-17,458.793,,,,,0.0
2025-11-14,458.793,,,,,0.0
2025-11-13,458.793,,,,,0.0
2025-11-12,458.793,,,,,0.0
2025-11-11,458.793,,,,,0.0
2025-11-10,458.793,,,,,0.0
2025-11-07,458.793,,,,,0.0
2025-11-06,458.793,,,,,0.0
2025-11-05,458.793,,,,,0.529
2025-11-04,456.3786,,,,,0.0
2025-11-03,456.3786,,,,,0.0
2025-10-31,456.3786,,,,,-0.1743
2025-10-30,457.1754,,,,,0.0
2025-10-29,457.1754,,,,,0.0
2025-10-28,457.1754,,,,,0.0
2025-10-27,457.1754,,,,,0.0
2025-10-24,457.1754,,,,,0.0
2025-10-23,457.1754,,,,,0.0
2025-10-22,457.1754,,,,,0.0
2025-10-21,457.1754,,,,,0.0
2025-10-20,457.1754,,,,,0.0
2025-10-17,457.1754,,,,,0.0
2025-10-16,457.1754,,,,,0.0
2025-10-15,457.1754,,,,,0.0
2025-10-14,457.1754,,,,,0.0
2025-10-13,457.1754,,,,,0.0
2025-10-10,457.1754,,,,,0.0
2025-10-09,457.1754,,,,,0.0
2025-10-08,457.1754,,,,,0.0
2025-10-07,457.1754,,,,,0.0
2025-10-06,457.1754,,,,,-1.296
2025-10-03,463.1784,,,,,0.0
2025-10-02,463.1784,,,,,0.0
2025-10-01,463.1784,,,,,0.0
2025-09-30,463.1784,,,,,0.0
2025-09-29,463.1784,,,,,0.0
2025-09-26,463.1784,,,,,0.0
2025-09-25,463.1784,,,,,0.0
2025-09-24,463.1784,,,,,0.0
2025-09-23,463.1784,,,,,0.0
2025-09-22,463.1784,,,,,0.0
2025-09-19,463.1784,,,,,0.0
2025-09-18,463.1784,,,,,0.0
2025-09-17,463.1784,,,,,0.0
2025-09-16,463.1784,,,,,0.0
2025-09-15,463.1784,,,,,0.0
2025-09-12,463.1784,,,,,0.0
2025-09-11,463.1784,,,,,0.0
2025-09-10,463.1784,,,,,0.0
2025-09-09,463.1784,,,,,0.0
2025-09-08,463.1784,,,,,0.0
2025-09-05,463.1784,,,,,0.0
2025-09-04,463.1784,,,,,0.0
2025-09-03,463.1784,,,,,0.0
2025-09-02,463.1784,,,,,0.0
2025-09-01,463.1784,,,,,0.0
2025-08-29,463.1784,,,,,0.0
2025-08-28,463.1784,,,,,0.0
2025-08-27,463.1784,,,,,0.0
2025-08-26,463.1784,,,,,0.0
2025-08-25,463.1784,,,,,0.0
2025-08-22,463.1784,,,,,0.0
2025-08-21,463.1784,,,,,0.0
2025-08-20,463.1784,,,,,0.0
2025-08-19,463.1784,,,,,0.0
2025-08-18,463.1784,,,,,0.0
2025-08-15,463.1784,,,,,0.0
2025-08-14,463.1784,,,,,0.0
2025-08-13,463.1784,,,,,0.0
2025-08-12,463.1784,,,,,0.0
2025-08-11,463.1784,,,,,0.0
2025-08-08,463.1784,,,,,0.0
2025-08-07,463.1784,,,,,-0.0639
2025-08-06,463.4745,,,,,0.0
2025-08-05,463.4745,,,,,-0.145
2025-08-04,464.1475,,,,,0.0
2025-08-01,464.1475,,,,,0.0
2025-07-31,464.1475,,,,,0.0
2025-07-30,464.1475,,,,,0.0
2025-07-29,464.1475,,,,,0.0
2025-07-28,464.1475,,,,,-5.8132
2025-07-25,492.7947,,,,,0.0
2025-07-24,492.7947,,,,,0.0
2025-07-23,492.7947,,,,,0.0
2025-07-22,492.7947,,,,,0.0
2025-07-21,492.7947,,,,,0.0
2025-07-18,492.7947,,,,,0.0
2025-07-17,492.7947,,,,,0.0
2025-07-16,492.7947,,,,,0.0
2025-07-15,492.7947,,,,,0.0
2025-07-14,492.7947,,,,,0.0
2025-07-11,492.7947,,,,,0.0
2025-07-10,492.7947,,,,,0.0
2025-07-09,492.7947,,,,,0.0
2025-07-08,492.7947,,,,,0.0
2025-07-07,492.7947,,,,,0.0
2025-07-04,492.7947,,,,,0.0
2025-07-03,492.7947,,,,,0.0
2025-07-02,492.7947,,,,,0.0
2025-07-01,492.7947,,,,,0.0
2025-06-30,492.7947,,,,,-1.0807
2025-06-27,498.1785,,,,,0.0
2025-06-26,498.1785,,,,,0.0
2025-06-25,498.1785,,,,,-1.438
2025-06-24,505.4467,,,,,0.0
2025-06-23,505.4467,,,,,0.0
2025-06-20,505.4467,,,,,0.0
2025-06-19,505.4467,,,,,0.0
2025-06-18,505.4467,,,,,0.0
2025-06-17,505.4467,,,,,0.0
2025-06-16,505.4467,,,,,0.0
2025-06-13,505.4467,,,,,0.0
2025-06-12,505.4467,,,,,0.0
2025-06-11,505.4467,,,,,0.0
2025-06-10,505.4467,,,,,0.0
2025-06-09,505.4467,,,,,0.0
2025-06-06,505.4467,,,,,0.0
2025-06-05,505.4467,,,,,0.0
2025-06-04,505.4467,,,,,0.0
2025-06-03,505.4467,,,,,0.0
2025-06-02,505.4467,,,,,0.0
2025-05-30,505.4467,,,,,0.0
2025-05-29,505.4467,,,,,0.0
2025-05-28,505.4467,,,,,0.0
2025-05-27,505.4467,,,,,0.0
2025-05-26,505.4467,,,,,0.0
2025-05-23,505.4467,,,,,0.0
2025-05-22,505.4467,,,,,0.0
2025-05-21,505.4467,,,,,0.0
2025-05-20,505.4467,,,,,0.0
2025-05-19,505.4467,,,,,0.0
2025-05-16,505.4467,,,,,0.0
2025-05-15,505.4467,,,,,0.0
2025-05-14,505.4467,,,,,0.0
2025-05-13,505.4467,,,,,0.0
2025-05-12,505.4467,,,,,0.0
2025-05-09,505.4467,,,,,0.0
2025-05-08,505.4467,,,,,0.0
2025-05-07,505.4467,,,,,0.0
2025-05-06,505.4467,,,,,0.0
2025-05-05,505.4467,,,,,0.0
2025-05-02,505.4467,,,,,0.0
2025-05-01,505.4467,,,,,0.0
2025-04-30,505.4467,,,,,0.0
2025-04-29,505.4467,,,,,0.0
2025-04-28,505.4467,,,,,0.0
2025-04-25,505.4467,,,,,0.0
2025-04-24,505.4467,,,,,0.0
2025-04-23,505.4467,,,,,0.0
2025-04-22,505.4467,,,,,0.0
2025-04-21,505.4467,,,,,0.0
2025-04-18,505.4467,,,,,0.0
2025-04-17,505.4467,,,,,0.0
2025-04-16,505.4467,,,,,0.0
2025-04-15,505.4467,,,,,0.0
2025-04-14,505.4467,,,,,0.0
2025-04-11,505.4467,,,,,0.0
2025-04-10,505.4467,,,,,0.0
2025-04-09,505.4467,,,,,0.0
2025-04-08,505.4467,,,,,0.0
2025-04-07,505.4467,,,,,0.0
2025-04-04,505.4467,,,,,0.0
2025-04-03,505.4467,,,,,0.0
2025-04-02,505.4467,,,,,0.0
2025-04-01,505.4467,,,,,0.0
2025-03-31,505.4467,,,,,0.0
2025-03-28,505.4467,,,,,0.0
2025-03-27,505.4467,,,,,0.0
2025-03-26,505.4467,,,,,-0.3103
2025-03-25,507.0199,,,,,0.0
2025-03-24,507.0199,,,,,0.0
2025-03-21,507.0199,,,,,0.0
2025-03-20,507.0199,,,,,0.0
2025-03-19,507.0199,,,,,0.0
2025-03-18,507.0199,,,,,0.0
