"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","2,082.26","1,969.02","2,093.17","1,817.21","","5.75%"
"12/29/2025","1,969.02","1,605.73","1,980.53","1,604.26","","22.62%"
"12/26/2025","1,605.73","1,554.83","1,635.17","1,483.35","","3.27%"
"12/23/2025","1,554.83","1,548.78","1,594.84","1,535.25","","0.39%"
"12/22/2025","1,548.78","1,565.28","1,602.42","1,536.21","","-1.05%"
"12/19/2025","1,565.28","1,490.59","1,573.98","1,490.59","","5.01%"
"12/18/2025","1,490.59","1,450.57","1,569.92","1,450.57","","2.76%"
"12/17/2025","1,450.57","1,454.66","1,478.17","1,432.77","","-0.28%"
"12/16/2025","1,454.66","1,455.03","1,507.20","1,423.45","","-0.03%"
"12/15/2025","1,455.03","1,473.17","1,559.14","1,455.03","","-1.23%"
"12/12/2025","1,473.17","1,489.30","1,506.89","1,464.78","","-1.08%"
"12/11/2025","1,489.30","1,499.25","1,542.07","1,474.90","","-0.66%"
"12/10/2025","1,499.25","1,487.60","1,599.74","1,476.01","","0.78%"
"12/09/2025","1,487.60","1,519.15","1,602.25","1,457.72","","-2.08%"
"12/05/2025","1,519.15","1,535.43","1,549.96","1,465.85","","-1.06%"
"12/04/2025","1,535.43","1,551.92","1,563.65","1,534.74","","-1.06%"
"12/03/2025","1,551.92","1,519.61","1,607.66","1,462.28","","2.13%"
"12/02/2025","1,519.61","1,551.63","1,562.91","1,498.47","","-2.06%"
"12/01/2025","1,551.63","1,551.78","1,646.12","1,522.82","","-0.01%"
"11/28/2025","1,551.78","1,564.09","1,572.25","1,534.65","","-0.79%"
"11/27/2025","1,564.09","1,550.42","1,599.30","1,550.42","","0.88%"
"11/26/2025","1,550.42","1,552.20","1,586.71","1,539.87","","-0.11%"
"11/25/2025","1,552.20","1,590.10","1,637.10","1,532.46","","-2.38%"
"11/21/2025","1,590.10","1,677.78","1,678.28","1,576.50","","-5.23%"
"11/20/2025","1,677.78","1,599.61","1,678.18","1,568.71","","4.89%"
"11/19/2025","1,599.61","1,610.73","1,660.42","1,581.54","","-0.69%"
"11/18/2025","1,610.73","1,665.82","1,685.92","1,569.98","","-3.31%"
"11/17/2025","1,665.82","1,698.82","1,705.26","1,645.14","","-1.94%"
"11/14/2025","1,698.82","1,690.12","1,733.00","1,615.65","","0.51%"
"11/13/2025","1,690.12","1,614.19","1,707.49","1,614.19","","4.70%"
"11/12/2025","1,614.19","1,593.89","1,647.40","1,588.00","","1.27%"
"11/11/2025","1,593.89","1,614.45","1,677.37","1,564.38","","-1.27%"
"11/10/2025","1,614.45","1,602.81","1,645.39","1,602.81","","0.73%"
"11/07/2025","1,602.81","1,617.38","1,637.96","1,591.55","","-0.90%"
"11/06/2025","1,617.38","1,633.71","1,683.14","1,602.52","","-1.00%"
"11/05/2025","1,633.71","1,606.71","1,744.08","1,596.51","","1.68%"
"11/04/2025","1,606.71","1,595.66","1,638.67","1,552.85","","0.69%"
"11/03/2025","1,595.66","1,619.77","1,677.25","1,579.16","","-1.49%"
"10/31/2025","1,619.77","1,600.42","1,658.53","1,598.21","","1.21%"
"10/30/2025","1,600.42","1,641.67","1,656.30","1,582.37","","-2.52%"
"10/29/2025","1,641.74","1,654.87","1,693.08","1,627.55","","-0.79%"
"10/28/2025","1,654.87","1,653.41","1,689.94","1,628.14","","0.09%"
"10/27/2025","1,653.41","1,631.36","1,678.34","1,612.21","","1.35%"
"10/24/2025","1,631.36","1,608.92","1,658.22","1,607.29","","1.39%"
"10/23/2025","1,608.92","1,473.20","1,647.33","1,473.20","","0.00%"
"10/22/2025","1,608.92","1,473.20","1,647.33","1,473.20","","9.82%"
"10/21/2025","1,465.01","1,466.28","1,569.28","1,459.62","","-0.09%"
"10/17/2025","1,466.28","1,416.04","1,494.40","1,416.04","","3.55%"
