Date,Price,Open,High,Low,Vol.,Change %
2025-12-31,25919.83,,,,,
2025-12-30,25700.05,,,,,
2025-12-29,25698.2,,,,,
2025-12-26,25706.32,,,,,
2025-12-24,25690.55,,,,,
2025-12-23,25606.32,,,,,
2025-12-22,25505.22,,,,,
2025-12-19,25422.37,,,,,
2025-12-18,25599.51,,,,,
2025-12-17,25602.51,,,,,
2025-12-16,25608.34,,,,,
2025-12-15,25590.45,,,,,
2025-12-12,25565.89,,,,,
2025-12-11,25562.07,,,,,
2025-12-10,25547.25,,,,,
2025-12-09,25308.72,,,,,
2025-12-08,25311.72,,,,,
2025-12-05,25287.84,,,,,
2025-12-04,25169.95,,,,,
2025-12-03,25185.95,,,,,
2025-12-02,25158.1,,,,,
2025-12-01,25158.1,,,,,
2025-11-28,25168.25,,,,,
2025-11-27,25175.93,,,,,
2025-11-26,25229.81,,,,,
2025-11-25,25352.46,,,,,
2025-11-24,25384.06,,,,,
2025-11-21,25238.08,,,,,
2025-11-20,25945.02,,,,,
2025-11-19,25989.08,,,,,
2025-11-18,25882.06,,,,,
2025-11-17,25896.51,,,,,
2025-11-14,25716.42,,,,,
2025-11-13,25668.4,,,,,
2025-11-12,25523.23,,,,,
2025-11-11,25553.83,,,,,
2025-11-10,25378.76,,,,,
2025-11-07,25375.64,,,,,
2025-11-06,25378.31,,,,,
2025-11-05,25383.15,,,,,
2025-11-04,25398.32,,,,,
2025-11-03,25404.59,,,,,
2025-10-31,25441.23,,,,,
2025-10-30,25459.89,,,,,
2025-10-29,25446.31,,,,,
2025-10-28,25434.94,,,,,
2025-10-27,25424.4,,,,,
2025-10-23,25436.25,,,,,
2025-10-22,25427.42,,,,,
2025-10-21,25413.45,,,,,
2025-10-20,25379.34,,,,,
2025-10-17,25144.77,,,,,
2025-10-16,24914.69,,,,,
2025-10-15,25408.63,,,,,
2025-10-14,25402.41,,,,,
2025-10-13,25406.94,,,,,
2025-10-10,25407.42,,,,,
2025-10-09,25415.05,,,,,
2025-10-08,25410.35,,,,,
2025-10-07,25390.82,,,,,
2025-10-06,25366.74,,,,,
2025-10-03,25276.85,,,,,
2025-10-02,25300.8,,,,,
2025-10-01,25239.39,,,,,
2025-09-30,25242.39,,,,,
2025-09-29,25222.37,,,,,
2025-09-26,25183.74,,,,,
2025-09-25,25086.36,,,,,
2025-09-24,25067.18,,,,,
2025-09-23,25084.27,,,,,
2025-09-22,25231.78,,,,,
2025-09-19,25132.96,,,,,
2025-09-18,25098.95,,,,,
2025-09-17,24722.17,,,,,
2025-09-16,24749.23,,,,,
2025-09-15,24757.57,,,,,
2025-09-12,24675.31,,,,,
2025-09-11,24645.74,,,,,
2025-09-10,24580.27,,,,,
2025-09-09,24581.0,,,,,
2025-09-08,24572.2,,,,,
2025-09-05,24603.0,,,,,
2025-09-04,24530.15,,,,,
2025-09-03,24534.59,,,,,
2025-09-02,24366.58,,,,,
2025-09-01,24466.32,,,,,
2025-08-29,24172.67,,,,,
2025-08-28,24055.07,,,,,
2025-08-27,23630.27,,,,,
2025-08-26,23083.42,,,,,
2025-08-25,23067.17,,,,,
2025-08-22,23060.44,,,,,
2025-08-21,22872.26,,,,,
2025-08-20,22742.55,,,,,
2025-08-19,22685.94,,,,,
2025-08-18,22280.24,,,,,
2025-08-15,22117.05,,,,,
2025-08-14,21994.93,,,,,
2025-08-13,21971.4,,,,,
2025-08-12,21924.73,,,,,
2025-08-11,21535.21,,,,,
2025-08-08,21524.31,,,,,
2025-08-07,21532.97,,,,,
2025-08-06,21540.17,,,,,
2025-08-05,21449.79,,,,,
2025-08-01,21290.87,,,,,
2025-07-31,21041.02,,,,,
2025-07-30,20964.27,,,,,
2025-07-29,20888.51,,,,,
2025-07-28,21045.68,,,,,
2025-07-25,21050.27,,,,,
2025-07-24,20946.81,,,,,
2025-07-23,20945.18,,,,,
2025-07-22,20938.68,,,,,
2025-07-21,20665.39,,,,,
2025-07-18,20943.18,,,,,
2025-07-17,20661.74,,,,,
2025-07-16,20206.88,,,,,
2025-07-15,21508.4,,,,,
2025-07-14,20251.76,,,,,
2025-07-11,20445.99,,,,,
2025-07-10,20215.85,,,,,
2025-07-09,20208.54,,,,,
2025-07-04,20146.92,,,,,
2025-07-03,20148.95,,,,,
2025-07-02,20145.02,,,,,
2025-07-01,20204.37,,,,,
2025-06-30,20214.88,,,,,
2025-06-27,20567.22,,,,,
